rec,name_verbatim,scientificName,sciname_sensu_stricto,taxonRank,TR_w_TCID,reference,ref2,year_published,qualifier,qual2,QUAL_LEVEL,qual2_interp,typeStatus,incl_in_analysis,data_source,individualCount,samplingMethod,nod_assoc,cat_note,CAT_ED,CAT_EXPANDED,temp_name_cat,size_cat,descr_id_with,description_dets,IMAGERY ONLY.ID,short_checklist,spp_habitat_info,other_rank,Match.type,taxon_note,Taxon.status,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,depth,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,site_notes,multi-exped-year,year_est,date_year,expedition,
4772,Spiophanes cf. longisetus,Spiophanes longisetus,Spiophanes,genus,temporary name,Yu_etal_2018,,2018,cf.,,,,,,table S1 (in text),,box corer,,,temporary name,temp name- sciname with qualifier,,macrofauna,morphology only (specimens),,,no,benthic,,exact,,accepted,608086,Spiophanes longisetus,"Meißner, 2005",Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,,longisetus,,,KOREA-1,,,,,,,,,,KR5,y,2012,2012-2014,RV Onnuri 2012-2014,
4773,Spiophanes sp.,Spiophanes,Spiophanes,genus,genus,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,record,record,,macrofauna,morphology only (specimens),,,,,,exact,,accepted,129626,Spiophanes,"Grube, 1860",Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,,,,,KOREA-1,,,,,,,,,,KR5,y,2012,2012-2014,RV Onnuri 2012-2014,
4774,Braniella palpata,Anguillosyllis palpata,Anguillosyllis palpata,species,species,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,record,record,,macrofauna,morphology only (specimens),,,,benthic,,exact,unaccepted name,accepted,756944,Anguillosyllis palpata,"(Hartman, 1967)",Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Anguillosyllis,,palpata,,,KOREA-1,,,,,,,,,,KR5,y,2012,2012-2014,RV Onnuri 2012-2014,
4775,Exogone (Parexogone) sp. A,Exogone,Exogone,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,129654,Exogone,"Örsted, 1845",Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Exogone,,,,,KOREA-1,,,,,,,,,,KR5,y,2012,2012-2014,RV Onnuri 2012-2014,
4776,Syllidae sp.1,Syllidae,Syllidae,family,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,948,Syllidae,"Grube, 1850",Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,,,,,,KOREA-1,,,,,,,,,,KR5,y,2012,2012-2014,RV Onnuri 2012-2014,
4777,Syllidae spp.,Syllidae,Syllidae,family,family,Yu_etal_2018,,2018,spp.,,,,,,table S1 (in text),,box corer,,,record,record,,macrofauna,morphology only (specimens),,,,,,exact,,accepted,948,Syllidae,"Grube, 1850",Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,,,,,,KOREA-1,,,,,,,,,,KR5,y,2014,2012-2014,RV Onnuri 2012-2014,
4778,Terebellides abyssalis,Terebellides abyssalis,Terebellides abyssalis,species,species,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,record,record,,macrofauna,morphology only (specimens),,,,benthic,,exact,,accepted,598630,Terebellides abyssalis,"(Hartman, 1965)",Animalia,Annelida,Polychaeta,Terebellida,Trichobranchidae,Terebellides,,abyssalis,,,KOREA-1,,,,,,,,,,KR5,y,2012,2012-2014,RV Onnuri 2012-2014,
4779,Acrocirridae sp.3,Acrocirridae,Acrocirridae,family,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,920,Acrocirridae,"Banse, 1969",Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4780,Acrocirridae sp.1,Acrocirridae,Acrocirridae,family,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,920,Acrocirridae,"Banse, 1969",Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4781,Acrocirridae spp.,Acrocirridae,Acrocirridae,family,family,Yu_etal_2018,,2018,spp.,,,,,,table S1 (in text),,box corer,,,record,record,,macrofauna,morphology only (specimens),,,,,,exact,,accepted,920,Acrocirridae,"Banse, 1969",Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,,,,KOREA-1,,,,,,,,,,KR5,y,2014,2012-2014,RV Onnuri 2012-2014,
4782,Aphelochaeta sp.A,Aphelochaeta,Aphelochaeta,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,129240,Aphelochaeta,"Blake, 1991",Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4783,Chaetozone sp.A,Chaetozone,Chaetozone,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,129242,Chaetozone,"Malmgren, 1867",Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Chaetozone,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4784,Cirratulidae sp.1,Cirratulidae,Cirratulidae,family,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,919,Cirratulidae,"Ryckholt, 1851",Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4785,Cirratulidae spp.,Cirratulidae,Cirratulidae,family,family,Yu_etal_2018,,2018,spp.,,,,,,table S1 (in text),,box corer,,,record,record,,macrofauna,morphology only (specimens),,,,,,exact,,accepted,919,Cirratulidae,"Ryckholt, 1851",Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,,,,,,KOREA-1,,,,,,,,,,KR5,y,2014,2012-2014,RV Onnuri 2012-2014,
4786,Cirratulidae sp. 1-Tharyx sp. A,Cirratulidae,Cirratulidae,family,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,919,Cirratulidae,"Ryckholt, 1851",Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4787,Flabelligena sp. A,Flabelligena,Flabelligena,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,325157,Flabelligena,"Gillet, 2001",Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,Flabelligena,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4788,Monticellina sp.A,Kirkegaardia,Kirkegaardia,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,unaccepted name,accepted,884676,Kirkegaardia,"Blake, 2016",Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Kirkegaardia,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4789,Corophiidae sp.1,Corophiidae,Corophiidae,family,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,101376,Corophiidae,"Leach, 1814",Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4790,Paradexamine sp.1,Paradexamine,Paradexamine,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,206577,Paradexamine,"Stebbing, 1899",Animalia,Arthropoda,Malacostraca,Amphipoda,Dexaminidae,Paradexamine,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4791,Microjassa sp.1,Microjassa,Microjassa,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,101572,Microjassa,"Stebbing, 1899",Animalia,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Microjassa,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4792,Monoculodes sp.1,Monoculodes,Monoculodes,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,101694,Monoculodes,"Stimpson, 1853",Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Monoculodes,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4793,Oedicerotidae sp.,Oedicerotidae,Oedicerotidae,family,family,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,record,record,,macrofauna,morphology only (specimens),,,,,,exact,,accepted,101400,Oedicerotidae,"Lilljeborg, 1865",Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,,,,,,KOREA-1,,,,,,,,,,KR5,y,2014,2012-2014,RV Onnuri 2012-2014,
4794,Halice sp.,Halice,Halice,genus,genus,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,record,record,,macrofauna,morphology only (specimens),,,,,,exact,,accepted,101707,Halice,"Boeck, 1871",Animalia,Arthropoda,Malacostraca,Amphipoda,Pardaliscidae,Halice,,,,,KOREA-1,,,,,,,,,,KR5,y,2012,2012-2014,RV Onnuri 2012-2014,
4795,Harpiniopsis sp.1,Harpiniopsis,Harpiniopsis,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,101717,Harpiniopsis,"Stephensen, 1925",Animalia,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,Harpiniopsis,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4796,Synopiidae sp.,Synopiidae,Synopiidae,family,family,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,record,record,,macrofauna,morphology only (specimens),,,,,,exact,,accepted,101410,Synopiidae,"Dana, 1853",Animalia,Arthropoda,Malacostraca,Amphipoda,Synopiidae,,,,,,KOREA-1,,,,,,,,,,KR5,y,2014,2012-2014,RV Onnuri 2012-2014,
4797,Diastylis sp.1,Diastylis,Diastylis,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,110398,Diastylis,"Say, 1818",Animalia,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastylis,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4798,Gynodiastylis dilatata,Gynodiastylis dilatata,Gynodiastylis dilatata,species,species,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,record,record,,macrofauna,morphology only (specimens),,,,benthic,,exact,,accepted,182162,Gynodiastylis dilatata,"Hale, 1946",Animalia,Arthropoda,Malacostraca,Cumacea,Gynodiastylidae,Gynodiastylis,,dilatata,,,KOREA-1,,,,,,,,,,KR5,y,2012,2012-2014,RV Onnuri 2012-2014,
4799,Eudorella sp.1,Eudorella,Eudorella,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,110412,Eudorella,"Norman, 1867",Animalia,Arthropoda,Malacostraca,Cumacea,Leuconidae,Eudorella,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4800,Procampylaspis armata,Procampylaspis armata,Procampylaspis armata,species,species,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,record,record,,macrofauna,morphology only (specimens),,,,benthic,,exact,,accepted,110581,Procampylaspis armata,"Bonnier, 1896",Animalia,Arthropoda,Malacostraca,Cumacea,Nannastacidae,Procampylaspis,,armata,,,KOREA-1,,,,,,,,,,KR5,y,2012,2012-2014,RV Onnuri 2012-2014,
4801,Desmosoma sp.1,Desmosoma,Desmosoma,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,118319,Desmosoma,"G. O. Sars, 1864",Animalia,Arthropoda,Malacostraca,Isopoda,Desmosomatidae,Desmosoma,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4802,Desmosoma sp.2,Desmosoma,Desmosoma,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,118319,Desmosoma,"G. O. Sars, 1864",Animalia,Arthropoda,Malacostraca,Isopoda,Desmosomatidae,Desmosoma,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4803,Desmosoma sp.3,Desmosoma,Desmosoma,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,118319,Desmosoma,"G. O. Sars, 1864",Animalia,Arthropoda,Malacostraca,Isopoda,Desmosomatidae,Desmosoma,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4804,Desmosoma sp.4,Desmosoma,Desmosoma,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,118319,Desmosoma,"G. O. Sars, 1864",Animalia,Arthropoda,Malacostraca,Isopoda,Desmosomatidae,Desmosoma,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4805,Eugerdella sp.1,Eugerdella,Eugerdella,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,118324,Eugerdella,"Kussakin, 1965",Animalia,Arthropoda,Malacostraca,Isopoda,Desmosomatidae,Eugerdella,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4806,Eugerdella sp.2,Eugerdella,Eugerdella,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,118324,Eugerdella,"Kussakin, 1965",Animalia,Arthropoda,Malacostraca,Isopoda,Desmosomatidae,Eugerdella,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4807,Eugerdella sp.3,Eugerdella,Eugerdella,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,118324,Eugerdella,"Kussakin, 1965",Animalia,Arthropoda,Malacostraca,Isopoda,Desmosomatidae,Eugerdella,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4808,Mirabilocoxa sp.1,Mirabilicoxa,Mirabilicoxa,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,118325,Mirabilicoxa,"Hessler, 1970",Animalia,Arthropoda,Malacostraca,Isopoda,Desmosomatidae,Mirabilicoxa,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4809,Haploniscus sp.1,Haploniscus,Haploniscus,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,118351,Haploniscus,"Richardson, 1908",Animalia,Arthropoda,Malacostraca,Isopoda,Haploniscidae,Haploniscus,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4810,Haploniscus sp.2,Haploniscus,Haploniscus,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,118351,Haploniscus,"Richardson, 1908",Animalia,Arthropoda,Malacostraca,Isopoda,Haploniscidae,Haploniscus,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4811,Haploniscus sp.3,Haploniscus,Haploniscus,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,118351,Haploniscus,"Richardson, 1908",Animalia,Arthropoda,Malacostraca,Isopoda,Haploniscidae,Haploniscus,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4812,Hydroniscus sp.1,Hydroniscus,Hydroniscus,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,118352,Hydroniscus,"Hansen, 1916",Animalia,Arthropoda,Malacostraca,Isopoda,Haploniscidae,Hydroniscus,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4813,Mastigoniscus sp.1,Mastigoniscus,Mastigoniscus,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,248939,Mastigoniscus,"Lincoln, 1985",Animalia,Arthropoda,Malacostraca,Isopoda,Haploniscidae,Mastigoniscus,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4814,Haplomesus sp.1,Haplomesus,Haplomesus,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,118356,Haplomesus,"Richardson, 1908",Animalia,Arthropoda,Malacostraca,Isopoda,Ischnomesidae,Haplomesus,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4815,Ischnomesus sp.1,Ischnomesus,Ischnomesus,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,118358,Ischnomesus,"Richardson, 1908",Animalia,Arthropoda,Malacostraca,Isopoda,Ischnomesidae,Ischnomesus,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4816,Ischnomesus sp.2,Ischnomesus,Ischnomesus,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,118358,Ischnomesus,"Richardson, 1908",Animalia,Arthropoda,Malacostraca,Isopoda,Ischnomesidae,Ischnomesus,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4817,Jaeropsis sp.1,Joeropsis,Joeropsis,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,misspelling,accepted,118369,Joeropsis,"Koehler, 1885",Animalia,Arthropoda,Malacostraca,Isopoda,Joeropsididae,Joeropsis,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4818,Janirella sp.1,Janirella,Janirella,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,118360,Janirella,"Bonnier, 1896",Animalia,Arthropoda,Malacostraca,Isopoda,Janirellidae,Janirella,,,,,KOREA-1,,,,,,,,,,KR5,y,2013,2012-2014,RV Onnuri 2012-2014,
4819,Joeropsis sp.1,Joeropsis,Joeropsis,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,118369,Joeropsis,"Koehler, 1885",Animalia,Arthropoda,Malacostraca,Isopoda,Joeropsididae,Joeropsis,,,,,KOREA-1,,,,,,,,,,KR5,y,2014,2012-2014,RV Onnuri 2012-2014,
4820,Desmosoma sp.1,Desmosoma,Desmosoma,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,118319,Desmosoma,"G. O. Sars, 1864",Animalia,Arthropoda,Malacostraca,Isopoda,Desmosomatidae,Desmosoma,,,,,KOREA-1,,,,,,,,,,KR5,y,2014,2012-2014,RV Onnuri 2012-2014,
4821,Haploniscus sp.,Haploniscus,Haploniscus,genus,genus,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,record,record,,macrofauna,morphology only (specimens),,,,,,exact,,accepted,118351,Haploniscus,"Richardson, 1908",Animalia,Arthropoda,Malacostraca,Isopoda,Haploniscidae,Haploniscus,,,,,KOREA-1,,,,,,,,,,KR5,y,2012,2012-2014,RV Onnuri 2012-2014,
4822,Macrostylis hadalis,Macrostylis hadalis,Macrostylis hadalis,species,species,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,record,record,,macrofauna,morphology only (specimens),,,,benthic,,exact,,accepted,256107,Macrostylis hadalis,"Wolff, 1956",Animalia,Arthropoda,Malacostraca,Isopoda,Macrostylidae,Macrostylis,,hadalis,,,KOREA-1,,,,,,,,,,KR5,y,2012,2012-2014,RV Onnuri 2012-2014,
4823,Macrostylis sp.1,Macrostylis,Macrostylis,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,118371,Macrostylis,"G. O. Sars, 1864",Animalia,Arthropoda,Malacostraca,Isopoda,Macrostylidae,Macrostylis,,,,,KOREA-1,,,,,,,,,,KR5,y,2014,2012-2014,RV Onnuri 2012-2014,
4824,Macrostylis sp.2,Macrostylis,Macrostylis,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,118371,Macrostylis,"G. O. Sars, 1864",Animalia,Arthropoda,Malacostraca,Isopoda,Macrostylidae,Macrostylis,,,,,KOREA-1,,,,,,,,,,KR5,y,2014,2012-2014,RV Onnuri 2012-2014,
4825,Macrostylis sp.3,Macrostylis,Macrostylis,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,118371,Macrostylis,"G. O. Sars, 1864",Animalia,Arthropoda,Malacostraca,Isopoda,Macrostylidae,Macrostylis,,,,,KOREA-1,,,,,,,,,,KR5,y,2014,2012-2014,RV Onnuri 2012-2014,
4826,Macrostylis sp.4,Macrostylis,Macrostylis,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,118371,Macrostylis,"G. O. Sars, 1864",Animalia,Arthropoda,Malacostraca,Isopoda,Macrostylidae,Macrostylis,,,,,KOREA-1,,,,,,,,,,KR5,y,2014,2012-2014,RV Onnuri 2012-2014,
4827,Eurycope sp.1,Eurycope,Eurycope,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,118340,Eurycope,"G. O. Sars, 1864",Animalia,Arthropoda,Malacostraca,Isopoda,Munnopsidae,Eurycope,,,,,KOREA-1,,,,,,,,,,KR5,y,2014,2012-2014,RV Onnuri 2012-2014,
4828,Ianirella sp.1,Janirella,Janirella,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,misspelling,accepted,118360,Janirella,"Bonnier, 1896",Animalia,Arthropoda,Malacostraca,Isopoda,Janirellidae,Janirella,,,,,KOREA-1,,,,,,,,,,KR5,y,2014,2012-2014,RV Onnuri 2012-2014,
4829,Ilyarachna sp.1,Ilyarachna,Ilyarachna,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,118354,Ilyarachna,"G. O. Sars, 1869",Animalia,Arthropoda,Malacostraca,Isopoda,Munnopsidae,Ilyarachna,,,,,KOREA-1,,,,,,,,,,KR5,y,2014,2012-2014,RV Onnuri 2012-2014,
4830,Nannoniscus sp.1,Nannoniscus,Nannoniscus,genus,temporary name,Yu_etal_2018,,2018,,,,,,,table S1 (in text),,box corer,,,temporary name,poss indet not undescribed new species,morphospecies,macrofauna,morphology only (specimens),,,,,,exact,,accepted,118382,Nannoniscus,"G. O. Sars, 1870",Animalia,Arthropoda,Malacostraca,Isopoda,Nannoniscidae,Nannoniscus,,,,,KOREA-1,,,,,,,,,,KR5,y,2014,2012-2014,RV Onnuri 2012-2014,
