rec,name_verbatim,scientificName,sciname_sensu_stricto,taxonRank,TR_w_TCID,reference,ref2,year_published,qualifier,qual2,QUAL_LEVEL,qual2_interp,typeStatus,incl_in_analysis,data_source,individualCount,samplingMethod,nod_assoc,cat_note,CAT_ED,CAT_EXPANDED,temp_name_cat,size_cat,descr_id_with,description_dets,IMAGERY ONLY.ID,short_checklist,spp_habitat_info,other_rank,Match.type,taxon_note,Taxon.status,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,depth,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,site_notes,multi-exped-year,year_est,date_year,expedition,
1079,Amphilepis sp 5,Amphilepis,Amphilepis,genus,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,123608,Amphilepis,"Ljungman, 1867",Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphilepididae,Amphilepis,,,,,BGR,,,,,,,,,,table 2- what species in what contract area,y,2012,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1080,Ophiopyrgidae sp 8,Ophiopyrgidae,Ophiopyrgidae,family,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,1062638,Ophiopyrgidae,"Perrier, 1893",Animalia,Echinodermata,Ophiuroidea,Ophiurida,Ophiopyrgidae,,,,,,BGR,,,,,,,,,,table 2- what species in what contract area,y,2012,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1081,Ophiuroglypha sp 9,Ophiuroglypha,Ophiuroglypha,genus,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,467707,Ophiuroglypha,"Hertz, 1927",Animalia,Echinodermata,Ophiuroidea,Ophiurida,Ophiopyrgidae,Ophiuroglypha,,,,,APEI-3,,,,,,,,,,table 2- what species in what contract area,y,2012,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1082,Anophiura sp 10,Anophiura,Anophiura,genus,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,172613,Anophiura,"H.L. Clark, 1939",Animalia,Echinodermata,Ophiuroidea,Ophiurida,,Anophiura,,,,,BGR,,,,,,,,,,table 2- what species in what contract area,y,2012,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1083,Ophiuroglypha sp 11,Ophiuroglypha,Ophiuroglypha,genus,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,467707,Ophiuroglypha,"Hertz, 1927",Animalia,Echinodermata,Ophiuroidea,Ophiurida,Ophiopyrgidae,Ophiuroglypha,,,,,BGR,,,,,,,,,,table 2- what species in what contract area,y,2012,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1084,Asteroschema sp 12,Asteroschema,Asteroschema,genus,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,123581,Asteroschema,"Örsted & Lütken in Lütken, 1856",Animalia,Echinodermata,Ophiuroidea,Euryalida,Euryalidae,Asteroschema,,,,,APEI-3,,,,,,,,,,table 2- what species in what contract area,y,2012,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1085,Ophiuroglypha sp 14,Ophiuroglypha,Ophiuroglypha,genus,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,467707,Ophiuroglypha,"Hertz, 1927",Animalia,Echinodermata,Ophiuroidea,Ophiurida,Ophiopyrgidae,Ophiuroglypha,,,,,BGR,,,,,,,,,,table 2- what species in what contract area,y,2012,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1086,Ophiophyllum sp 15,Ophiophyllum,Ophiophyllum,genus,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,242154,Ophiophyllum,"Lyman, 1878",Animalia,Echinodermata,Ophiuroidea,Ophiurida,Ophiopyrgidae,Ophiophyllum,,,,,APEI-3,,,,GSR,,,,,,table 2- what species in what contract area,y,2012,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1087,Ophioscolecidae sp 17,Ophioscolecidae,Ophioscolecidae,family,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,1075312,Ophioscolecidae,"Lütken, 1869",Animalia,Echinodermata,Ophiuroidea,Ophioscolecida,Ophioscolecidae,,,,,,APEI-3,,,,,,,,,,table 2- what species in what contract area,y,2012,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1088,Ophioscolecidae sp 18,Ophioscolecidae,Ophioscolecidae,family,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,1075312,Ophioscolecidae,"Lütken, 1869",Animalia,Echinodermata,Ophiuroidea,Ophioscolecida,Ophioscolecidae,,,,,,BGR,,,,,,,,,,table 2- what species in what contract area,y,2012,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
