Kingdom,Phylum,Class,Order,Family,Genus,Species,scientificName,taxonConceptID,habitat_interim,size_cat
Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,,,Nereididae,AB_ Nereididae sp 3,sediment,macrofauna
Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,,,Nereididae,AB_ Nereididae sp 4,sediment,macrofauna
Animalia,Annelida,Polychaeta,Phyllodocida,Paralacydoniidae,,,Paralacydoniidae,AB_ Paralacydoniidae sp 1,sediment,macrofauna
Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,,,Phyllodocidae,AB_ Phyllodocidae sp 1,sediment,macrofauna
Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,,,Phyllodocidae,AB_ Phyllodocidae sp 2,sediment,macrofauna
Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,,,Phyllodocidae,AB_ Phyllodocidae sp 3,sediment,macrofauna
Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,,,Phyllodocidae,AB_ Phyllodocidae sp 4,sediment,macrofauna
Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,,,Phyllodocidae,AB_ Phyllodocidae sp 5,sediment,macrofauna
Animalia,Annelida,Polychaeta,Phyllodocida,Pilargidae,,,Pilargidae,AB_ Pilargidae sp 1,sediment,macrofauna
Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,,,Polynoidae,AB_ Polynoidae sp 1,sediment,macrofauna
Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,,,Pholoinae,AB_ Pholoidae sp 1,sediment,macrofauna
Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,,,Sigalionidae,AB_ Sigalionidae sp 1,sediment,macrofauna
Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,,,Sigalionidae,AB_ Sigalionidae sp 2,sediment,macrofauna
Animalia,Annelida,Polychaeta,Phyllodocida,Sphaerodoridae,,,Sphaerodoridae,AB_ Sphaerodoridae sp 1,sediment,macrofauna
Animalia,Annelida,Polychaeta,Phyllodocida,Sphaerodoridae,,,Sphaerodoridae,AB_ Sphaerodoridae sp 2,sediment,macrofauna
Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,,,Syllidae,AB_ Syllidae sp 1,sediment,macrofauna
