rec,name_verbatim,scientificName,sciname_sensu_stricto,taxonRank,TR_w_TCID,reference,ref2,year_published,qualifier,qual2,QUAL_LEVEL,qual2_interp,typeStatus,incl_in_analysis,data_source,individualCount,to_do,note,samplingMethod,nod_assoc,cat_note,CAT_ED,CAT_EXPANDED,temp_name_cat,size_cat,descr_id_with,description_dets,IMAGERY ONLY.ID,short_checklist,spp_habitat_info,other_rank,Match.type,taxon_note,Taxon.status,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,depth,UPSET_NOTE,UPSET_CAT,INTERP_AREA1,latitude,longitude,station,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,site_notes,multi-exped-year,year_est,date_year,expedition,
2219,Genus et species indet,Vasopora ceramica,Vasopora ceramica,species,species,Grischenko_etal_2018,,,indet.,,genus; species,,,no- Andrei confirmed this is actually Vasopora ceramica described in 2021,,9,,,,,,temporary name,undescribed new species,,,,,,,,,,,,1544254,Vasopora ceramica,"Grischenko, Gordon & Melnik, 2021",Animalia,Bryozoa,Stenolaemata,Cyclostomatida,Alyonushkidae,Vasopora,,ceramica,,,,,,,,,,,,,,,,,,,,,,,,
2220,Vasopora,Vasopora,Vasopora,genus,genus,Grischenko_etal_2021,,2021,gen. nov.,,,,,,,,,,,,,CCZ description,new genus,,macrofauna,morphology only (specimens),,,,,,exact,,accepted,1544253,Vasopora,"Grischenko, Gordon & Melnik, 2021",Animalia,Bryozoa,Stenolaemata,Cyclostomatida,Alyonushkidae,Vasopora,,,,,,,,,,,YUZ,,,,,,,,,,,y,2008,2003-2013,Yuzhmorgeologiyahmorgeologiya 2003-2013,
2221,Vasopora ceramica,Vasopora ceramica,Vasopora ceramica,species,species,Grischenko_etal_2021,,2021,sp. nov.,,,,,,,,,,,,,CCZ description,new species,,macrofauna,morphology only (specimens),,,,benthic,,exact,,accepted,1544254,Vasopora ceramica,"Grischenko, Gordon & Melnik, 2021",Animalia,Bryozoa,Stenolaemata,Cyclostomatida,Alyonushkidae,Vasopora,,ceramica,,,,,,,,,YUZ,,,,,,,,,,,y,2008,2003-2013,Yuzhmorgeologiyahmorgeologiya 2003-2013,
2222,?Anyutidae sp. incertae sedis,Anyutidae,Anyutidae,family,temporary name,Grischenko_etal_2021,,,incertae sedis,,,,,,,2,,,,,,temporary name,undescribed new species,morphospecies,macrofauna,,,,,,,,,,1299139,Anyutidae,"Grischenko, Gordon & Melnik, 2018",Animalia,Bryozoa,Stenolaemata,Cyclostomatida,Anyutidae,,,,,,,,,,,,,,,,,,,,,,,,,,,
2223,Aurospio dibranchiata,Aurospio dibranchiata,Aurospio dibranchiata,species,species,Guggolz_etal_2020,,2020,,,,,,,,,,,"box core; megacore; EBS, ROV",,,record,record,,macrofauna,morphology and molecular data,,,,benthic,,exact,,accepted,131110,Aurospio dibranchiata,"Maciolek, 1981",Animalia,Annelida,Polychaeta,Spionida,Spionidae,Aurospio,,dibranchiata,,,,,,,,,GSR,IFR2,IOM,UK-1,OMS1,APEI-6,,,,,,y,2015,2013; 2015,SO239 EcoResponse; ABYSSLINE AB01; AB02,
2224,Aurospio sp. S,Aurospio,Aurospio,genus,temporary name,Guggolz_etal_2020,,2020,,,,,,,,,,,"box core; megacore; EBS, ROV",,,temporary name,undescribed new species,MOTU,macrofauna,morphology and molecular data,,,,,,exact,,accepted,129608,Aurospio,"Maciolek, 1981",Animalia,Annelida,Polychaeta,Spionida,Spionidae,Aurospio,,,,,,,,,,,GSR,IFR2,IOM,UK-1,OMS1,APEI-6,,,,,,y,2013,2013; 2015,SO239 EcoResponse; ABYSSLINE AB01; AB02,
2225,Aurospio sp. T,Aurospio,Aurospio,genus,temporary name,Guggolz_etal_2020,,2020,,,,,,,,,,,"box core; megacore; EBS, ROV",,,temporary name,undescribed new species,MOTU,macrofauna,morphology and molecular data,,,,,,exact,,accepted,129608,Aurospio,"Maciolek, 1981",Animalia,Annelida,Polychaeta,Spionida,Spionidae,Aurospio,,,,,,,,,,,GSR,IFR2,IOM,UK-1,OMS1,APEI-6,,,,,,y,2013,2013; 2015,SO239 EcoResponse; ABYSSLINE AB01; AB02,
2226,Prionospio sp. A,Prionospio,Prionospio,genus,temporary name,Guggolz_etal_2020,,2020,,,,,,,,,,,"box core; megacore; EBS, ROV",,,temporary name,undescribed new species,MOTU,macrofauna,morphology and molecular data,,,,,,exact,,accepted,129620,Prionospio,"Malmgren, 1867",Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,,,,,,,,,,GSR,IFR2,IOM,UK-1,OMS1,APEI-6,,,,,,y,2013,2013; 2015,SO239 EcoResponse; ABYSSLINE AB01; AB02,
2227,Prionospio sp. B,Prionospio,Prionospio,genus,temporary name,Guggolz_etal_2020,,2020,,,,,,,,,,,"box core; megacore; EBS, ROV",,,temporary name,undescribed new species,MOTU,macrofauna,morphology and molecular data,,,,,,exact,,accepted,129620,Prionospio,"Malmgren, 1867",Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,,,,,,,,,,GSR,IFR2,IOM,UK-1,OMS1,APEI-6,,,,,,y,2013,2013; 2015,SO239 EcoResponse; ABYSSLINE AB01; AB02,
2228,Prionospio sp. C,Prionospio,Prionospio,genus,temporary name,Guggolz_etal_2020,,2020,,,,,,,,,,,"box core; megacore; EBS, ROV",,,temporary name,undescribed new species,MOTU,macrofauna,morphology and molecular data,,,,,,exact,,accepted,129620,Prionospio,"Malmgren, 1867",Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,,,,,,,,,,GSR,IFR2,IOM,UK-1,OMS1,APEI-6,,,,,,y,2013,2013; 2015,SO239 EcoResponse; ABYSSLINE AB01; AB02,
