rec,reference,full_citation,INCL,year_published,size_cat,descr_id_with,new_gen_data_publ,OA,oa_cat-2ndary=repositary,DESCRIPTION,TOT_SAMPLING_EVENTS,stn_tot,samplingMethod,SINGLETON_ANALYSIS,paper_singleton_count,single_my_est,single_analysis_notes,incl_notes,year_survey/coll,TO_DO-GEN_NOTES,tot_taxa/morphospp,tot_ind,area sampled,id_notes,expedition,region_sampled,new family,new genus,new species,record,temp name record,tot_taxa_records,cumul_tot,desc_tot,cumul_desc_tot,cumul_new_sp,paper_notes,functional_group/sub-cat-fauna,categ,synthesis_muli-datasets,journal,article_type,key_provided,found_via,SITE_ADDED,site_table-lat-long-depth,site_mapping,,,,,
166,Durden_etal_2021,"Durden, J.M., Putts, M., Bingo, S.R.D., Leitner, A.B., Drazen, J.C., Gooday, A.J., Jones, D.O., Sweetman, A.K., Washburn, T.W. and Smith, C.R., 2021. Megafaunal ecology of the western Clarion Clipperton Zone. Frontiers in Marine Science, 8, p.722.",yes,2021,megafauna,morphology only (ROV imagery),no,yes,,,na,,ROV imagery (photos),no,refd but no number,,"mega morphotype, ROV dives- tricky site records, ",,2018,,126,,,,DeepCCZ,,,,,,159,159,1812,0,57,47,,,community composition/species assemblages,,Frontiers in Marine Science,article,,,,,,,,,,
10,Foell&Pawson_1986,"Foell EJ, Pawson DL (1986) Photographs of invertebrate megafauna from abyssal depths of the north-eastern Equatorial Pacific Ocean. Ohio J Sci 86:61–68.",yes,1986,megafauna,morphology only (imagery),no,n,2ndary,,24,"24 camera tows, 70,000 images",ROV imagery/video,,,,no site list,,,,70,,,says id'd as species but range of levels of identification (and certainty within),,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Foell&Pawson_1989,"Foell EJ, Hennigar HF, Pawson DL (1991) Assessment of abyssal benthic megafauna on a ferromanganese nodule deposit and videotaped television survey data. Trans Soc Mining, Metall 288:1854–1858.",yes,1989,megafauna,,no,,,,,"250 hrs videotape, 2149 photographs",ROV imagery/video,NA,,,,no- duplicate data,,,,,,,,DOMES site C,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Fujimoto&Murakami_2020,"Fujimoto, S. and Murakami, C., 2020. A new genus and species of Nanaloricidae (Loricifera: Nanaloricida) from the Clarion-Clipperton Fracture Zone. Zoologischer Anzeiger, 289, pp.177-188.",yes,2020,meiofauna,morphology only (specimens),no,n,,y,2,2 stations (2 deployments),box core,y,,,,,2018,,,,,,DeepCCZ,,,1,1,,,2,1814,2,59,48,,benthic fauna/epifauna,taxonomy/species description,,Zoologischer Anzeiger,article,,,YES,y- in text,,,,,,
23,Fukushima&Imajima_1997,"Fukushima, T., Imajima, M., 1997. A study of a macrobenthos community in a deep sea resedimentation area. Proceedings of International Symposium on Environmental Studies for Deep-Sea Mining, Tokyo, Japan, November 20-21, 1997, pp. 331-335.",yes,1997,macrofauna,morphology only (specimens),no,n,,,na,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Fukushima_etal_2000,"Fukushima, T., Shirayama, Y. and Kuboki, E., 2000. The characteristics of deep-sea epifaunal megabenthos community two years after an artificial rapid deposition event. Publications of the Seto Marine Biological Laboratory, 39(1), pp.17-27.",yes,2000,megafauna,morphology only (imagery),no,yes,,,,,towed camera,no,,,,,,,,,,,,,,,,11,,11,1825,0,59,48,,,,,,,,,YES,,,,,,,
144,Gebruk_etal_2020,"Gebruk, A.V., Kremenetskaia, A. and Rouse, G.W., 2020. A group of species “Psychropotes longicauda”(Psychropotidae, Elasipodida, Holothuroidea) from the Kuril-Kamchatka Trench area (North-West Pacific). Progress in Oceanography, 180, p.102222.",yes,2020,megafauna,morphology and molecular data,yes,yes,,y,,1 station,,y,,,,,,,,,,,,,,,1,1,,2,1827,1,60,49,,,,,,,,,YES,,,,,,,
118,Gheerardyn&George_2019,"Gheerardyn, H. and George, K.H., 2019. Description of a new species of Neoargestes Drzycimski, 1967 (Copepoda, Harpacticoida, Argestidae) from the Clarion Clipperton Fracture Zone (Pacific Ocean), with remarks on the systematics of the genus. Marine Biodiversity, 49(4), pp.1891-1912.",yes,2019,meiofauna,morphology only (specimens),no,n,,y,na,,multicorer,y,,,,,2015,,,,,,GSRNOD15A,,,,1,,,1,1828,1,61,50,,,taxonomy/species description,,Marine Biodiversity,article,,,YES,"no- in Pape et al., 2017",,,,,,
37,Glover_etal_2002,"Glover, A.G., Smith, C.R., Paterson, G.L.J., Wilson, G.D.F., Hawkins, L. and Sheader, M., 2002. Polychaete species diversity in the central Pacific abyss: local and regional patterns, and relationships with productivity. Marine Ecology Progress Series, 240, pp.157-170.",yes,2002,macrofauna,morphology only (specimens),no,yes,,,add,,NA,y,,,missing lat longs for DOMES,,NA,check,,,,,NA,,,,,4,378,382,2210,0,61,50,,,community composition/species assemblages,,,,,,,,,,,,,
78,Glover_etal_2016,"Glover, A.G., Wiklund, H., Rabone, M., Amon, D.J., Smith, C.R., O'Hara, T., Mah, C.L. and Dahlgren, T.G., 2016. Abyssal fauna of the UK-1 polymetallic nodule exploration claim, Clarion-Clipperton Zone, central Pacific Ocean: Echinodermata. Biodiversity data journal, (4).",yes,2016,megafauna,morphology and molecular data,yes,yes,,,add,,"box core; megacore; EBS, ROV",y,,,,,2013,"error with some of RV06 records- some were Divas records, some not.",17,,,"17 species, ",ABYSSLINE AB01,,,,,8,9,17,2227,0,61,50,,,community composition/species assemblages,,Biodiversity data journal,article,,,,y,,,,,,
102,Grischenko_etal_2018,"Grischenko, A.V., Gordon, D.P. and Melnik, V.P., 2018. Bryozoa (Cyclostomata and Ctenostomata) from polymetallic nodules in the Russian exploration area, Clarion-Clipperton Fracture Zone, eastern Pacific Ocean-taxon novelty and implications of mining. Zootaxa, 4484(1), pp.1-91.",yes,2018,macrofauna,morphology only (specimens),no,n,,y,na,,box core,y,,,,,2000-2016,,,,,,"BIE2000, YMG18–01, YMG4–04, YMG4–06, YMG4–07, YMG4–13, YMG4–14); GLD4–08, GLD4–09, GLD4–11, GLD4–1",,2,9,16,,3,30,2257,27,88,66,,,taxonomy/species description: MONOGRAPH,,Zootaxa,article,,,,y- in text,,,,,,
167,Grischenko_etal_2021,"Grischenko, A.V., Gordon, D.P. and Melnik, V.P., 2021. Vasopora ceramica n. gen., n. sp.—a new abyssal cyclostome bryozoan from polymetallic nodules in the Russian exploration area, Clarion–Clipperton Fracture Zone, eastern Pacific Ocean. Zootaxa, 5047(4), pp.444-452.",yes,2021,macrofauna,morphology only (specimens),no,n,,y,,,,y,,,,,,,,,,,,,,1,1,,,2,2259,2,90,67,,,,,,,,,YES,,,,,,,
145,Guggolz_etal_2020,"Guggolz, T., Meißner, K., Schwentner, M., Dahlgren, T.G., Wiklund, H., Bonifácio, P. and Brandt, A., 2020. High diversity and pan-oceanic distribution of deep-sea polychaetes: Prionospio and Aurospio (Annelida: Spionidae) in the Atlantic and Pacific Ocean. Organisms Diversity & Evolution, pp.1-17.",yes,2020,macrofauna,morphology and molecular data,yes,yes,,,,,"box core; megacore; EBS, ROV",y,,,no site v spp list,,2013; 2015,"overlap with Neal et al., 2022. SPECIES BREAKDOWN BY SITE",19,,,"21 spp, of which 2 named. NB some overlap with Neal et al., 2022",SO239 EcoResponse; ABYSSLINE AB01; AB02,,,,,1,11,12,2271,0,90,67,,,genetic studies,,Organisms Diversity & Evolution,article,,,,y- supmat,,,,,,
146,Harbour_etal_2020,"Harbour, R.P., Leitner, A.B., Ruehlemann, C., Vink, A. and Sweetman, A.K., 2020. Benthic and Demersal Scavenger Biodiversity in the Eastern End of the Clarion-Clipperton Zone–An Area Marked for Polymetallic Nodule Mining. Frontiers in Marine Science, 7, p.458.",yes,2020,megafauna,morphology only (imagery),no,yes,,,10,10 baited cameras,baited camera lander,y,,,,,,,12,,,12 taxa,,,,,,12,,12,2283,0,90,67,,,,,,,,,,,,,,,,
119,Hauqiuer_etal_2019,"Hauquier, F., Macheriotou, L., Bezerra, T.N., Egho, G., Martínez Arbizu, P. and Vanreusel, A., 2019. Distribution of free-living marine nematodes in the Clarion–Clipperton Zone: implications for future deep-sea mining scenarios. Biogeosciences, 16(18), pp.3475-3489.",yes,2019,meiofauna,morphology only (specimens),no,yes,,,,"18 stations (in each area, 3-6 multicore deployments were carried out)",multicorer,get data,,,missing spp vs site- emailed,,2015,,,,,156 genera,SO239 EcoResponse,,,,,35,2,37,2320,0,90,67,,,genetic studies,,Biogeosciences,article,,,,y,,,,,,
6,Hecker&Paul_1979,"Hecker, B, Paul, AZ (1979) Abyssal community structure of the benthic infauna of the eastern equatorial Pacific: DOMES sites A, B, and C. In: Bischoff, JL and Piper, DZ (eds) Marine Geology and Oceanography of the Pacific Manganese Nodule Province, Plenum Press, New York, NY, pp. 287-308.",yes,1979,macrofauna,morphology only (specimens),no,yes,,,80,80 box cores,,no,,,,,,,381,,,381 macrofauna,,8 expeditions,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Herzog_etal_2018,"Herzog, S., Amon, D.J., Smith, C.R. and Janussen, D., 2018. Two new species of Sympagella (Porifera: Hexactinellida: Rossellidae) collected from the Clarion-Clipperton Zone, East Pacific. Zootaxa, 4466(1), pp.152-163. https://doi.org/10.11646/zootaxa.4466.1.12",yes,2018,megafauna,morphology only (specimens),no,n,,y,na,,ROV,y,,,check abund,,2013,,,,,,ABYSSLINE AB01,,,,2,,,2,2322,2,92,69,,,taxonomy/species description,,Zootaxa,article,,,YES,y,,,,,,
120,Jakiel_etal_2019,"Jakiel, A., Palero, F. and B?a?ewicz, M., 2019. Deep ocean seascape and pseudotanaidae (crustacea: tanaidacea) diversity at the clarion-clipperton fracture Zone. Scientific reports, 9(1), pp.1-49.. https://doi.org/10.1038/s41598-019-51434-z",yes,2019,macrofauna,morphology and molecular data,not avail,yes,,y,,,EBS,y,,,site v spp- table in ms- pull out,,2015,,,,,,SO239 EcoResponse,,,1,13,,2,16,2338,14,106,82,"where is genbank data? Emailed Ferran 29 march 2021. Abstract says 14 new species, 2 of them new taxa, but is 13 new species, plus 2 virtual taxa",,taxonomy/species description,,Scientific Reports,article,y,,,y,,,,,,
69,Janssen_etal_2015,"Janssen, A., Kaiser, S., Meissner, K., Brenke, N., Menot, L. and Martínez Arbizu, P., 2015. A reverse taxonomic approach to assess macrofaunal distribution patterns in abyssal Pacific polymetallic nodule fields. Plos one, 10(2), p.e0117790.",yes,2015,macrofauna,molecular data only,yes,yes,,,15,15 EBS,EBS,y,65 MOTUs singletons,,,,2010; 2012,,"21 taxa, 95 motus",1900,,"21 taxa, 95 motus",MANGAN; SO205; Bionod 12,"BGR east, IFREMER",,,,2,4,6,2344,0,106,82,,,genetic studies,,PLoS ONE,article,,,,y,,,,,,
121,Janssen_etal_2019,"Janssen, A., Stuckas, H., Vink, A. and Arbizu, P.M., 2019. Biogeography and population structure of predominant macrofaunal taxa (Annelida and Isopoda) in abyssal polymetallic nodule fields: implications for conservation and management. Marine Biodiversity, 49(6), pp.2641-2658.",yes,2019,macrofauna,molecular data only,yes,n,,,22,22 stations,EBS,poss,,,,,2010; 2012; 2013; 2014,,10 (subsampled),,,"morphospp subselected- 4 poly, 4 iso","Bionod 2012; MANGAN, 2010; 2013; 3014",,,,,2,8,10,2354,0,106,82,genbank data via Eva,,genetic studies,,Marine Biodiversity,article,,,,y,,,,,,
168,Jazdzewska_etal_2021a,"Ja?d?ewska, A.M., Brandt, A., Martínez Arbizu, P. and Vink, A., 2021. Exploring the diversity of the deep sea—four new species of the amphipod genus Oedicerina described using morphological and molecular methods. Zoological Journal of the Linnean Society. 1-45. https://doi.org/10.1093/zoolinnean/zlab032",yes,2021,macrofauna,morphology and molecular data,yes,yes,,y,,6 stations,EBS,,,,poss add,yes but secondary data..,2015; 2016; 2018,"check genbank records- not on db. Published 2021, issue- 2022",7 specimens,,,,ABYSSLINE AB02; MANGAN 2016; 2018,,,,2,,,2,2356,2,108,84,,,taxonomy/species description/ genetic studies,,Zoological Journal of the Linnean Society,article,,,,,,,,,,
169,Jazdzewska_etal_2021b,"Jaz?dz?ewska AM, Horton T, Hendrycks E, Mamos T, Driskell AC,
Brix S and Martínez Arbizu P (2021) Pandora’s Box in the Deep
Sea –Intraspecific Diversity Patterns and Distribution of Two Congeneric Scavenging Amphipods. Front. Mar. Sci. 8:750180.
doi: 10.3389/fmars.2021.750180",yes,2021,macrofauna,morphology and molecular data,existing data,yes,,,na,,,,,,,poss- using existing data,,Same motus as Lupita but different coding- ask L. where does this fit with Lupitas paper- Paralicella caperesca 6 MOTUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Jones_etal_2021,"Jones, D.O., Simon-Lledó, E., Amon, D.J., Bett, B.J., Caulle, C., Clément, L., Connelly, D.P., Dahlgren, T.G., Durden, J.M., Drazen, J.C. and Felden, J., 2021. Environment, ecology, and potential effectiveness of an area protected from deep-sea mining (Clarion Clipperton Zone, abyssal Pacific). Progress in Oceanography, 197, p.102653.",yes,2021,macrofauna,morphology and molecular data,existing data,yes,,,,,,y,,,records duplicated elsewhere,,,some of these morphospp names be in DD also,,,,incl morphospp ifrom UKSRL data- will also be in DD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Kaiser_2014,"Kaiser, S., 2014. New species of Hebefustis Siebenaller & Hessler 1977 (Isopoda, Asellota, Nannoniscidae) from the Clarion Clipperton Fracture Zone (equatorial NE Pacific). Zootaxa, 3784(2), pp.101-119.",yes,2014,macrofauna,morphology only (specimens),no,n,,y,,3 stations,EBS,y,,,,,2012,,,,,,BIONOD,,,,2,,,2,2358,2,110,86,not in Paulos report,nodule fauna,taxonomy/species description,,Zootaxa,article,,,YES,y-in text,,,,,,
91,Kaiser_etal_2018,"Kaiser, S., Brix, S., Kihara, T.C., Janssen, A. and Jennings, R.M., 2018. Integrative species delimitation in the deep-sea genus Thaumastosoma Hessler, 1970 (Isopoda, Asellota, Nannoniscidae) reveals a new genus and species from the Atlantic and central Pacific abyss. Deep Sea Research Part II: Topical Studies in Oceanography, 148, pp.151-179. https://doi.org/10.1016/j.dsr2.2017.05.006",yes,2018,macrofauna,morphology and molecular data,yes,n,,y,,4 stations,EBS,y,,,,,,check year published- 2017 or 2018,,,,,,,,1,1,,1,3,2361,2,112,87,,,taxonomy/species description,,Deep Sea Research Part II: Topical Studies in Oceanography,article,,,YES,,,,,,,
171,Kaiser_etal_2021,"Kaiser, S., Kihara, T.C., Brix, S., Mohrbeck, I., Janssen, A. and Jennings, R.M., 2021. Species boundaries and phylogeographic patterns in new species of Nannoniscus (Janiroidea: Nannoniscidae) from the equatorial Pacific nodule province inferred from mtDNA and morphology. Zoological Journal of the Linnean Society. zlaa174. doi:10.1093/zoolinnean/zlaa174",yes,2021,macrofauna,morphology and molecular data,yes,yes,,y,,22 stations,EBS,y,,,check w Steffi= no other material recorded,,2012; 2013; 2014; 2015,,,,,,BIONOD; MANGAN 2013; 2014; ABYSSLINE AB02; S0239,,,,5,,,5,2366,5,117,92,,,taxonomy/species description,,Zoological Journal of the Linnean Society,article,,,,y,,,,,,
104,Kersken_etal_2018a,"Kersken, D., Janussen, D. and Arbizu, P.M., 2018. Deep-sea glass sponges (Hexactinellida) from polymetallic nodule fields in the Clarion-Clipperton Fracture Zone (CCFZ), northeastern Pacific: Part I–Amphidiscophora. Marine Biodiversity, 48(1), pp.545-573.",yes,2018,megafauna,morphology and molecular data,existing data,n,,y,10,10 stations/dives,ROV,y,,,,,2015,,9,19,,,SO239 Ecoresponse,,,,3,6,,9,2375,3,120,95,issues w Kersken papers,,taxonomy/species description,,Marine Biodiversity,article,,,,y,,,,,,
105,Kersken_etal_2018b,"Kersken, D., Kocot, K., Janussen, D., Schell, T., Pfenninger, M. and Arbizu, P.M., 2018. First insights into the phylogeny of deep-sea glass sponges (Hexactinellida) from polymetallic nodule fields in the Clarion-Clipperton Fracture Zone (CCFZ), northeastern Pacific. Hydrobiologia, 811(1), pp.283-293. doi:10.1007/s10750-017-3498-3",yes,2018,megafauna,morphology and molecular data,yes,n,,,na,,ROV,no,,,most records in 2018a,,2015,,,,,,SO239 Ecoresponse,,,,,6,,6,2381,0,120,95,sourced from supmat,,genetic studies,,Hydrobiologia,article,,,,y,,,,,,
123,Kersken_etal_2019,"Kersken, D., Janussen, D. and Arbizu, P.M., 2019. Deep-sea glass sponges (Hexactinellida) from polymetallic nodule fields in the Clarion-Clipperton Fracture Zone (CCFZ), northeastern Pacific: Part II—Hexasterophora. Marine Biodiversity, 49(2), pp.947-987. https://doi.org/10.1007/s12526-018-0880-y",yes,2019,megafauna,morphology and molecular data,existing data,n,,y,12,,ROV,y,,,,,2015,SPECIES BREAKDOWN BY SITE,14,,,,SO239 Ecoresponse,,,,6,8,,14,2395,6,126,101,issues w Kersken papers,,taxonomy/species description,,Marine Biodiversity,article,,,,y,,,,,,
93,Kersten_etal_2017,"Kersten, O., Smith, C.R. and Vetter, E.W., 2017. Abyssal near-bottom dispersal stages of benthic invertebrates in the Clarion-Clipperton polymetallic nodule province. Deep Sea Research Part I: Oceanographic Research Papers, 127, pp.31-40.",yes,2017,macrofauna,molecular data only,yes,n,,,na,,plankton pump; sediment trap,n,,,metabarcoding,,2015,SPECIES BREAKDOWN BY SITE,27,,,"27 OTUs, nb indet not undescribed new spp",ABYSSLINE AB02,,,,,5,22,27,2422,0,126,101,only 1 record to genus. Morphotypes,,general biology,,Deep Sea Research Part I: Oceanographic Research Papers,article,,,,,,,,,,
124,Kersten_etal_2019,"Kersten, O., Vetter, E.W., Jungbluth, M.J., Smith, C.R. and Goetze, E., 2019. Larval assemblages over the abyssal plain in the Pacific are highly diverse and spatially patchy. PeerJ, 7, p.e7691.",yes,2019,meroplankton,molecular data only,yes- genomic data,yes,,,na,12 deployments?,plankton pump,n,,,metabarcoding,,2015,SPECIES BREAKDOWN BY SITE,95,,,95/110/73 motus,ABYSSLINE AB02,,,,,95,,95,2517,0,126,101,metabarcoding data of meroplankton,,,,PeerJ,article,,,,,,,,,,
194,Khodami_etal_2020,"Genus level molecular phylogeny of Aegisthidae Gisbrecht, 1893 (Copepoda: Harpacticoida) reveals morphological adaptations to deep-sea and plagic habitats",yes,2020,meiofauna,morphology and molecular data,yes,yes,,,42,,,n,,,not species level- poss add anyway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Kim_etal_2000,"Kim, D.S., Hyun, J.H., Choi, J.W., Lee, K.Y. 2000. Meiobenthic Faunal Communities of the Deep-sea Sediments in the Northeastern Pacific along a Latitudinal Transect. The Sea: JOURNAL OF THE KOREAN SOCIETY OF OCEANOGRAPHY, 5(3), pp.245-254.",yes,2000,meiofauna,morphology only (specimens),no,yes,,,10,10 stations,multi core,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Kristensen_etal_2019,"Kristensen, R.M., Gooday, A.J. and Goineau, A., 2019. Loricifera inhabiting spherical agglutinated structures in the abyssal eastern equatorial Pacific nodule fields. Marine Biodiversity, 49(5), pp.2455-2466.",yes,2019,meiofauna,morphology only (specimens),no,yes,,,4,4 megacore,,n,,,,,,,,,,,,,,,,2,,2,2519,0,126,101,,,,,,,,,,,,,,,,
172,Kupryanova_etal_2021,"Kupriyanova, E.K., Bailey-Brock, J. and Nishi, E., 2011. New records of Serpulidae (Annelida, Polychaeta) collected by R/V “Vityaz” from bathyal and abyssal depths of the Pacific Ocean. Zootaxa, 2871(1), pp.43-60.",yes,2021,macrofauna,morphology only (specimens),no,n,2ndary,,,,,where?,,,,,,,1,3,,,,,,,,1,,1,2520,0,126,101,,,,,,,,,YES,,,,,,,
126,Laakmann_etal_2019,"Laakmann, S., Markhaseva, E.L. and Renz, J., 2019. Do molecular phylogenies unravel the relationships among the evolutionary young “Brafordian” families (Copepoda; Calanoida)?. Molecular phylogenetics and evolution, 130, pp.330-345.",yes,2019,meiofauna,morphology and molecular data,yes,yes,,,na,,,n,,,collected at depth but poss pelagic,,2013,,,,,,MANGAN 2013,,,,,2,,2,2522,0,126,101,TO include apart from sample at 286 depth,,,,Molecular phylogenetics and evolution,article,,,,,,,,,,
38,Lambshead_etal_2003,"Lambshead, P. J. D., Brown, C. J., Ferrero, T. J., Hawkins, L. E., Smith, C. R., & Mitchell, N. J. (2003). Biodiversity of nematode assemblages from the region of the Clarion-Clipperton Fracture Zone, an area of commercial mining interest. BMC ecology, 3(1), 1-12.",yes,2002,macrofauna,morphology only (specimens),no,yes,,,,,NA,get data,,,no species list- poss add anyway,,NA,,200,3321,,,NA,EQPAC (JGFOS),,,,53,,53,2575,0,126,101,,,community composition/species assemblages,,,,,,,,,,,,,
173,Laming_etal_2021,"Laming, S.R., Christodoulou, M., Arbizu, P.M. and Hilário, A., 2021. Comparative reproductive biology of deep-sea ophiuroids inhabiting polymetallic-nodule fields in the Clarion-Clipperton Fracture Zone. Frontiers in Marine Science. 8:663798. doi: 10.3389/fmars.2021.663798",yes,2021,macrofauna,morphology and molecular data,yes,yes,,,na,,ROV,n,,,no spp v site list,,2015; 2019,check genbank records- not on db,,,,,SO239 EcoResponse; SO268 R/V Sonne,,,,,2,,2,2577,0,126,101,preprint,,general biology,,Frontiers in Marine Science,article,,,,Y,,,,,,
195,Laroche_etal_2020,"Laroche, O., Kersten, O., Smith, C.R. and Goetze, E., 2020. From sea surface to seafloor: a benthic allochthonous eDNA survey for the abyssal ocean. Frontiers in Marine Science, 7, p.682. doi:10.3389/fmars.2020.00682",yes,2018,all,molecular data only,yes- genomic data,yes,,,,,ROV push core,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Larsen&Arauijo-Silva_2014,"Larsen, K. and Araujo-Silva, C., 2014. A new genus of Colletteidae (Crustacea: Peracarida: Tanaidacea) from the Pacific with comments on dimorphic males with species specific characters. Journal of the Marine Biological Association of the United Kingdom, 94(5), pp.969-974.",yes,2014,macrofauna,morphology only (specimens),no,n,,y,na,,EBS,y,,,,,2012,,,,,,BIONOD,,,,1,,,1,2578,1,127,102,ref'd in Chim&Tong_2020,,taxonomy/species description,,Journal of the Marine Biological Association of the United Kingdom,article,,,YES,,,,,,,
27,Larsen_1999,"Larsen, K., 1999. Pacific Tanaidacea (Crustacea): Revision of the genus Agathotanais with description of three new species. RECORDS-AUSTRALIAN MUSEUM, 51, pp.99-112.",yes,1999,macrofauna,morphology only (specimens),no,n,,y,na,,NA,y,,,,,NA,,,,,,NA,,,,,,,,,,,,ref'd in Chim&Tong_2020,,species description,,,,,,,,,,,,,
53,Larsen_2011a,"Larsen, K., 2011. Tanaidaceans (Crustacea) from the Central Pacific Manganese Nodule Province. I. The genera Collettea, Robustochelia and Tumidochelia. ZooKeys, (87), p.19.",yes,2011,macrofauna,morphology only (specimens),no,yes,,y,na,,box core; spade corer,y,,,not clear if only specimens- Larsen only given types,,2004,,,,,,NODINAUT,,,,4,,,4,2582,4,131,106,ref'd in Chim&Tong_2020,,taxonomy/species description,,Zookeys,article,,,YES,y- in text,,,,,,
54,Larsen_2011b,"Larsen, K., 2011. The tanaidacean assemblage from the Central Pacific Manganese Nodule Province. II. The genera Stenotanais and Typhlotanais (Crustacea). Zootaxa, 3088(1), pp.39-53.",yes,2011,macrofauna,morphology only (specimens),no,n,,y,na,,box core; spade corer,y,,,not clear if only specimens- Larsen only given types,,2004,,,,,,NODINAUT,,,,2,,,2,2584,2,133,108,ref'd in Chim&Tong_2020,,taxonomy/species description,,Zootaxa,article,,,YES,y- in text,,,,,,
94,Leitner_etal_2017,"Leitner, A.B., Neuheimer, A.B., Donlon, E., Smith, C.R. and Drazen, J.C., 2017. Environmental and bathymetric influences on abyssal bait-attending communities of the Clarion Clipperton Zone. Deep Sea Research Part I: Oceanographic Research Papers, 125, pp.65-80.",yes,2017,megafauna,morphology only (specimens),no,yes,,,13,,baited camera lander,y,,,,,2015,,15,,,15 taxa,ABYSSLINE AB02; EQPAC,OMS/UK-1/APEI-3,,,,12,3,15,2599,0,133,108,,,community composition/species assemblages,,Deep Sea Research Part I: Oceanographic Research Papers,article,,,,Y,,,,,,
174,Leitner_etal_2021,"Leitner, A.B., Drazen, J.C. and Smith, C.R., 2021. Testing the Seamount Refuge Hypothesis for Predators and Scavengers in the Western Clarion-Clipperton Zone. Frontiers in Marine Science, p.1146.",yes,2021,megafauna,morphology only (ROV imagery),no,yes,,,17,,camera lander for seafloor imagery,y,,,,,2018,,22,,,,DeepCCZ,,,,,20,1,21,2620,0,133,108,,,,,Frontiers in Marine Science,article,,,,y,table 1,,,,,
175,Leitner_etal_2021b,"Leitner, A.B., Durden, J.M., Smith, C.R., Klingberg, E.D. and Drazen, J.C., 2021. Synaphobranchid eel swarms on abyssal seamounts: Largest aggregation of fishes ever observed at abyssal depths. Deep Sea Research Part I: Oceanographic Research Papers, 167, p.103423.",yes,2021,megafauna,,no,yes,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,"duplicate of data in Leitner et al., 2021",,,,,,,,,,,,,,,
176,Lejzerowicz_etal_2021,"Lejzerowicz, F., Gooday, A.J., Barrenechea Angeles, I., Cordier, T., Morard, R., Apothéloz-Perret-Gentil, L., Lins, L., Menot, L., Brandt, A., Levin, L.A. and Martinez Arbizu, P., 2021. Eukaryotic biodiversity and spatial patterns in the Clarion-Clipperton zone and other abyssal regions: insights from sediment DNA and RNA metabarcoding. Frontiers in Marine Science, 8, p.536.",yes,2021,meiofauna,molecular data only,yes,yes,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Lim_etal_2017,"Lim, S.C., Wiklund, H., Glover, A.G., Dahlgren, T.G. and Tan, K.S., 2017. A new genus and species of abyssal sponge commonly encrusting polymetallic nodules in the Clarion-Clipperton Zone, East Pacific Ocean. Systematics and biodiversity, 15(6), pp.507-519. https://doi.org/10.1080/14772000.2017.1358218",yes,2017,macrofauna,morphology and molecular data,yes,n,,y,,11 stations,box core,y,,,,,2015,,,,,,ABYSSLINE AB01,,,1,1,,,2,2622,2,135,109,,,taxonomy/species description,,Systematics and biodiversity,article,,,YES,y- in text,,,,,,
177,Lorz&Horton_2021,"Lörz, A.N. and Horton, T., 2021. Investigation of the Amathillopsidae (Amphipoda, Crustacea), including the description of a new species, reveals a clinging lifestyle in the deep sea worldwide. ZooKeys, 1031, p.19.",yes,2021,macrofauna,morphology and molecular data,yes,yes,,,na,,,n,,,,,,,,,,,,,,,,1,,1,2623,0,135,109,,,,,,,,,,,,,,,,
148,Macheriotou_etal_2020,"Macheriotou, L., Rigaux, A., Derycke, S. and Vanreusel, A., 2020. Phylogenetic clustering and rarity imply risk of local species extinction in prospective deep-sea mining areas of the Clarion–Clipperton Fracture Zone. Proceedings of the Royal Society B, 287(1924), p.20192666.",yes,2020,meiofauna,molecular data only,yes- genomic data,yes,,,23,23 stations,,n,,,,,,,,,,,,,,,,47,,47,2670,0,135,109,,,,,,,,,,,,,,,,
149,Maciolek_2020,"Maciolek, N.J., 2020. Anguillosyllis (Annelida: Syllidae) from multiple deep-water locations in the northern and southern hemispheres. Zootaxa, 4793(1), pp.1-73.",yes,2020,macrofauna,morphology only (specimens),no,yes,,y,na,,box core,y,,,,,1983; 1993; 1994,,,,,,NOAA DOMES; NOAA BIE,,,,2,1,,3,2673,2,137,111,from datasetName in GBIF,,taxonomy/species description,,Zootaxa,article,,,YES,,,,,,,
49,Mahatma_2009,"Mahatma, R., 2009. Meiofauna communities of the Pacific Nodule Province: abundance, diversity and community structure (Doctoral dissertation, Universität Oldenburg).",yes,2009,meiofauna,morphology only (specimens),no,yes,,,,,,n,,,no spp v site list,,,,,,,,,,,,,43,,43,2716,0,137,111,,,,,,thesis,,,,,,,,,,
