rec,reference,full_citation,INCL,year_published,size_cat,descr_id_with,new_gen_data_publ,OA,oa_cat-2ndary=repositary,DESCRIPTION,TOT_SAMPLING_EVENTS,stn_tot,samplingMethod,SINGLETON_ANALYSIS,paper_singleton_count,single_my_est,single_analysis_notes,incl_notes,year_survey/coll,TO_DO-GEN_NOTES,tot_taxa/morphospp,tot_ind,area sampled,id_notes,expedition,region_sampled,new family,new genus,new species,record,temp name record,tot_taxa_records,cumul_tot,desc_tot,cumul_desc_tot,cumul_new_sp,paper_notes,functional_group/sub-cat-fauna,categ,synthesis_muli-datasets,journal,article_type,key_provided,found_via,SITE_ADDED,site_table-lat-long-depth,site_mapping,,,,,
75,Blake_2016,"Blake, J.A., 2016. Kirkegaardia (Polychaeta, Cirratulidae), new name for Monticellina Laubier, preoccupied in the Rhabdocoela, together with new records and descriptions of eight previously known and sixteen new species from the Atlantic, Pacific, and Southern Oceans. Zootaxa, 4166(1), pp.1-93. http://mapress.com/j/zt/issue/view/zootaxa.4166.1",yes,2016,macrofauna,morphology only (specimens),no,yes,,y,na,,,y,,,,,,,,,,,,,,,1,,,1,324,1,12,8,,,taxonomy/species description,,Zootaxa,article,,,YES,,in type loc,,,,,
88,Blake_2017,"Blake, J.A., 2017. Polychaeta Orbiniidae from Antarctica, the Southern Ocean, the Abyssal Pacific Ocean, and off South America. Zootaxa, 4218(1), pp.1-145.",yes,2017,macrofauna,morphology only (specimens),no,yes,,y,na,,,y,,,,,,,,,,,,,,,1,,,1,325,1,13,9,,,,,Zootaxa,article,,,YES,,in type loc,,,,,
112,Blake_2019,"Blake, J.A., 2019. New species of Cirratulidae (Annelida, Polychaeta) from abyssal depths of the Clarion-Clipperton Fracture Zone, North Equatorial Pacific Ocean. Zootaxa, 4629(2), pp.151-187.",yes,2019,macrofauna,morphology only (specimens),no,yes,,y,na,,box core,y,,,,,1983; 1993,,,,,,NOAA DOMES; NOAA BIE,,,,11,,,11,336,11,24,20,collected outside reporting period,benthic fauna/epifauna,taxonomy/species description,,Zootaxa,article,,,,y- in text,in type loc,,,,,
136,Blake_2020,"Blake, J.A., 2020. New species and records of deep-water Orbiniidae (Annelida, Polychaeta) from the Eastern Pacific continental slope, abyssal Pacific Ocean, and the South China Sea. Zootaxa, 4730(1), pp.1-61. https://doi.org/10.11646/zootaxa.4730.1.1",yes,2020,macrofauna,morphology only (specimens),no,yes,,y,na,,,y,,,,,,,,,,,,,,,1,,,1,337,1,25,21,,,taxonomy/species description,,Zootaxa,article,,,YES,,in type loc,,,,,
113,Blazewicz_etal_2019a,"B?a?ewicz, M., Jó?wiak, P., Jennings, R.M., Studzian, M. and Frutos, I., 2019. Integrative systematics and ecology of a new deep-sea family of tanaidacean crustaceans. Scientific reports, 9(1), pp.1-70. doi:10.1038/s41598-019-53446-1",yes,2019,macrofauna,morphology and molecular data,yes,n,,y,na,,box core,y,,,yes,,2015,"email for list of species, also for type locality",,,,,SO239 EcoResponse,,,,1,,,1,338,1,26,22,,benthic fauna/epifauna,taxonomy/species description/ community composition/species assemblages,,Progress in Oceanography,article,,,,no,in type loc,,,,,
114,Blazewicz_etal_2019b,"B?a?ewicz, M., Jó?wiak, P., Menot, L. and Pabis, K., 2019. High species richness and unique composition of the tanaidacean communities associated with five areas in the Pacific polymetallic nodule fields. Progress in Oceanography, 176, p.102141. https://doi.org/10.1016/j.pocean.2019.102141",yes,2019,macrofauna,morphology only (specimens),no,yes,,,34,,box core,get data,47,,waiting on,,,,98,,,98 morphospp of 446 individuals,,,,,,,,98,436,0,26,22,emailed for morphospecies list in sept 2021,,community composition/species assemblages,,Scientific Reports,article,,,,y,done sep table,,,,,
21,Bluhm_1994,"Bluhm, H., 1994. Monitoring megabenthic communities in abyssal manganese nodule sites of the East Pacific Ocean in association with commercial deep?sea mining. Aquatic Conservation: Marine and Freshwater Ecosystems, 4(3), pp.187-201.",yes,1994,megafauna,morphology only (ROV imagery),no,n,,,5,5 deployments,imagery,no,,,"spp level but no spp vs site, no site, no abundance",,,,,,,,,cameras on benthic grab samplers,,,,,,,,,,,,,,,,,,,,no,NA- MAP ONLY,,,,,
115,Bonifacio&Menot_2019,"Bonifacio, P. and Menot, L., 2019. New genera and species from the Equatorial Pacific provide phylogenetic insights into deep-sea Polynoidae (Annelida). Zoological Journal of the Linnean Society, 185(3), pp.555-635.https://doi.org/10.1093/zoolinnean/zly063",yes,2019,macrofauna,morphology and molecular data,yes,yes,,y,na,,EBS,y,,,,,2015,SPECIES BREAKDOWN BY SITE,,,,,SO239 EcoResponse,,,4,17,2,8,31,467,21,47,39,Polo sent table (not in good format). area of sampling and depth not stated by species record- given for all- 4 contract areas and 1 APEI,,taxonomy/species description,,Zoological Journal of the Linnean Society,article,y,,,Y,done sep table,,,,,
137,Bonifacio_etal_2020,"Bonifácio, P., Martínez Arbizu, P. and Menot, L., 2020. Alpha and beta diversity patterns of polychaete assemblages across the nodule province of the eastern Clarion-Clipperton Fracture Zone (equatorial Pacific). Biogeosciences, 17(4), pp.865-886. doi:10.5194/bg-17-865-2020",yes,2020,macrofauna,morphology and molecular data,yes,yes,,,,,NA,y,134,266,,,NA,,,,,,SO239 EcoResponse,,,,,31,288,319,786,0,47,39,,,,yes,Biogeosciences,article,,,,y- supmat,add from supmat,,,,,
160,Bonifacio_etal_2021,"Bonifácio, P., Neal, L. and Menot, L., 2021. Diversity of deep-sea scale-worms (Polynoidae) in the Clarion-Clipperton Fracture Zone. Frontiers in Marine Science, 8:656899.
doi: 10.3389/fmars.2021.656899",yes,2021,macrofauna,morphology and molecular data,yes,yes,,,,,EBS; box core; ROV,y,59 species,66,,,2015,,,,,,SO239 EcoResponse,,,,,23,78,101,887,0,47,39,,,,yes,Frontiers in Marine Science,article,,,,y,done sep table,,,,,
