"","Species","Individuals"
"N8401",1200.48747979209,8401
"N8421",1202.2760575953,8421
"N8441",1204.0625706833,8441
"N8461",1205.84702520907,8461
"N8481",1207.62942735925,8481
"N8501",1209.40978315022,8501
"N8521",1211.18809871451,8521
"N8541",1212.96438008644,8541
"N8561",1214.73863325404,8561
"N8581",1216.51086420133,8581
"N8601",1218.28107888718,8601
"N8621",1220.04928321547,8621
"N8641",1221.81548305895,8641
"N8661",1223.57968428721,8661
"N8681",1225.34189273352,8681
"N8701",1227.10211416398,8701
"N8721",1228.8603543878,8721
"N8741",1230.61661909037,8741
"N8761",1232.37091402453,8761
"N8781",1234.12324482696,8781
"N8801",1235.87361718302,8801
"N8821",1237.62203669883,8821
"N8841",1239.36850895989,8841
"N8861",1241.11303951678,8861
"N8881",1242.85563393477,8881
"N8901",1244.59629772682,8901
"N8921",1246.33503636517,8921
"N8941",1248.07185529842,8941
"N8961",1249.80675991712,8961
"N8981",1251.53975570619,8981
"N9001",1253.27084798073,9001
"N9021",1255.00004208334,9021
"N9041",1256.7273433637,9041
"N9061",1258.45275711669,9061
"N9081",1260.17628856234,9081
"N9101",1261.89794300642,9101
"N9121",1263.61772566054,9121
"N9141",1265.33564166179,9141
"N9161",1267.05169621275,9161
"N9181",1268.76589446815,9181
"N9201",1270.47824152693,9201
"N9221",1272.18874248154,9221
"N9241",1273.89740241786,9241
"N9261",1275.60422636644,9261
"N9281",1277.30921931617,9281
"N9301",1279.01238633177,9301
"N9321",1280.71373234472,9321
"N9341",1282.41326228809,9341
"N9361",1284.11098112195,9361
"N9381",1285.80689370374,9381
"N9401",1287.50100495451,9401
"N9421",1289.19331970647,9421
"N9441",1290.88384280169,9441
"N9461",1292.57257905448,9461
"N9481",1294.25953322613,9481
"N9501",1295.9447101179,9501
"N9521",1297.6281144657,9521
"N9541",1299.30975095556,9541
"N9561",1300.98962430136,9561
"N9581",1302.66773922313,9581
"N9601",1304.34410029123,9601
"N9621",1306.01871222851,9621
"N9641",1307.69157960476,9641
"N9661",1309.36270700963,9661
"N9681",1311.03209903718,9681
"N9701",1312.69976018167,9701
"N9721",1314.36569502686,9721
"N9741",1316.02990805238,9741
"N9761",1317.69240377718,9761
"N9781",1319.35318665249,9781
"N9801",1321.01226107323,9801
"N9821",1322.66963156491,9821
"N9841",1324.32530246486,9841
"N9861",1325.97927815527,9861
"N9881",1327.63156305678,9881
"N9901",1329.28216145129,9901
"N9921",1330.93107774467,9921
"N9941",1332.57831619527,9941
"N9961",1334.22388107467,9961
"N9981",1335.867776656,9981
"N10001",1337.51000731349,10001
"N10021",1339.15057709148,10021
"N10041",1340.78949035167,10041
"N10061",1342.42675119282,10061
"N10081",1344.06236383735,10081
"N10101",1345.69633245282,10101
"N10121",1347.32866117716,10121
"N10141",1348.959354091,10141
"N10161",1350.58841536021,10161
"N10181",1352.21584902096,10181
"N10201",1353.84165920123,10201
"N10221",1355.46584989408,10221
"N10241",1357.08842516193,10241
"N10261",1358.70938900478,10261
"N10281",1360.32874543321,10281
"N10301",1361.94649842536,10301
"N10321",1363.56265194592,10321
"N10341",1365.17720996323,10341
"N10361",1366.79017638415,10361
"N10381",1368.40155509564,10381
"N10401",1370.01135005882,10401
"N10421",1371.61956514035,10421
"N10441",1373.22620418059,10441
"N10461",1374.83127102375,10461
"N10481",1376.43476953877,10481
"N10501",1378.03670348131,10501
"N10521",1379.63707669146,10521
"N10541",1381.23589298188,10541
"N10561",1382.83315606707,10561
"N10581",1384.42886971732,10581
"N10601",1386.02303766982,10601
"N10621",1387.61566364867,10621
"N10641",1389.20675136026,10641
"N10661",1390.79630451176,10661
"N10681",1392.38432672163,10681
"N10701",1393.9708217197,10701
"N10721",1395.55579309185,10721
"N10741",1397.13924450836,10741
"N10761",1398.72117955825,10761
"N10781",1400.30160184659,10781
"N10801",1401.88051498304,10801
"N10821",1403.45792249383,10821
"N10841",1405.03382797522,10841
"N10861",1406.60823495164,10861
"N10881",1408.18114694446,10881
"N10901",1409.75256748064,10901
"N10921",1411.32250002289,10921
"N10941",1412.89094812609,10941
"N10961",1414.4579151757,10961
"N10981",1416.02340467285,10981
"N11001",1417.58742007648,11001
"N11021",1419.14996476756,11021
"N11041",1420.71104217421,11041
"N11061",1422.27065572086,11061
"N11081",1423.82880877929,11081
"N11101",1425.3855047415,11101
"N11121",1426.94074694423,11121
"N11141",1428.4945387521,11141
"N11161",1430.04688348284,11161
"N11181",1431.59778445808,11181
"N11201",1433.1472449982,11201
"N11221",1434.69526839372,11221
"N11241",1436.24185792471,11241
"N11261",1437.7870168575,11261
"N11281",1439.33074844168,11281
"N11301",1440.87305592823,11301
"N11321",1442.41394255032,11321
"N11341",1443.95341149982,11341
"N11361",1445.49146602255,11361
"N11381",1447.02810929502,11381
"N11401",1448.56334449213,11401
"N11421",1450.09717477291,11421
"N11441",1451.62960330727,11441
"N11461",1453.16063323209,11461
"N11481",1454.6902677182,11481
"N11501",1456.21850981705,11501
"N11521",1457.74536265493,11521
"N11541",1459.27082937303,11541
"N11561",1460.79491302383,11561
"N11581",1462.31761665753,11581
"N11601",1463.83894336629,11601
"N11621",1465.35889618221,11621
"N11641",1466.87747815824,11641
"N11661",1468.39469226998,11661
"N11681",1469.91054160331,11681
"N11701",1471.42502913563,11701
"N11721",1472.93815782869,11721
"N11741",1474.44993068215,11741
"N11761",1475.96035071585,11761
"N11781",1477.46942079545,11781
"N11801",1478.9771439093,11801
"N11821",1480.48352299856,11821
"N11841",1481.98856100296,11841
"N11861",1483.49226076824,11861
"N11881",1484.9946252932,11881
"N11901",1486.49565739015,11901
"N11921",1487.99535999759,11921
"N11941",1489.49373594569,11941
"N11961",1490.9907881078,11961
"N11981",1492.48651936597,11981
"N12001",1493.98093248409,12001
"N12021",1495.47403033953,12021
"N12041",1496.96581576082,12041
"N12061",1498.45629155505,12061
"N12081",1499.94546048966,12081
"N12101",1501.4333253511,12101
"N12121",1502.91988894762,12121
"N12141",1504.40515400566,12141
"N12161",1505.88912333414,12161
"N12181",1507.37179966815,12181
"N12201",1508.85318572302,12201
"N12221",1510.33328419632,12221
"N12241",1511.81209789302,12241
"N12261",1513.28962943502,12261
"N12281",1514.76588152562,12281
"N12301",1516.24085692039,12301
"N12321",1517.714558253,12321
"N12341",1519.18698817094,12341
"N12361",1520.65814940412,12361
"N12381",1522.12804451281,12381
"N12401",1523.59667620268,12401
"N12421",1525.06404708725,12421
"N12441",1526.53015977857,12441
"N12461",1527.99501688076,12461
"N12481",1529.45862100763,12481
"N12501",1530.92097474751,12501
"N12521",1532.38208072476,12521
"N12541",1533.84194147292,12541
"N12561",1535.30055954135,12561
"N12581",1536.75793752691,12581
"N12601",1538.21407795926,12601
"N12621",1539.66898339917,12621
"N12641",1541.12265633005,12641
"N12661",1542.5750993274,12661
"N12681",1544.02631488879,12681
"N12701",1545.47630547388,12701
"N12721",1546.92507361824,12721
"N12741",1548.37262179482,12741
"N12761",1549.81895250811,12761
"N12781",1551.26406819764,12781
"N12801",1552.70797134726,12801
"N12821",1554.15066441587,12821
"N12841",1555.59214977819,12841
"N12861",1557.03242993534,12861
"N12881",1558.47150732974,12881
"N12901",1559.90938430249,12901
"N12921",1561.3460633452,12921
"N12941",1562.7815468061,12941
"N12961",1564.21583710738,12961
"N12981",1565.6489366392,12981
"N13001",1567.08084773684,13001
"N13021",1568.51157281348,13021
"N13041",1569.94111420967,13041
"N13061",1571.36947430621,13061
"N13081",1572.79665538461,13081
"N13101",1574.22265987125,13101
"N13121",1575.64749003562,13121
"N13141",1577.07114821518,13141
"N13161",1578.49363671379,13161
"N13181",1579.9149578606,13181
"N13201",1581.33511391924,13201
"N13221",1582.7541072115,13221
"N13241",1584.17193999604,13241
"N13261",1585.58861457282,13261
"N13281",1587.00413322011,13281
"N13301",1588.41849817048,13301
"N13321",1589.83171166459,13321
"N13341",1591.24377597626,13341
"N13361",1592.6546933111,13361
"N13381",1594.06446597298,13381
"N13401",1595.47309610513,13401
"N13421",1596.88058592858,13421
"N13441",1598.28693772251,13441
"N13461",1599.69215363275,13461
"N13481",1601.09623585198,13481
"N13501",1602.49918657613,13501
"N13521",1603.90100796446,13521
"N13541",1605.30170225221,13541
"N13561",1606.70127151916,13561
"N13581",1608.09971799288,13581
"N13601",1609.49704381146,13601
"N13621",1610.89325106905,13621
"N13641",1612.28834195863,13641
"N13661",1613.68231860166,13661
"N13681",1615.07518312641,13681
"N13701",1616.46693758276,13701
"N13721",1617.85758418543,13721
"N13741",1619.24712495095,13741
"N13761",1620.63556200691,13761
"N13781",1622.02289748496,13781
"N13801",1623.40913336124,13801
"N13821",1624.79427184626,13821
"N13841",1626.17831489844,13841
"N13861",1627.56126464271,13861
"N13881",1628.9431230968,13881
"N13901",1630.32389234494,13901
"N13921",1631.70357438039,13921
"N13941",1633.08217129819,13941
"N13961",1634.45968512333,13961
"N13981",1635.83611783235,13981
"N14001",1637.21147147987,14001
"N14021",1638.58574803866,14021
"N14041",1639.95894956645,14041
"N14061",1641.33107800923,14061
"N14081",1642.70213538577,14081
"N14101",1644.07212370987,14101
"N14121",1645.4410448841,14121
"N14141",1646.80890095792,14141
"N14161",1648.17569385173,14161
"N14181",1649.54142554768,14181
"N14201",1650.90609798929,14201
"N14221",1652.26971314456,14221
"N14241",1653.63227291357,14241
"N14261",1654.99377930412,14261
"N14281",1656.35423414923,14281
"N14301",1657.71363943657,14301
"N14321",1659.0719970882,14321
"N14341",1660.4293090054,14341
"N14361",1661.78557707699,14361
"N14381",1663.14080319226,14381
"N14401",1664.49498929641,14401
"N14421",1665.84813725043,14421
"N14441",1667.20024895947,14441
"N14461",1668.55132625415,14461
"N14481",1669.90137103212,14481
"N14501",1671.25038516575,14501
"N14521",1672.59837049448,14521
"N14541",1673.94532885684,14541
"N14561",1675.29126215579,14561
"N14581",1676.63617222436,14581
"N14601",1677.9800608887,14601
"N14621",1679.32292995752,14621
"N14641",1680.66478125584,14641
"N14661",1682.0056166512,14661
"N14681",1683.34543790826,14681
"N14701",1684.6842468617,14701
"N14721",1686.02204530555,14721
"N14741",1687.35883507068,14741
"N14761",1688.69461788097,14761
"N14781",1690.02939560839,14781
"N14801",1691.36316997368,14801
"N14821",1692.6959427763,14821
"N14841",1694.02771578881,14841
"N14861",1695.35849075873,14861
"N14881",1696.68826947873,14881
"N14901",1698.01705368019,14901
"N14921",1699.3448451295,14921
"N14941",1700.67164554323,14941
"N14961",1701.99745668993,14961
"N14981",1703.32228031283,14981
"N15001",1704.64611809316,15001
"N15021",1705.96897180254,15021
"N15041",1707.29084315101,15041
"N15061",1708.61173386572,15061
"N15081",1709.93164561753,15081
"N15101",1711.25058013591,15101
"N15121",1712.56853911521,15121
"N15141",1713.88552424524,15141
"N15161",1715.20153721093,15161
"N15181",1716.51657970055,15181
"N15201",1717.83065341396,15201
"N15221",1719.14376003133,15221
"N15241",1720.45590115728,15241
"N15261",1721.76707852503,15261
"N15281",1723.07729375839,15281
"N15301",1724.3865485263,15301
"N15321",1725.69484447661,15321
"N15341",1727.00218325077,15341
"N15361",1728.30856647711,15361
"N15381",1729.61399583339,15381
"N15401",1730.9184729127,15401
"N15421",1732.2219993438,15421
"N15441",1733.52457678208,15441
"N15461",1734.82620678092,15461
"N15481",1736.12689101747,15481
"N15501",1737.42663105513,15501
"N15521",1738.72542851289,15521
"N15541",1740.02328502016,15541
"N15561",1741.32020207961,15561
"N15581",1742.61618140045,15581
"N15601",1743.91122448211,15601
"N15621",1745.20533292962,15621
"N15641",1746.49850831901,15641
"N15661",1747.7907522299,15661
"N15681",1749.08206622216,15681
"N15701",1750.37245181441,15701
"N15721",1751.66191067477,15721
"N15741",1752.95044423493,15741
"N15761",1754.23805410566,15761
"N15781",1755.52474185289,15781
"N15801",1756.81050895935,15801
"N15821",1758.09535695389,15821
"N15841",1759.37928745615,15841
"N15861",1760.6623019272,15861
"N15881",1761.94440187658,15881
"N15901",1763.22558886019,15901
"N15921",1764.50586437755,15921
"N15941",1765.78522993937,15941
"N15961",1767.06368707984,15961
"N15981",1768.34123721352,15981
"N16001",1769.61788193302,16001
"N16021",1770.89362267979,16021
"N16041",1772.16846097015,16041
"N16061",1773.44239825981,16061
"N16081",1774.71543607986,16081
"N16101",1775.98757582948,16101
"N16121",1777.2588190548,16121
"N16141",1778.529167178,16141
"N16161",1779.79862166963,16161
"N16181",1781.06718401501,16181
"N16201",1782.33485565795,16201
"N16221",1783.60163803205,16221
"N16241",1784.8675326113,16241
"N16261",1786.1325407978,16261
"N16281",1787.39666408867,16281
"N16301",1788.65990390246,16301
"N16321",1789.92226163621,16321
"N16341",1791.18373875221,16341
"N16361",1792.44433666765,16361
"N16381",1793.70405679706,16381
"N16401",1794.96290057748,16401
"N16421",1796.2208693756,16421
"N16441",1797.47796466834,16441
"N16461",1798.73418780063,16461
"N16481",1799.9895401808,16481
"N16501",1801.24402323863,16501
"N16521",1802.49763835989,16521
"N16541",1803.75038689745,16541
"N16561",1805.00227029846,16561
"N16581",1806.25328987081,16581
"N16601",1807.5034470457,16601
"N16621",1808.7527431761,16621
"N16641",1810.00117966363,16641
"N16661",1811.24875783594,16661
"N16681",1812.49547908144,16681
"N16701",1813.74134475723,16701
"N16721",1814.98635619165,16721
"N16741",1816.2305147848,16741
"N16761",1817.47382185059,16761
"N16781",1818.71627874571,16781
"N16801",1819.95788681306,16801
"N16821",1821.19864740314,16821
"N16841",1822.43856181456,16841
"N16861",1823.67763139966,16861
"N16881",1824.91585749755,16881
"N16901",1826.153241419,16901
"N16921",1827.38978448731,16921
"N16941",1828.62548801122,16941
"N16961",1829.86035331439,16961
"N16981",1831.09438169308,16981
"N17001",1832.32757448216,17001
"N17021",1833.55993296521,17021
"N17041",1834.79145842759,17041
"N17061",1836.02215220282,17061
"N17081",1837.25201556322,17081
"N17101",1838.48104977799,17101
"N17121",1839.70925616717,17121
"N17141",1840.93663600856,17141
"N17161",1842.16319052635,17161
"N17181",1843.38892107736,17181
"N17201",1844.61382887784,17201
"N17221",1845.83791523232,17221
"N17241",1847.06118140041,17241
"N17261",1848.28362859923,17261
"N17281",1849.50525815696,17281
"N17301",1850.72607129974,17301
"N17321",1851.94606924003,17321
"N17341",1853.16525329082,17341
"N17361",1854.38362467891,17361
"N17381",1855.60118461876,17381
"N17401",1856.81793440001,17401
"N17421",1858.03387519815,17421
"N17441",1859.24900830428,17441
"N17461",1860.46333491234,17461
"N17481",1861.67685623193,17481
"N17501",1862.8895735681,17501
"N17521",1864.10148807203,17521
"N17541",1865.31260094075,17541
"N17561",1866.52291346138,17561
"N17581",1867.73242680573,17581
"N17601",1868.94114217701,17601
"N17621",1870.14906080027,17621
"N17641",1871.356183856,17641
"N17661",1872.5625125298,17661
"N17681",1873.76804807709,17681
"N17701",1874.97279163388,17701
"N17721",1876.17674441221,17721
"N17741",1877.37990759562,17741
"N17761",1878.58228236959,17761
"N17781",1879.7838699061,17781
"N17801",1880.98467141146,17801
"N17821",1882.18468800539,17821
"N17841",1883.38392091678,17841
"N17861",1884.58237128121,17861
"N17881",1885.78004028306,17881
"N17901",1886.97692906264,17901
"N17921",1888.17303879979,17921
"N17941",1889.36837065424,17941
