SAMPLING_UNIT,region,Latitude,Longitude
KOREA KR5_Stn. SD11,central,10.28920,-131.56580
KOREA KR5_Stn. SD11,central,10.28920,-131.56580
KOREA KR5_Stn. SD11,central,10.28920,-131.56580
KOREA KR5_Stn. SD11,central,10.28920,-131.56580
KOREA KR5_Stn. SD11,central,10.28920,-131.56580
KOREA KR5_Stn. SD11,central,10.28920,-131.56580
KOREA KR5_Stn. SD11,central,10.28920,-131.56580
KOREA KR5_Stn. SD11,central,10.28920,-131.56580
KOREA KR5_Stn. SD11,central,10.28920,-131.56580
KOREA KR5_Stn. SD11,central,10.28920,-131.56580
KOREA KR5_Stn. SD11,central,10.28920,-131.56580
KOREA KR5_Stn. SD11,central,10.28920,-131.56580
KOREA KR5_Stn. SD11,central,10.28920,-131.56580
KOREA KR5_Stn. SD11,central,10.28920,-131.56580
KOREA KR5_Stn. SD11,central,10.28920,-131.56580
KOREA KR5_Stn. SD11,central,10.28920,-131.56580
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
