rec,SPECIES,size_cat,region,INCL-ALL-SPP,INCL-ALL-TAXA,incl_notes-all-taxa,incl_notes-all-spp,acceptedScientificName_ed,CCZ_endemic,other_rank,taxonRank_ed,TR_w_TCID,layer,inclusion_criteria,incl_notes_march22,include,m_taxon_note,gbifID,rightsHolder,institutionID,institutionCode,datasetID,datasetName,basisOfRecord,occurrenceID,catalogNumber,qual_ed,identificationQualifier,recordNumber,recordedBy,individualCount,associatedSequences,previousIdentifications,eventID,eventDate,eventTime,year,habitat,samplingProtocol,locality,verbatimDepth,decimalLongitude,decimalLatitude,typeStatus,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonConceptID_orig,taxonConceptID,scientificName,kingdom,phylum,class,order,family,genus,species,taxonRank,taxonomicStatus,depth,depthAccuracy,verbatimScientificName,acceptedScientificName,associatedReferences
65356,,megafauna,east,no,no,no- duplicate,no- duplicate,Ophiotholia,,,genus,temporary name,01_pmn_exploration_areas,"while no depth, is in CCZ",,yes,,1697149152,,,NHMUK,,"Abyssal fauna of the UK-1 polymetallic nodule exploration claim, Clarion-Clipperton Zone, central Pacific Ocean: Echinodermata",HUMAN_OBSERVATION,1229930980,bd6fe2ce-b4ae-470e-8bdc-cf28a94c6208,,,NHM_076,"Adrian Glover, Helena Wiklund, Thomas Dahlgren, Maggie Georgieva",1,http://www.ncbi.nlm.nih.gov/nuccore/KU519559 | KU519520 | KU519537,NA,,2013-10-09T02:00:00,17:34,2013,Abyssal plain,USNEL Box Core,UK Seabed Resources Ltd exploration claim UK-1,,-116.6449,13.84988,,"Adrian Glover, Helena Wiklund, Thomas Dahlgren",2015-06-01T02:00:00,,identified by DNA and morphology,Ophiotholia sp. (NHM_076),Ophiotholia sp. (NHM_076),"Ophiotholia Lyman, 1880",Animalia,Echinodermata,Ophiuroidea,Ophioscolecida,Ophiohelidae,Ophiotholia,,GENUS,ACCEPTED,NA,NA,"Ophiotholia Lyman, 1880","Ophiotholia Lyman, 1880",
94227,,megafauna,central,no,no,no- duplicate,no- duplicate,Ophiotholia,,,genus,temporary name,01_pmn_exploration_areas,,,yes,,1272539051,,,NMV,,Museums Victoria provider for OZCAM,PRESERVED_SPECIMEN,dbf5d049-ca87-4580-8b05-2978af0154da,F120534,,,,,1,,NA,NODINAUT 2,2004-05-28T00:00:00,,2004,,,"SUB-0, Dive 1597-5",,-130.096,14.0355,,Dr Tim D. O'Hara,,,,urn:lsid:biodiversity.org.au:afd.taxon:6b1b43d7-367e-41e4-99a8-b439a00a383b,urn:lsid:biodiversity.org.au:afd.taxon:6b1b43d7-367e-41e4-99a8-b439a00a383b,Ophiotholia,Animalia,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiacanthidae,Ophiotholia,,GENUS,DOUBTFUL,5028,0,Ophiotholia,Ophiotholia,
97355,,megafauna,east,no,no,no- duplicate,no- duplicate,Ophiotholia,,,genus,temporary name,01_pmn_exploration_areas,,,yes,,1135476884,,,NHMUK,,Natural History Museum (London) Collection Specimens,PRESERVED_SPECIMEN,90e22ace-ef5d-4cb5-a4a5-29fcd55ed660,24,,,,"Dr Adrian Glover, Dr Helena Wiklund, Dr Thomas G. Dahlgren, Magdalena Georgieva",1,,NA,,2013-10-11T00:00:00,,2013,,USNEL Box Core,UK Seabed Resources Ltd exploration claim UK-1,,-116.7031,13.79335,,,,,,,Ophiotholia sp. (nhm_076),"Ophiotholia Lyman, 1880",Animalia,Echinodermata,Ophiuroidea,Ophioscolecida,Ophiohelidae,Ophiotholia,,GENUS,ACCEPTED,4081,NA,Ophiotholia sp. (nhm_076),"Ophiotholia Lyman, 1880",
117732,,megafauna,east,no,no,no- duplicate,no- duplicate,Ophiotholia,,,genus,temporary name,01_pmn_exploration_areas,,,yes,morphospecies,1699871282,,,UHM,,Megafauna of the UKSRL exploration contract area and eastern Clarion-Clipperton Zone in the Pacific Ocean: Echinodermata,PRESERVED_SPECIMEN,fa30b4dc-c530-11e7-abc4-cec278b6b50a,AB02-BC02-CS-02,cf.,cf.,AB02-BC02-CS-02; NHM524,"Diva J. Amon, Amanda F. Ziegler",1,,NA,,2015-02-17T00:00:00,12:12,2015,Abyssal polymetallic-nodule field,Boxcorer,UK Seabed Resources Ltd exploration contract area (UK-1),,-116.5169,12.367,,"Tim O'Hara, Diva J. Amon, Amanda F. Ziegler, Adrian Glover, Helena Wiklund, Thomas Dahlgren",2015-01-01T00:00:00,,Identified by morphology and DNA of collected specimen,cf. Ophiotholia morphospecies,cf. Ophiotholia morphospecies,"Ophiotholia Lyman, 1880",Animalia,Echinodermata,Ophiuroidea,Ophioscolecida,Ophiohelidae,Ophiotholia,,GENUS,ACCEPTED,4158,NA,Ophiotholia morphospecies,"Ophiotholia Lyman, 1880",
26694,,megafauna,east,no,no,no- duplicate,no- duplicate,Ophiotypa simplex,,,species,temporary name,01_pmn_exploration_areas,,,yes,,1563373168,,,UHM,,Megafauna of the UKSRL exploration contract area and eastern Clarion-Clipperton Zone in the Pacific Ocean: Echinodermata,HUMAN_OBSERVATION,11794-Occurrence-110,,cf.,cf.,,"Diva J Amon, Amanda F Ziegler",1,,NA,,2013-10-18T00:00:00,02:47,2013,Abyssal polymetallic-nodule field,Remotely Operated Vehicle,UK Seabed Resources Ltd exploration contract area (UK-1),,-116.4678,13.7602,,"Tim O'Hara, Diva J Amon, Amanda F Ziegler",2014-01-01T00:00:00,,Identified only from imagery,Ophiotypa cf. simplex,Ophiotypa cf. simplex,"Ophiotypa simplex Koehler, 1897",Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiolepididae,Ophiotypa,Ophiotypa simplex,SPECIES,ACCEPTED,4066,NA,Ophiotypa simplex,"Ophiotypa simplex Koehler, 1897",
26704,,megafauna,east,no,no,no- duplicate,no- duplicate,Ophiotypa simplex,,,species,species,01_pmn_exploration_areas,,,yes,,1563373164,,,UHM,,Megafauna of the UKSRL exploration contract area and eastern Clarion-Clipperton Zone in the Pacific Ocean: Echinodermata,HUMAN_OBSERVATION,11794-Occurrence-112,AB02-MC25-CS76,,,AB02-MC25-CS76; NHM2083,"Diva J. Amon, Amanda F. Ziegler",1,,NA,,2015-03-18T00:00:00,03:02,2015,Abyssal polymetallic-nodule field,Megacorer,UK Seabed Resources Ltd exploration contract area (UK-1),,-116.650967,12.58255,,"Tim O'Hara, Diva J Amon, Amanda F Ziegler",2015-01-01T00:00:00,,Identified by morphology,Ophiotypa simplex,,"Ophiotypa simplex Koehler, 1897",Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiolepididae,Ophiotypa,Ophiotypa simplex,SPECIES,ACCEPTED,4224,NA,Ophiotypa simplex,"Ophiotypa simplex Koehler, 1897",
26705,,megafauna,east,no,no,no- duplicate,no- duplicate,Ophiotypa simplex,,,species,temporary name,NA,"while out CCZ shpfile, nearby- valid. This is UKSR RV07 site",,yes,,1563373157,,,UHM,,Megafauna of the UKSRL exploration contract area and eastern Clarion-Clipperton Zone in the Pacific Ocean: Echinodermata,HUMAN_OBSERVATION,11794-Occurrence-111,,cf.,cf.,,"Diva J Amon, Amanda F Ziegler",1,,NA,,2013-10-23T00:00:00,09:49,2013,Abyssal polymetallic-nodule field,Remotely Operated Vehicle,Eastern Clarion-Clipperton Zone,,-114.4143,13.6794,,"Tim O'Hara, Diva J Amon, Amanda F Ziegler",2014-01-01T00:00:00,,Identified only from imagery,Ophiotypa cf. simplex,Ophiotypa cf. simplex,"Ophiotypa simplex Koehler, 1897",Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiolepididae,Ophiotypa,Ophiotypa simplex,SPECIES,ACCEPTED,3952,NA,Ophiotypa simplex,"Ophiotypa simplex Koehler, 1897",
117742,,megafauna,east,no,no,no- duplicate,no- duplicate,Ophiotypa simplex,,,species,temporary name,NA,"while out CCZ shpfile, nearby- valid. This is UKSR RV07 site",,yes,,1699871291,,,UHM,,Megafauna of the UKSRL exploration contract area and eastern Clarion-Clipperton Zone in the Pacific Ocean: Echinodermata,HUMAN_OBSERVATION,fa30b78e-c530-11e7-abc4-cec278b6b50a,,cf.,cf.,,"Diva J. Amon, Amanda F. Ziegler",1,,NA,,2013-10-23T00:00:00,09:49,2013,Abyssal polymetallic-nodule field,Remotely Operated Vehicle,Eastern Clarion-Clipperton Zone,,-114.4143,13.6794,,"Tim O'Hara, Diva J, Amon, Amanda F. Ziegler",2014-01-01T00:00:00,,Identified only from imagery,Ophiotypa cf. simplex,Ophiotypa cf. simplex,"Ophiotypa simplex Koehler, 1897",Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiolepididae,Ophiotypa,Ophiotypa simplex,SPECIES,ACCEPTED,3952,NA,Ophiotypa simplex,"Ophiotypa simplex Koehler, 1897",
117744,,megafauna,east,no,no,no- duplicate,no- duplicate,Ophiotypa simplex,,,species,temporary name,01_pmn_exploration_areas,,,yes,,1699871293,,,UHM,,Megafauna of the UKSRL exploration contract area and eastern Clarion-Clipperton Zone in the Pacific Ocean: Echinodermata,HUMAN_OBSERVATION,fa30b63a-c530-11e7-abc4-cec278b6b50a,,cf.,cf.,,"Diva J. Amon, Amanda F. Ziegler",1,,NA,,2013-10-18T00:00:00,02:47,2013,Abyssal polymetallic-nodule field,Remotely Operated Vehicle,UK Seabed Resources Ltd exploration contract area (UK-1),,-116.4678,13.7602,,"Tim O'Hara, Diva J, Amon, Amanda F. Ziegler",2014-01-01T00:00:00,,Identified only from imagery,Ophiotypa cf. simplex,Ophiotypa cf. simplex,"Ophiotypa simplex Koehler, 1897",Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiolepididae,Ophiotypa,Ophiotypa simplex,SPECIES,ACCEPTED,4066,NA,Ophiotypa simplex,"Ophiotypa simplex Koehler, 1897",
117764,,megafauna,east,no,no,no- duplicate,no- duplicate,Ophiotypa simplex,,,species,temporary name,01_pmn_exploration_areas,,,yes,,1699871294,,,UHM,,Megafauna of the UKSRL exploration contract area and eastern Clarion-Clipperton Zone in the Pacific Ocean: Echinodermata,HUMAN_OBSERVATION,fa30bc16-c530-11e7-abc4-cec278b6b50a,AB02-MC25-CS76,cf.,,AB02-MC25-CS76; NHM2083,"Diva J. Amon, Amanda F. Ziegler",1,,NA,,2015-03-18T00:00:00,03:25,2015,Abyssal polymetallic-nodule field,Megacorer,UK Seabed Resources Ltd exploration contract area (UK-1),,-116.651,12.58255,,"Tim O'Hara, Diva J. Amon, Amanda F. Ziegler, Adrian Glover, Helena Wiklund, Thomas Dahlgren",2015-01-01T00:00:00,,Identified by morphology and DNA of collected specimen,Ophiotypa cf. simplex,Ophiotypa cf. simplex,"Ophiotypa simplex Koehler, 1897",Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiolepididae,Ophiotypa,Ophiotypa simplex,SPECIES,ACCEPTED,4224,NA,Ophiotypa simplex,"Ophiotypa simplex Koehler, 1897",
21860,,megafauna,east,no,y,,no- not spp level,Ophiuridae,,,family,family,01_pmn_exploration_areas,,,yes,,609337653,,,CAS,,CAS Invertebrate Zoology (IZ),PRESERVED_SPECIMEN,urn:catalog:CAS:IZ:106934,106934,,,,Bill D. Siapno,1,,NA,,1975-05-01T00:00:00,,1975,,dredge,,14520 ft,-124.8,14.833333,,,,,,,,Ophiuridae,Animalia,Echinodermata,Ophiuroidea,Ophiurida,Ophiuridae,,,FAMILY,ACCEPTED,4425.7,NA,,Ophiuridae,
6422,,megafauna,east,no,no,no- duplicate,no- duplicate,Ophiuroidea,,,class,temporary name,01_pmn_exploration_areas,,,yes,,1229930972,,,NHMUK,,"Abyssal fauna of the UK-1 polymetallic nodule exploration claim, Clarion-Clipperton Zone, central Pacific Ocean: Echinodermata",PRESERVED_SPECIMEN,7251-Occurrence-29,241d094a-568f-4194-997c-fd08f67dcdac,incertae sedis, incertae sedis,NHM_072,"Adrian Glover, Helena Wiklund, Thomas Dahlgren, Maggie Georgieva",1,http://www.ncbi.nlm.nih.gov/nuccore/KU519564 | KU519522 | KU519539,NA,,2013-10-09T00:00:00,17:34,2013,Abyssal plain,USNEL Box Core,UK Seabed Resources Ltd exploration claim UK-1,,-116.64495,13.849883,,"Adrian Glover, Helena Wiklund, Thomas Dahlgren",2015-06-01T00:00:00,,identified by DNA and morphology,Ophiuroidea incertae sedis sp. (NHM_072),Ophiuroidea incertae sedis sp. (NHM_072),Ophiuroidea,Animalia,Echinodermata,Ophiuroidea,,,,,CLASS,ACCEPTED,4108,NA,Ophiuroidea,Ophiuroidea,
6428,,megafauna,east,no,no,no- duplicate,no- duplicate,Ophiuroidea,,,class,temporary name,01_pmn_exploration_areas,,,yes,,1229930974,,,NHMUK,,"Abyssal fauna of the UK-1 polymetallic nodule exploration claim, Clarion-Clipperton Zone, central Pacific Ocean: Echinodermata",PRESERVED_SPECIMEN,7251-Occurrence-30,608349ff-5adf-4e1e-8cd7-7e0e41aee222,incertae sedis, incertae sedis,NHM_041,"Adrian Glover, Helena Wiklund, Thomas Dahlgren, Maggie Georgieva",1,http://www.ncbi.nlm.nih.gov/nuccore/KU519563 | KU519521 | KU519538,NA,,2013-10-09T00:00:00,10:26,2013,Abyssal plain,Brenke Epibenthic Sledge,UK Seabed Resources Ltd exploration claim UK-1,,-116.558433,13.8372,,"Adrian Glover, Helena Wiklund, Thomas Dahlgren",2015-06-01T00:00:00,,identified by DNA and morphology,Ophiuroidea incertae sedis sp. (NHM_041),Ophiuroidea incertae sedis sp. (NHM_041),Ophiuroidea,Animalia,Echinodermata,Ophiuroidea,,,,,CLASS,ACCEPTED,4336,NA,Ophiuroidea,Ophiuroidea,
6433,,megafauna,east,no,no,no- duplicate,no- duplicate,Ophiuroidea,,,class,temporary name,01_pmn_exploration_areas,,,yes,,1229930984,,,NHMUK,,"Abyssal fauna of the UK-1 polymetallic nodule exploration claim, Clarion-Clipperton Zone, central Pacific Ocean: Echinodermata",PRESERVED_SPECIMEN,7251-Occurrence-31,e9f38ce3-5ed5-49f3-8713-c26de2eefd2b,incertae sedis, incertae sedis,NHM_303,"Adrian Glover, Helena Wiklund, Thomas Dahlgren, Maggie Georgieva",1,http://www.ncbi.nlm.nih.gov/nuccore/KU519565 | KU519523 | KU519540,NA,,2013-10-17T00:00:00,13:40,2013,Abyssal plain,USNEL Box Core,UK Seabed Resources Ltd exploration claim UK-1,,-116.46375,13.7621,,"Adrian Glover, Helena Wiklund, Thomas Dahlgren",2015-06-01T00:00:00,,identified by DNA and morphology,Ophiuroidea incertae sedis sp. (NHM_303),Ophiuroidea incertae sedis sp. (NHM_303),Ophiuroidea,Animalia,Echinodermata,Ophiuroidea,,,,,CLASS,ACCEPTED,4110,NA,Ophiuroidea,Ophiuroidea,
