rec,source,overlapping_name,INCLUDE,incl_note,Kingdom,Phylum,Class,Order,Family,Genus,Species,scientificName,name_harmonised,taxonConceptID,ORIG_name_if_overlap,habitat_interim,size_cat,taxonRank,TR_w_TCID,temp_name_cat,CAT_EXPANDED,qualifier,qual2,qual_level,qual_interp,reference/id_by,ID_METHOD,descr_id_with_orig
1,literature,,,,Animalia,Chordata,Teleostei,Beryciformes,Stephanoberycidae,Abyssoberyx,,Abyssoberyx,,Abyssoberyx sp mtp 1,,water column,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Simon-Lledó_etal_2020,morphology only (imagery),morphology only (imagery)
2,literature,,no,no- duplicate,Animalia,Chordata,Teleostei,Beryciformes,Stephanoberycidae,Abyssoberyx,,Abyssoberyx,yes,OST002,Abyssoberyx sp. OST002,water column,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
3,literature,,no,no- duplicate,Animalia,Chordata,Teleostei,Beryciformes,Stephanoberycidae,Abyssoberyx,,Abyssoberyx,yes,OST004,Abyssoberyx sp. OST004,water column,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
4,literature,,no,no- duplicate,Animalia,Chordata,Teleostei,Beryciformes,Stephanoberycidae,Abyssoberyx,,Abyssoberyx,yes,OST005,Abyssoberyx sp. OST005,water column,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
5,literature,,no,no- duplicate,Animalia,Chordata,Teleostei,Beryciformes,Stephanoberycidae,Abyssoberyx,,Abyssoberyx,yes,OST008,Abyssoberyx sp. OST008,water column,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
6,literature,,no,no- duplicate,Animalia,Chordata,Teleostei,Beryciformes,Stephanoberycidae,Abyssoberyx,,Abyssoberyx,yes,OST010,Abyssoberyx sp. OST010,water column,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
7,literature,,no,no- duplicate,Animalia,Chordata,Teleostei,Beryciformes,Stephanoberycidae,Abyssoberyx,,Abyssoberyx,yes,OST012,Abyssoberyx sp. OST012,water column,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
8,literature,,no,no- duplicate,Animalia,Chordata,Teleostei,Beryciformes,Stephanoberycidae,Abyssoberyx,,Abyssoberyx,yes,OST013,Abyssoberyx sp. OST013,water column,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
9,literature,,no,no- duplicate,Animalia,Chordata,Teleostei,Beryciformes,Stephanoberycidae,Abyssoberyx,,Abyssoberyx,yes,OST014,Abyssoberyx sp. OST014,water column,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
10,literature,,no,no- duplicate,Animalia,Chordata,Teleostei,Beryciformes,Stephanoberycidae,Abyssoberyx,,Abyssoberyx,yes,OST022,Abyssoberyx sp. OST022,water column,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
11,literature,,no,no- duplicate,Animalia,Chordata,Teleostei,Beryciformes,Stephanoberycidae,Abyssoberyx,,Abyssoberyx,yes,OST029,Abyssoberyx sp. OST029,water column,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
12,literature,,no,no- duplicate,Animalia,Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Abyssopathes,,Abyssopathes,yes,ANT002,Abyssopathes lyra ANT002,nodule,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
13,literature,,no,no- duplicate,Animalia,Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Abyssopathes,,Abyssopathes,yes,ANT005,Abyssopathes lyra ANT005,nodule,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
14,literature,,no,no- duplicate,Animalia,Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Abyssopathes,,Abyssopathes,yes,ANT006,Abyssopathes lyra ANT006,nodule,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
15,literature,,no,no- duplicate,Animalia,Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Abyssopathes,,Abyssopathes,yes,ANT007,Abyssopathes lyra ANT007,nodule,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
16,literature,,no,no- duplicate,Animalia,Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Abyssopathes,,Abyssopathes,yes,ANT011,Abyssopathes lyra ANT011,nodule,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
17,literature,,,,Animalia,Cnidaria,Anthozoa,Scleralcyonacea,Primnoidae,Abyssoprimnoa,,Abyssoprimnoa,,Abyssoprimnoa sp. 2,,nodule,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Amon_etal_2016,morphology only (imagery),morphology only (imagery)
18,DD,,,,Animalia,Arthropoda,Malacostraca,Amphipoda,Uristidae,Abyssorchomene,,Abyssorchomene,,Abyssorchomene sp. 1,,sediment,macrofauna,genus,temporary name,gen,,,,,,,,
19,DD,,,,Animalia,Arthropoda,Malacostraca,Amphipoda,Uristidae,Abyssorchomene,,Abyssorchomene,,Abyssorchomene sp. 2,,sediment,macrofauna,genus,temporary name,gen,,,,,,,,
20,literature,,no,no- duplicate,Animalia,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Acanthascus,,Acanthascus,yes,HEX029,Acanthascus sp. HEX029,nodule,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
21,literature,,no,no- duplicate,Animalia,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Acanthascus,,Acanthascus,yes,HEX030,Acanthascus sp. HEX030,nodule,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
22,literature,,no,no- duplicate,Animalia,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Acanthascus,,Acanthascus,yes,HEX033,Acanthascus sp. HEX033,nodule,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
23,literature,,no,no- duplicate,Animalia,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Acanthascus,,Acanthascus,yes,HEX034,Acanthascus sp. HEX034,nodule,megafauna,genus,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Durden_etal_2021,morphology only (imagery),morphology only (imagery)
24,literature,,,,Animalia,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,,Acantholaimus,,Acantholaimus MOTU 1,,sediment,meiofauna,genus,temporary name,morphospecies,poss undescribed new species,,,,,Miljutin&Miljutina_2016,morphology only (specimens/specimens and imagery),morphology only (specimens)
25,literature,,,,Animalia,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,,Acantholaimus,,Acantholaimus MOTU 15,,sediment,meiofauna,genus,temporary name,morphospecies,poss undescribed new species,,,,,Miljutin&Miljutina_2016,morphology only (specimens/specimens and imagery),morphology only (specimens)
26,literature,,,,Animalia,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,,Acantholaimus,,Acantholaimus MOTU 18,,sediment,meiofauna,genus,temporary name,morphospecies,poss undescribed new species,,,,,Miljutin&Miljutina_2016,morphology only (specimens/specimens and imagery),morphology only (specimens)
27,literature,,,,Animalia,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,,Acantholaimus,,Acantholaimus MOTU 20,,sediment,meiofauna,genus,temporary name,morphospecies,poss undescribed new species,,,,,Miljutin&Miljutina_2016,morphology only (specimens/specimens and imagery),morphology only (specimens)
28,literature,,,,Animalia,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,,Acantholaimus,,Acantholaimus MOTU 24,,sediment,meiofauna,genus,temporary name,morphospecies,poss undescribed new species,,,,,Miljutin&Miljutina_2016,morphology only (specimens/specimens and imagery),morphology only (specimens)
29,literature,,,,Animalia,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,,Acantholaimus,,Acantholaimus MOTU 25,,sediment,meiofauna,genus,temporary name,morphospecies,poss undescribed new species,,,,,Miljutin&Miljutina_2016,morphology only (specimens/specimens and imagery),morphology only (specimens)
30,literature,,,,Animalia,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,,Acantholaimus,,Acantholaimus MOTU 7,,sediment,meiofauna,genus,temporary name,morphospecies,poss undescribed new species,,,,,Miljutin&Miljutina_2016,morphology only (specimens/specimens and imagery),morphology only (specimens)
31,literature,overlap,no,no- not species level/duplicate,Animalia,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,,Acantholaimus,,Acantholaimus sp.,,sediment,meiofauna,genus,temporary name,morphospecies,poss undescribed new species,,,,,Shimada_etal_2020,morphology and molecular data,
32,literature,,,,Animalia,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,,Acantholaimus,,Acantholaimus sp. A,,sediment,meiofauna,genus,temporary name,morphospecies,poss indet not undescribed new species,,,,,Lambshead_etal_2003,morphology only (specimens/specimens and imagery),morphology only (specimens)
33,literature,,,,Animalia,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,,Acantholaimus,,Acantholaimus sp. B,,sediment,meiofauna,genus,temporary name,morphospecies,poss indet not undescribed new species,,,,,Lambshead_etal_2003,morphology only (specimens/specimens and imagery),morphology only (specimens)
34,literature,,,,Animalia,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,,Acantholaimus,,Acantholaimus sp. C,,sediment,meiofauna,genus,temporary name,morphospecies,poss indet not undescribed new species,,,,,Lambshead_etal_2003,morphology only (specimens/specimens and imagery),morphology only (specimens)
35,literature,ok,,,Animalia,Mollusca,Solenogastres,,Acanthomeniidae,,,Acanthomeniidae,,Acanthomeniidae sp. (NHM_367),,sediment,macrofauna,family,temporary name,gen,undescribed new species,,,,,Wiklund_etal_2017,morphology and molecular data,morphology and molecular data
36,OBIS,overlap,no,no- duplicate,Animalia,Mollusca,Solenogastres,,Acanthomeniidae,,,Acanthomeniidae,,Acanthomeniidae sp. (NHM_367),,sediment,macrofauna,family,temporary name,gen,,,,,,Adrian Glover | Helena Wiklund | Thomas Dahlgren | John Taylor,morphology and molecular data,identified by DNA and morphology
37,GBIF,overlap,no,no- duplicate,Animalia,Mollusca,Solenogastres,,Acanthomeniidae,,,Acanthomeniidae,,Acanthomeniidae sp. (NHM_367),,sediment,macrofauna,family,temporary name,gen,,,,,,Adrian Glover | Helena Wiklund | Thomas Dahlgren | John Taylor,morphology and molecular data,identified by DNA and morphology
38,DD,overlap,no,no- duplicate,Animalia,Mollusca,Solenogastres,,Acanthomeniidae,,,Acanthomeniidae,,Acanthomeniidae sp. (NHM_367),,sediment,macrofauna,family,temporary name,gen,,,,,,,,
39,literature,,,,Animalia,Echinodermata,Holothuroidea,Molpadida,Caudinidae,Acaudina,,Acaudina,,Acaudina new species,,sediment,megafauna,genus,temporary name,MORPHOTYPE,undescribed new species,sp. Nov (undescribed),incertae sedis,,yes,Pawson&Foell_1985,morphology only (specimens/specimens and imagery),morphology only (specimens and imagery)
40,DD,,no,,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Acrocalanus,,Acrocalanus,,Acrocalanus sp.1,,sediment,macrofauna,genus,temporary name,gen,,,,,,,,
41,literature,,,,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,cf. Acrocirridae morphospecies,,sediment,megafauna,family,temporary name,MORPHOTYPE,poss indet not undescribed new species,cf.,,,,Amon_etal_2017b,morphology only (imagery),morphology only (imagery)
42,GBIF,overlap,no,no- duplicate,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,cf. Acrocirridae morphospecies,,sediment,macrofauna,family,temporary name,morphotype,,cf.,,,,"Adrian Glover, Helena Wiklund, Diva J. Amon, Amanda Ziegler",morphology only (imagery),Identified only from imagery
43,literature,,,,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,Acrocirridae sp. (NHM_578),,sediment,macrofauna,family,temporary name,MOTU,undescribed new species,,,,,Jones_etal_2021,morphology and molecular data,morphology and molecular data
44,literature,,,,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,Acrocirridae sp. 2836,,sediment,macrofauna,family,temporary name,MOTU,undescribed new species,,,,,Bonifacio_etal_2020,morphology and molecular data,morphology and molecular data
45,literature,poss overlap,,,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,Acrocirrid sp. PIP#6,,sediment,macrofauna,family,temporary name,gen,undescribed new genus,,,,,Smith_etal_2008,morphology and molecular data,morphology and molecular data
46,literature,poss overlap,,,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,Acrocirrid sp. PIP#7,,sediment,macrofauna,family,temporary name,MOTU,poss undescribed new species,,,,,Smith_etal_2008,morphology and molecular data,morphology and molecular data
47,literature,poss overlap,,,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,Acrocirrid sp. PIP#8,,sediment,macrofauna,family,temporary name,MOTU,poss undescribed new species,,,,,Smith_etal_2008,morphology and molecular data,morphology and molecular data
48,literature,poss overlap,,,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,Acrocirrid sp. PIP#9,,sediment,macrofauna,family,temporary name,MOTU,poss undescribed new species,,,,,Smith_etal_2008,morphology and molecular data,morphology and molecular data
49,literature,,,,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,Acrocirridae sp.1,,sediment,macrofauna,family,temporary name,morphospecies,poss indet not undescribed new species,,,,,Yu_etal_2018,morphology only (specimens/specimens and imagery),morphology only (specimens)
50,literature,,,,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,Acrocirridae sp.3,,sediment,macrofauna,family,temporary name,morphospecies,poss indet not undescribed new species,,,,,Yu_etal_2018,morphology only (specimens/specimens and imagery),morphology only (specimens)
51,DD,poss overlap,,poss overlap,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,AB_ Acrocirridae sp 1,,sediment,macrofauna,family,temporary name,gen,,,,,,,,
52,DD,poss overlap,,poss overlap,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,AB_ Acrocirridae sp 2,,sediment,macrofauna,family,temporary name,gen,,,,,,,,
53,DD,poss overlap,,poss overlap,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,AB_ Acrocirridae sp 3,,sediment,macrofauna,family,temporary name,gen,,,,,,,,
54,DD,poss overlap,,poss overlap,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,AB_ Acrocirridae sp 4,,sediment,macrofauna,family,temporary name,gen,,,,,,,,
55,DD,poss overlap,,poss overlap,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,AB_ Acrocirridae sp 5,,sediment,macrofauna,family,temporary name,gen,,,,,,,,
56,DD,ok,,,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,Acrocirridae sp. (NHM_010),,sediment,macrofauna,family,temporary name,gen,,,,,,,,
57,DD,ok,,,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,Acrocirridae sp. (NHM_039),,sediment,macrofauna,family,temporary name,gen,,,,,,,,
58,DD,ok,,,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,Acrocirridae sp. (NHM_1164B),,sediment,macrofauna,family,temporary name,gen,,,,,,,,
59,DD,ok,,,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,Acrocirridae sp. (NHM_1583C),,sediment,macrofauna,family,temporary name,gen,,,,,,,,
60,DD,ok,,,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,Acrocirridae sp. (NHM_169),,sediment,macrofauna,family,temporary name,gen,,,,,,,,
61,DD,ok,,,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,Acrocirridae sp. (NHM_201),,sediment,macrofauna,family,temporary name,gen,,,,,,,,
62,DD,ok,,,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,Acrocirridae sp. (NHM_2090),,sediment,macrofauna,family,temporary name,gen,,,,,,,,
63,DD,ok,,,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,Acrocirridae sp. (NHM_2119),,sediment,macrofauna,family,temporary name,gen,,,,,,,,
64,DD,ok,,,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,Acrocirridae sp. (NHM_2147),,sediment,macrofauna,family,temporary name,gen,,,,,,,,
65,DD,ok,,,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,Acrocirridae sp. (NHM_559),,sediment,macrofauna,family,temporary name,gen,,,,,,,,
66,DD,ok,,,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,Acrocirridae sp. (NHM_576),,sediment,macrofauna,family,temporary name,gen,,,,,,,,
67,DD,overlap,no,no- duplicate,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,Acrocirridae sp. (NHM_578),,sediment,macrofauna,family,temporary name,gen,,,,,,,,
68,DD,,,,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,Acrocirridae sp. (NHM_612),,sediment,macrofauna,family,temporary name,gen,,,,,,,,
69,DD,,,,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,Acrocirridae sp. (NHM_941),,sediment,macrofauna,family,temporary name,gen,,,,,,,,
70,DD,,,,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,Acrocirridae sp. (NHM_942),,sediment,macrofauna,family,temporary name,gen,,,,,,,,
71,DD,overlap,no,no- duplicate,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,Acrocirridae sp.1,,sediment,macrofauna,family,temporary name,gen,,,,,,,,
72,DD,,,,Animalia,Annelida,Polychaeta,Terebellida,Acrocirridae,,,Acrocirridae,,PIP_93,,sediment,macrofauna,family,temporary name,gen,,,,,,,,
73,literature,,,,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,Acitniaria msp-18,,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Simon-Lledó_etal_2019b,morphology only (imagery),morphology only (imagery)
74,literature,,,,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,Acitniaria msp-22,,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Simon-Lledó_etal_2019b,morphology only (imagery),morphology only (imagery)
75,literature,poss overlap,,,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,Actiniaria msp. 10,,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Cuvelier_etal_2020,morphology only (imagery),morphology only (imagery)
76,literature,poss overlap,,,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,Actiniaria msp. 15,,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Cuvelier_etal_2020,morphology only (imagery),morphology only (imagery)
77,literature,poss overlap,,,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,Actiniaria msp. 2,,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Cuvelier_etal_2020,morphology only (imagery),morphology only (imagery)
78,literature,poss overlap,,,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,Actiniaria msp. 4,,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Cuvelier_etal_2020,morphology only (imagery),morphology only (imagery)
79,literature,poss overlap,,,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,Actiniaria msp. 5,,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Cuvelier_etal_2020,morphology only (imagery),morphology only (imagery)
80,literature,poss overlap,,,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,Actiniaria msp. 7,,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Cuvelier_etal_2020,morphology only (imagery),morphology only (imagery)
81,literature,poss overlap,,,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,Actiniaria msp. 8,,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Cuvelier_etal_2020,morphology only (imagery),morphology only (imagery)
82,literature,poss overlap,,,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,Actiniaria msp. 9,,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Cuvelier_etal_2020,morphology only (imagery),morphology only (imagery)
83,literature,poss overlap,,,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,Actiniaria msp. A,,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Cuvelier_etal_2020,morphology only (imagery),morphology only (imagery)
84,literature,poss overlap,,,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,Actiniaria msp. B,,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Cuvelier_etal_2020,morphology only (imagery),morphology only (imagery)
85,literature,poss overlap,,,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,Actiniaria msp. C,,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Cuvelier_etal_2020,morphology only (imagery),morphology only (imagery)
86,literature,poss overlap,,,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,Actiniaria msp. D,,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Cuvelier_etal_2020,morphology only (imagery),morphology only (imagery)
87,literature,poss overlap,,,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,Actiniaria msp-13.,,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Simon-Lledó_etal_2019a,morphology only (imagery),morphology only (imagery)
88,literature,poss overlap,,,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,Actiniaria msp-6. ,,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Simon-Lledó_etal_2019a,morphology only (imagery),morphology only (imagery)
89,literature,overlap,no,no- duplicate,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,ACT_002,Actiniaria mtp-ACT_002,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Uhlenkott_etal_2022,morphology only (imagery),morphology only (imagery)
90,literature,overlap,no,no- duplicate,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,ACT_004,Actiniaria mtp-ACT_004,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Uhlenkott_etal_2022,morphology only (imagery),morphology only (imagery)
91,literature,overlap,no,no- duplicate,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,ACT_010,Actiniaria mtp-ACT_010,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Uhlenkott_etal_2022,morphology only (imagery),morphology only (imagery)
92,literature,overlap,no,no- duplicate,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,ACT_016,Actiniaria mtp-ACT_016,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Uhlenkott_etal_2022,morphology only (imagery),morphology only (imagery)
93,literature,overlap,no,no- duplicate,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,ACT_022,Actiniaria mtp-ACT_022,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Uhlenkott_etal_2022,morphology only (imagery),morphology only (imagery)
94,literature,,,,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,ACT_023,Actiniaria mtp-ACT_023,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Uhlenkott_etal_2022,morphology only (imagery),morphology only (imagery)
95,literature,overlap,no,no- duplicate,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,ACT_061,Actiniaria mtp-ACT_061,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Uhlenkott_etal_2022,morphology only (imagery),morphology only (imagery)
96,literature,overlap,no,no- duplicate,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,ACT_068,Actiniaria mtp-ACT_068,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Uhlenkott_etal_2022,morphology only (imagery),morphology only (imagery)
97,literature,poss overlap,,,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,Actiniaria mtps,,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,DeSmet_etal_2021,morphology only (imagery),morphology only (imagery)
98,literature,poss overlap,,,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,Actiniaria sp. 10,,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Amon_etal_2016,morphology only (imagery),morphology only (imagery)
99,literature,poss overlap,,,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,Actiniaria sp. 12,,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Amon_etal_2016,morphology only (imagery),morphology only (imagery)
100,literature,poss overlap,,,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,Actiniaria sp. 14,,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Amon_etal_2016,morphology only (imagery),morphology only (imagery)
101,literature,poss overlap,,,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,Actiniaria sp. 15,,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Amon_etal_2016,morphology only (imagery),morphology only (imagery)
102,literature,poss overlap,,,Animalia,Cnidaria,Anthozoa,Actiniaria,,,,Actiniaria,,Actiniaria sp. 2,,nodule,megafauna,order,temporary name,MORPHOTYPE,poss indet not undescribed new species,,,,,Amon_etal_2016,morphology only (imagery),morphology only (imagery)
