Phylum,Class,Order,Family,Genus,scientificName,taxonConceptID,size_cat
Annelida,Polychaeta,Phyllodocida,Syllidae,Anguillosyllis,Anguillosyllis,Anguillosyllis sp. 62,macrofauna
Annelida,Polychaeta,Phyllodocida,Syllidae,Anguillosyllis,Anguillosyllis,Anguillosyllis sp. D,macrofauna
Annelida,Polychaeta,Phyllodocida,Syllidae,Anguillosyllis,Anguillosyllis,Anguillosyllis species #1990,macrofauna
Annelida,Polychaeta,Phyllodocida,Syllidae,Anguillosyllis,Anguillosyllis,Anguillosyllis species #1992,macrofauna
Annelida,,,,,Annelida,Annelida ANN003,megafauna
Annelida,,,,,Annelida,Annelida ANN012,megafauna
Annelida,,,,,Annelida,Annelida ANN013,megafauna
Annelida,,,,,Annelida,Annelida Motu 1,macrofauna
Annelida,Polychaeta,Terebellida,Ampharetidae,Anobothrus,Anobothrus,Anobothrus sp. 2393,macrofauna
Annelida,Polychaeta,Terebellida,Ampharetidae,Anobothrus,Anobothrus,Anobothrus sp. 329,macrofauna
Echinodermata,Ophiuroidea,Ophiurida,,Anophiura,Anophiura,Anophiura sp 10,megafauna
Arthropoda,Copepoda,Harpacticoida,Ameiridae,Anoplosoma,Anoplosomella,Anoplosoma sp. 1,meiofauna
Mollusca,Scaphopoda,Dentaliida,Dentaliidae,Antalis,Antalis,Antalis sp A,macrofauna
Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,Anthomastus,Anthomastus,Anthomastus msp. 1,megafauna
Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,Anthomastus,Anthomastus,Anthomastus msp. 2,megafauna
Nematoda,Enoplea,Enoplida,Anticomidae,Anticoma,Anticoma,Anticoma sp_1,meiofauna
Nematoda,Enoplea,Enoplida,Anticomidae,Anticoma,Anticoma,Anticoma sp_2,meiofauna
Nematoda,Enoplea,Enoplida,Anticomidae,Anticoma,Anticoma,Anticoma sp_3,meiofauna
Nematoda,Enoplea,Enoplida,Anticomidae,Anticoma,Anticoma,Anticoma sp_4,meiofauna
Nematoda,Enoplea,Enoplida,Anticomidae,Anticoma,Anticoma,Anticoma sp_5,meiofauna
Nematoda,Enoplea,Enoplida,Anticomidae,Anticoma,Anticoma,Anticoma sp_6,meiofauna
Cnidaria,Anthozoa,Antipatharia,,,Antipatharia ,Antipatharia mtp-ANT_006,megafauna
Cnidaria,Anthozoa,Antipatharia,,,Antipatharia,Antipatharia mtps,megafauna
Cnidaria,Anthozoa,Antipatharia,Antipathidae,Antipathes,Antipathes,Antipathes msp. 1,megafauna
Cnidaria,Anthozoa,Antipatharia,Antipathidae,Antipathes,Antipathes,Antipathes msp. 2,megafauna
Nematoda,Chromadorea,Plectida,Leptolaimidae,Antomicron,Antomicron,Antomicron sp_1,meiofauna
Annelida,Polychaeta,,Paraonidae,Aparaonis,Aparaonis,Aparaonis 848,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta 811,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta 812,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta 814,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta 815,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta 816,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta 817,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta 818,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta 820,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta 831,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp NEW NAME NHM_172,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. (NHM_172),macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 122,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 125,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 13,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 16,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 2062,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 2069,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 2086,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 2089,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 2098,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 2100,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 2323,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 2344,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 2345,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 2395,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 2409,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 2410,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 2411,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 2431,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 2444,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 2494,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 295,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 328,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 375,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 378,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 430a,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 466b,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. 61,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. A,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. B,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. C,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. D,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. E,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp. F,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta sp.A,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta species #1461,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta species #1644,macrofauna
Annelida,Polychaeta,Terebellida,Cirratulidae,Aphelochaeta,Aphelochaeta,Aphelochaeta species #1784,macrofauna
Annelida,Polychaeta,Phyllodocida,Aphroditidae,,Aphroditidae,Aphroditidae sp. (NHM_2469),megafauna
Echinodermata,Holothuroidea,Apodida,,,Apodida,Apodida sp. (NHM_206),megafauna
Nematoda,Chromadorea,Desmodorida,Microlaimidae,Aponema,Aponema,Aponema sp. A,meiofauna
Nematoda,Chromadorea,Desmodorida,Microlaimidae,Aponema,Aponema,Aponema sp_2,meiofauna
Chordata,Appendicularia,,,,Appendicularia,Appendicularia sp A,macrofauna
Chordata,Appendicularia,,,,Appendicularia,Appendicularia sp. (NHM_099),macrofauna
Arthropoda,Copepoda,Harpacticoida,Ectinosomatidae,Arenosetella,Arenosetella,Arenosetella sp. 1,meiofauna
Nematoda,Chromadorea,Araeolaimida,Diplopeltidae,Araeolaimus,Araeolaimus,Areolaimus sp_1,meiofauna
Nematoda,Chromadorea,Araeolaimida,Diplopeltidae,Araeolaimus,Araeolaimus,Areolaimus sp_2,meiofauna
Arthropoda,Copepoda,Harpacticoida,Argestidae,Argestes,Argestes,Argestes sp. 1,meiofauna
Arthropoda,Copepoda,Harpacticoida,Argestidae,Argestes,Argestes,Argestes sp. 10,meiofauna
Arthropoda,Copepoda,Harpacticoida,Argestidae,Argestes,Argestes,Argestes sp. 12,meiofauna
Arthropoda,Copepoda,Harpacticoida,Argestidae,Argestes,Argestes,Argestes sp. 13,meiofauna
Arthropoda,Copepoda,Harpacticoida,Argestidae,Argestes,Argestes,Argestes sp. 2,meiofauna
Arthropoda,Copepoda,Harpacticoida,Argestidae,Argestes,Argestes,Argestes sp. 3,meiofauna
Arthropoda,Copepoda,Harpacticoida,Argestidae,Argestes,Argestes,Argestes sp. 4,meiofauna
Arthropoda,Copepoda,Harpacticoida,Argestidae,Argestes,Argestes,Argestes sp. 5,meiofauna
Arthropoda,Copepoda,Harpacticoida,Argestidae,Argestes,Argestes,Argestes sp. 6,meiofauna
Arthropoda,Copepoda,Harpacticoida,Argestidae,Argestes,Argestes,Argestes sp. 7,meiofauna
Arthropoda,Copepoda,Harpacticoida,Argestidae,Argestes,Argestes,Argestes sp. 8,meiofauna
Arthropoda,Copepoda,Harpacticoida,Argestidae,Argestes,Argestes,Argestes new sp. 1,meiofauna
Arthropoda,Copepoda,Harpacticoida,Argestidae,Argestes,Argestes,Argestes new sp. 2,meiofauna
Arthropoda,Copepoda,Harpacticoida,Argestidae,Argestes,Argestes,Argestes new sp. 3,meiofauna
Arthropoda,Copepoda,Harpacticoida,Argestidae,Argestes,Argestes,Argestes new sp. 4,meiofauna
Arthropoda,Copepoda,Harpacticoida,Argestidae,,Argestidae,Argestidae n. gen,meiofauna
Arthropoda,Copepoda,Harpacticoida,Argestidae,,Argestidae,Argestidae sp. 1,meiofauna
Arthropoda,Copepoda,Harpacticoida,Argestidae,,Argestidae,Argestidae sp. 2,meiofauna
Arthropoda,Copepoda,Harpacticoida,Argestidae,,Argestidae,Argestidae sp. 3,meiofauna
Arthropoda,Copepoda,Harpacticoida,Argestidae,,Argestidae,Argestidae sp. 4,meiofauna
Arthropoda,Copepoda,Harpacticoida,Argestidae,,Argestidae,Argestidae sp. 5,meiofauna
Arthropoda,Copepoda,Harpacticoida,Argestidae,,Argestidae,Argestidae sp. 6,meiofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea 846,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea 847,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea 848,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea 849,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea 850,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea 851,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea 852,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea 855,macrofauna
Annelida,Polychaeta,,Paraonidae,,Paraonidae,Aricidea sp A,macrofauna
Annelida,Polychaeta,,Paraonidae,,Paraonidae,Aricidea sp C,macrofauna
Annelida,Polychaeta,,Paraonidae,,Paraonidae,Aricidea sp D,macrofauna
Annelida,Polychaeta,,Paraonidae,,Paraonidae,Aricidea sp. (NHM_059),macrofauna
Annelida,Polychaeta,,Paraonidae,,Paraonidae,Aricidea sp. (NHM_177),macrofauna
Annelida,Polychaeta,,Paraonidae,,Paraonidae,Aricidea sp. (NHM_363),macrofauna
Annelida,Polychaeta,,Paraonidae,,Paraonidae,Aricidea sp. (NHM_434),macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. 1,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. 2,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. 2035,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. 2036,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. 2042,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. 2043,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. 239,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. 2482,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. 2485,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. 2489,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. 2614,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. 2743,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. 2745,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. 2831,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. 289,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. 3,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. 32,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. 345,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. 36,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. 415a,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. 446a,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. 45,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. 496,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. 554,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. 611,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. A,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. B,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. C,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. D,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea sp. E,macrofauna
Annelida,Polychaeta,,Paraonidae,Aricidea,Aricidea,Aricidea species #1911,macrofauna
Arthropoda,Malacostraca,Decapoda,Aristeidae,,Aristeidae,Aristeidae sp. DEC003,megafauna
Arthropoda,,,,,Arthropoda,Arthropoda ART001,megafauna
Arthropoda,,,,,Arthropoda,Arthropoda ART010,megafauna
Arthropoda,,,,,Arthropoda,Arthropoda Motu 1,meiofauna
Arthropoda,Malacostraca,Tanaidacea,Tanaellidae,Arthrura,Arthrura,Arthrura species #153,macrofauna
Arthropoda,Malacostraca,Tanaidacea,Tanaellidae,Arthrura,Arthrura,Arthrura species 175,macrofauna
Chordata,Ascidiacea,,,,Ascidiacea,Ascidiacea sp. 1,megafauna
Bryozoa,Gymnolaemata,Cheilostomatida,,,Flustrina,Ascophorina sp A,macrofauna
Bryozoa,Gymnolaemata,Cheilostomatida,,,Flustrina,Ascophorina sp. (NHM_387),macrofauna
Arthropoda,Malacostraca,Isopoda,Munnopsidae,Aspidarachna,Aspidarachna,Aspidarachna Mu53,macrofauna
Echinodermata,Echinoidea,Aspidodiadematoida,Aspidodiadematidae,,Aspidodiadematidae,Aspidodiadematidae msp. 1,megafauna
Echinodermata,Echinoidea,Aspidodiadematoida,Aspidodiadematidae,,Aspidodiadematidae,Aspidodiadematidae msp. 2,megafauna
Echinodermata,Echinoidea,Aspidodiadematoida,Aspidodiadematidae,,Aspidodiadematidae,Aspidodiadematidae mtps,megafauna
Echinodermata,Echinoidea,Aspidodiadematoida,Aspidodiadematidae,,Aspidodiadematidae,Aspidodiadematidae soft msp.,megafauna
Echinodermata,Echinoidea,Aspidodiadematoida,Aspidodiadematidae,,Aspidodiadematidae,Aspidodiadematidae spiny msp.,megafauna
Arthropoda,Malacostraca,Isopoda,Haploniscidae,Aspidoniscus,Aspidoniscus,Aspidoniscus 351,macrofauna
Arthropoda,Copepoda,Harpacticoida,Tisbidae,Aspinothorax,Aspinothorax,Aspinothorax sp. 1,meiofauna
Echinodermata,Asteroidea,,,,Asteroidea,Asteroidea morphotype 1,megafauna
Echinodermata,Asteroidea,,,,Asteroidea ,Asteroidea mtp-AST_037,megafauna
Echinodermata,Asteroidea,,,,Asteroidea,Asteroidea mtps,megafauna
Echinodermata,Asteroidea,,,,Asteroidea,Asteroidea sp. (NHM_054),megafauna
Echinodermata,Asteroidea,,,,Asteroidea,Asteroidea sp. (NHM_939),megafauna
Echinodermata,Asteroidea,,,,Asteroidea,Asteroidea sp. 1,megafauna
Echinodermata,Ophiuroidea,Euryalida,Euryalidae,Asteroschema,Asteroschema,Asteroschema sp 12,megafauna
Annelida,Polychaeta,Eunicida,Lumbrineridae,Augeneria,Augeneria,Augeneria  sp. B PIP_81,macrofauna
Annelida,Polychaeta,Eunicida,Lumbrineridae,Augeneria,Augeneria,Augeneria sp. 2110,macrofauna
Annelida,Polychaeta,Eunicida,Lumbrineridae,Augeneria,Augeneria,Augeneria sp.A,macrofauna
Annelida,Polychaeta,Eunicida,Lumbrineridae,Augeneria,Augeneria,Augeneria sp.B,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Auospio sp. nov. PIP#21,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Auropsio sp.A,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Aurospio dibranchiata #1457,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Aurospio dibranchiata #249,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Aurospio dibranchiata EU340087 Maciolek 1981,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Aurospio dibranchiata KP342 EU340087,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Aurospio NEW NAME (NHM_91),macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Aurospio sp (NHM_135),macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Aurospio sp (NHM_471),macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Aurospio sp NEW NAME (NHM_17),macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Aurospio sp. (NHM_017),macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Aurospio sp. (NHM_091),macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Aurospio sp. (NHM_135),macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Aurospio sp. (NHM_1661),macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Aurospio sp. (NHM_2180),macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Aurospio sp. (NHM_2186),macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Aurospio sp. (NHM_2247),macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Aurospio sp. (NHM_776),macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Aurospio sp. (NHM_91),macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Aurospio sp. 20,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Aurospio sp. 2127,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Aurospio sp. 2129,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Aurospio sp. 2159,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Aurospio sp. 249,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Aurospio sp. 80,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Aurospio sp. S,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Aurospio sp. T,macrofauna
Annelida,Polychaeta,Spionida,Spionidae,Aurospio,Aurospio,Aurospio sp.A,macrofauna
Arthropoda,Malacostraca,Isopoda,Nannoniscidae,Austroniscus,Austroniscus,Austroniscus 149,macrofauna
Arthropoda,Malacostraca,Isopoda,Nannoniscidae,Austroniscus,Austroniscus,Austroniscus sp. 1,macrofauna
Porifera,Demospongiae,Axinellida,,,Axinellida,Axinellida sp. (NHM_003),macrofauna
Arthropoda,Malacostraca,Isopoda,Desmosomatidae,Balbidocolon,Balbidocolon,Balbidocolon 339,macrofauna
Arthropoda,Copepoda,Harpacticoida,Cletodidae,Barbaracletodes,Barbaracletodes,Barbaracletodes sp. 1,meiofauna
Chordata,Actinopteri,Ophidiiformes,Ophidiidae,Bassozetus,Bassozetus,Bassozetus sp. B,megafauna
Annelida,Polychaeta,,Maldanidae,Bathyasychis,Bathyasychis,Bathyasychis sp. 150,macrofauna
Nematoda,Enoplea,Enoplida,Enchelidiidae,Bathyeurystomina,Bathyeurystomina,Bathyeurystomina sp_1,meiofauna
Nematoda,Enoplea,Enoplida,Enchelidiidae,Bathyeurystomina,Bathyeurystomina,Bathyeurystomina sp_2,meiofauna
Nematoda,Enoplea,Enoplida,Enchelidiidae,Bathyeurystomina,Bathyeurystomina,Bathyeurystomina sp_3,meiofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathyfauvelia,Bathyfauvelia,Bathyfauvelia sp. 224,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathyfauvelia,Bathyfauvelia,Bathyfauvelia sp. 225,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathyfauvelia,Bathyfauvelia,Bathyfauvelia sp. 302,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathyfauvelia,Bathyfauvelia,Bathyfauvelia sp. 626,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathyfauvelia,Bathyfauvelia,Bathyfauvelia sp. 636-5-2,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathyfauvelia,Bathyfauvelia,Bathyfauvelia sp. 636-5-3,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathyfauvelia,Bathyfauvelia,Bathyfauvelia sp. 666-1-3,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathyfauvelia,Bathyfauvelia,Bathyfauvelia sp. 698,macrofauna
Annelida,Polychaeta,Phyllodocida,Goniadidae,Bathyglycinde,Bathyglycinde,Bathyglycinde  sp. A cf. profunda PIP_18,macrofauna
Annelida,Polychaeta,Phyllodocida,Goniadidae,Bathyglycinde,Bathyglycinde,Bathyglycinde  sp. B cf. sibogana PIP_91,macrofauna
Annelida,Polychaeta,Phyllodocida,Goniadidae,Bathyglycinde,Bathyglycinde,Bathyglycinde sp. A cf. profunda PIP_18,macrofauna
Annelida,Polychaeta,Phyllodocida,Goniadidae,Bathyglycinde,Bathyglycinde,Bathyglycinde sp.A,macrofauna
Cnidaria,Anthozoa,Alcyonacea,Isididae,Bathygorgia,Bathygorgia,Bathygorgia aff. abyssicola 1,megafauna
Cnidaria,Anthozoa,Alcyonacea,Isididae,Bathygorgia,Bathygorgia,Bathygorgia aff. profunda 1,megafauna
Cnidaria,Anthozoa,Alcyonacea,Isididae,Bathygorgia,Bathygorgia,Bathygorgia aff. profunda 2,megafauna
Cnidaria,Anthozoa,Alcyonacea,Keratoisididae,Bathygorgia,Bathygorgia ,Bathygorgia sp. mtp-ALC_003,megafauna
Nematoda,Enoplea,Enoplida,Tripyloididae,Bathylaimus,Bathylaimus,Bathylaimus sp_1,meiofauna
Echinodermata,Crinoidea,Comatulida,Antedonidae,,Bathymetrinae,Bathymetrinae incert. CCZ_176,megafauna
Nematoda,Chromadorea,Desmodorida,Microlaimidae,Bathynox,Bathynox,Bathynox sp_1,meiofauna
Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Bathypathes,Bathypathes,Bathypathes cf. alternata msp. 1,megafauna
Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Bathypathes,Bathypathes,Bathypathes cf. alternata msp. 2,megafauna
Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Bathypathes,Bathypathes,Bathypathes msp. 1,megafauna
Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Bathypathes,Bathypathes,Bathypathes sp. 1,megafauna
Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Bathypathes,Bathypathes,Bathypathes sp. 2,megafauna
Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Bathypathes,Bathypathes ,Bathypathes sp. indet. mtp-ANT_003,megafauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathypolaria,Bathypolaria,Bathypolaria sp. 173,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathypolaria,Bathypolaria,Bathypolaria sp. 173 ,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathypolaria,Bathypolaria,Bathypolaria sp. 608,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathypolaria,Bathypolaria,Bathypolaria sp. 608 ,macrofauna
