Site,Abundance,Species,rec,size_cat,REGION,SOURCE
site 14_-130_4986,1,Janirella ornata,8483,macrofauna,CENTRAL,OBIS
site 14_-130_5045,2,Janirella ornata,49574,macrofauna,CENTRAL,OBIS
site 14_-130_5022,4,Janirella ornata,95243,macrofauna,CENTRAL,OBIS
site 6.683_-137_5077,100,Labidocera detruncata,68224,macrofauna,CENTRAL,OBIS
site 16.63333_-136.2333_5647,3,Leodice antillensis,92476,macrofauna,CENTRAL,OBIS
site 14_-130_5017,7,Mastigoniscus cf. andeepi,38103,macrofauna,CENTRAL,OBIS
site 14_-130_5027,11,Mastigoniscus cf. andeepi,33967,macrofauna,CENTRAL,OBIS
site 14_-130_4986,12,Mastigoniscus cf. andeepi,79693,macrofauna,CENTRAL,OBIS
site 14_-130_5045,8,Mastigoniscus cf. andeepi,57219,macrofauna,CENTRAL,OBIS
site 14_-130_5022,13,Mastigoniscus cf. andeepi,71965,macrofauna,CENTRAL,OBIS
site 14_-130_5045,1,Mesosignum aff. vitjazi,28508,macrofauna,CENTRAL,OBIS
site 14_-130_5022,3,Mesosignum aff. vitjazi,10834,macrofauna,CENTRAL,OBIS
site 14_-130_5017,1,Mesosignum truncatum,39551,macrofauna,CENTRAL,OBIS
site 14_-130_5027,2,Mesosignum truncatum,55748,macrofauna,CENTRAL,OBIS
site 14_-130_5045,1,Mesosignum truncatum,3162,macrofauna,CENTRAL,OBIS
site 14_-130_5022,2,Mesosignum truncatum,87283,macrofauna,CENTRAL,OBIS
site 16.63333_-136.2333_5647,1,Metcalfina hexagona,119294,macrofauna,CENTRAL,OBIS
site 14_-130_5017,1,Micromesus cf. nannoniscoides,89785,macrofauna,CENTRAL,OBIS
site 14_-130_4986,1,Micromesus cf. nannoniscoides,116437,macrofauna,CENTRAL,OBIS
site 14_-130_5017,1,Microthambema cf. tenuis,21276,macrofauna,CENTRAL,OBIS
site 14_-130_5045,3,Microthambema cf. tenuis,13970,macrofauna,CENTRAL,OBIS
site 14_-130_5017,5,Nannoniscus cf. menziesi,48449,macrofauna,CENTRAL,OBIS
site 14_-130_5027,3,Nannoniscus cf. menziesi,9236,macrofauna,CENTRAL,OBIS
site 14_-130_4986,3,Nannoniscus cf. menziesi,2265,macrofauna,CENTRAL,OBIS
site 14_-130_5045,5,Nannoniscus cf. menziesi,96635,macrofauna,CENTRAL,OBIS
site 14_-130_5022,6,Nannoniscus cf. menziesi,37389,macrofauna,CENTRAL,OBIS
site 10.96667_-153.3583_5770,1,Nephasoma (Nephasoma) constricticervix,30211,macrofauna,WEST,OBIS
site 9.95_-137.783_NA,1,Nerocila excisa,34015,macrofauna,CENTRAL,OBIS
site 12.90213_-132.8705_4713,1,Orectopora flabellum,119186,macrofauna,CENTRAL,OBIS
site 14_-130_4984,1,Pelagodiscus atlanticus,104971,macrofauna,CENTRAL,OBIS
site 9.95_-137.783_4919,30,Pontella danae,123023,macrofauna,CENTRAL,OBIS
site 14.08687_-131.7856_5122,1,Rallocytus ridiculus,15184,macrofauna,CENTRAL,OBIS
site 14_-130_5045,1,Robustochelia pacifica,5595,macrofauna,CENTRAL,OBIS
site 14_-130_4986,1,Sugoniscus cf. parasitus,105431,macrofauna,CENTRAL,OBIS
site 14_-130_5022,1,Thylakogaster aff. lobotourus,104889,macrofauna,CENTRAL,OBIS
site 14_-130_5044,1,Tumidochelia tuberculata,54548,macrofauna,CENTRAL,OBIS
site -137.783_9.95_4919,1,Atlanta peronii,120137,macrofauna,CENTRAL,GBIF
site -140.618_12.08_NA,NA,Bathyspinula calcar,883,macrofauna,WEST,GBIF
site -125.3833_14.8167_4510,1,Bathyspinula calcar,98479,macrofauna,EAST,GBIF
site -122.3067_13.67383_4252,NA,Cadulus californicus,98509,macrofauna,EAST,GBIF
site -136.233_16.6333_5647,2,Eurytium limosum,97386,macrofauna,CENTRAL,GBIF
