rec_long,my_notes_on_tammys,Tammy_notes,Tammy_taxonomic.status,Thomas_notes,Thomas_taxonomic status,barcode,source,imagery_only_ID,all_recs_qual_y,any_recs_qual,descr_id_with,short_spp_cl,SPP_CHECKLIST,INCL,incl_note,ERIK_LIST,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,scientificName,taxonRank,otherRank,other_rank,ref_description,YEAR_DESC,description,orig_desc,CCZ_endemic,observed_out_CCZ_OBIS,SOURCE_ED,inferred,notes,size_cat,size_cat_notes,name_verbatim,habitat_info,source_habitat_info,pelagic,habitat_interim,deepsea_taxonmatch_note_wordss,Match type,Taxon status- worms,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,source_lit,source_gbif,source_DD,source_OBIS_only,GBIF,OBIS,LIT,DD,sept_check,source_OBIS_DD,sole_source,sole_check,type_loc_info_OBIS,note,cl,cl2,cl3
3144,,,,,,,,,,,,,,poss,double check,,Bryozoa,Gymnolaemata,Ctenostomatida,Nolellidae,,,,,Nolellidae,family,,,,,,,,,,y,,,,,,,,,,,exact,110795,Nolellidae,"Harmer, 1915",Animalia,,,,,,,,,,,,,,,,,
3141,,,,,,,,,,,,,,poss,double check,,Arthropoda,Malacostraca,Amphipoda,Stegocephalidae,Parandania,,,,Parandania,genus,,,,,,,,,,y,,,,,,,,,,,exact,206072,Parandania,"Stebbing, 1899",Animalia,,,,,,,,,,,,,,,,,
3159,,,,,,,,,,,,,,poss,double check,,Cnidaria,Anthozoa,Pennatulacea,Pennatulidae,,,,,Pennatulidae,family,,,,,,,,,,y,,,,,,,,,,,exact,128484,Pennatulidae,"Ehrenberg, 1834",Animalia,,,,,,,,,,,,,,,,,
3145,,,,,,,,,,,,,,poss,double check,,Bryozoa,Gymnolaemata,Cheilostomatida,Smittinidae,Phylactella,,,,Phylactella,genus,,,,,,,,,,y,,,,,,,,,,,exact,110984,Phylactella,"Hincks, 1879",Animalia,,,,,,,,,,,,,,,,,
3142,,,,,,,,,,,,,,poss,double check,,Arthropoda,Copepoda,Polyarthra,,,,,,Polyarthra,order,,,,,,,,,,y,,,,,,,,,,,exact,1565039,Polyarthra,"Lang, 1944",Animalia,,,,,,,,,,,,,,,,,
3153,,,,,,,,,,,,,,poss,double check,,Chordata,Actinopteri,Scombriformes,,,,,,Scombriformes,order,,,,,,,,,,y,,,,,,,,,,,exact,1517490,Scombriformes,,Animalia,,,,,,,,,,,,,,,,,
3160,,,,,,,,,,,,,,poss,double check,,Cnidaria,Anthozoa,Actiniaria,Sicyonidae,,,,,Sicyonidae,family,,,,,,,,,,y,,,,,,,,,,,exact,1555326,Sicyonidae,"Hertwig, 1882",Animalia,,,,,,,,,,,,,,,,,
3140,,,,,,,,,,,,,,poss,double check,,Arthropoda,Copepoda,Harpacticoida,Paramesochridae,Singularia,,,,Singularia,genus,,,,,,,,,,y,,,,,,,,,,,exact,150147,Biuncus,"Huys, 1996",Animalia,,,,,,,,,,,,,,,,,
3146,,,,,,,,,,,,,,poss,double check,,Bryozoa,Gymnolaemata,Cheilostomatida,Smittinidae,,,,,Smittinidae,family,,,,,,,,,,y,,,,,,,,,,,exact,110775,Smittinidae,"Levinsen, 1909",Animalia,,,,,,,,,,,,,,,,,
3204,,,,,,,,,,,,,,poss,double check,,Hemichordata,Enteropneusta,[unassigned] Enteropneusta,Spengelidae,,,,,Spengelidae,family,,,,,,,,,,y,,,,,,,,,,,exact,23150,Spengelidae,"Willey, 1899",Animalia,,,,,,,,,,,,,,,,,
3139,,,,,,,,,,,,,,poss,double check,,Arthropoda,Copepoda,Harpacticoida,Miraciidae,Stenhelia,,,,Stenhelia,genus,,,,,,,,,,y,,,,,,,,,,,exact,115327,Stenhelia,"Boeck, 1865",Animalia,,,,,,,,,,,,,,,,,
3132,,,,,,,,,,,,,,poss,double check,,Arthropoda,Copepoda,Harpacticoida,Cletodidae,Tauroceratus,,,,Tauroceratus,genus,,,,,,,,,,y,,,,,,,,,,,exact,1545068,Tauroceratus,"George, 2021",Animalia,,,,,,,,,,,,,,,,,
2362,,,,,,,,,,,,,,,pelagic but poss include,,Cnidaria,Hydrozoa,Siphonophorae,Abylidae,Abylopsis,,,,Abylopsis,genus,,,,,,,,,literature; GBIF; DD; OBIS only,y,,macrofauna,,,pelagic,WoRMS,yes,water column,,exact,accepted,135352,Abylopsis,"Chun, 1888",Animalia,literature,GBIF,DD,OBIS only,,,,,,,,,,,,,
6,,,,,,yes,,,,,morphology and molecular data,no,yes,,pelagic but poss include- in ABYSSLINE cnidaria paper..,,Cnidaria,Hydrozoa,Siphonophorae,Abylidae,Abylopsis,,eschscholtzii,,Abylopsis eschscholtzii,species,,,,,,,,,literature; GBIF; DD; OBIS only,,,macrofauna,,,pelagic,WoRMS,yes,water column,No match found,exact,accepted,196656,Abylopsis eschscholtzii,"(Huxley, 1859)",Animalia,literature,GBIF,DD,OBIS only,GBIF,OBIS,LIT,DD,y,,,,,,,,
7,,,,,,,,,,,morphology and molecular data,,,,,yes,Annelida,Polychaeta,Phyllodocida,Polynoidae,Abyssarya,,,,Abyssarya,genus,,,Bonifacio&Menot_2019,2019,new genus,new genus,y,,literature,,,macrofauna,,,,,,sediment,No match found,exact,accepted,1311122,Abyssarya,"Bonifácio & Menot, 2018",Animalia,literature,,,,,,LIT,,y,,yes,,,,,,
8,,,,,ok,yes,genbank,,,,morphology and molecular data,yes,yes,,,yes,Annelida,Polychaeta,Phyllodocida,Polynoidae,Abyssarya,,acus,,Abyssarya acus,species,,,Bonifacio&Menot_2019,2019,new species,new species,y,,literature; GBIF,,DEPTH LESS THAN 3000M recent description so not in WoRDS,macrofauna,,,benthic,WoRMS,,sediment,No match found,exact,accepted,1311123,Abyssarya acus,"Bonifácio & Menot, 2018",Animalia,literature,GBIF,,,GBIF,,LIT,,y,,,,Y,,nwarms,,
9,,,,,,,,,,,,,,,,yes,Chordata,Actinopteri,Beryciformes,Stephanoberycidae,Abyssoberyx,,,,Abyssoberyx,genus,,,,,,,,,literature,,,megafauna,,,,,,water column,matchtype: exact,exact,accepted,397696,Abyssoberyx,"Merrett & Moore, 2005",Animalia,literature,,,,,,LIT,,y,,yes,,,,,,
2857,,,,,,,,YES,incertae sedis,incertae sedis,morphology only (imagery),no,yes,,no habitat info,yes,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Abyssocucumis,,abyssorum,,Abyssocucumis abyssorum,species,,,,,,,,,literature,,,megafauna,,,,,,sediment,,,,124597,Abyssocucumis abyssorum,"(Théel, 1886)",Animalia,literature,,,,,,LIT,,y,,yes,,,,rams,,
2858,,,,,,,,YES,incertae sedis,incertae sedis,morphology only (imagery),no,yes,,no habitat info,yes,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Abyssocucumis,,albatrossi,,Abyssocucumis albatrossi,species,,,,,,,,,literature,,,megafauna,,,,,,sediment,,,,818766,Abyssocucumis albatrossi,"(Cherbonnier, 1941)",Animalia,literature,,,,,,LIT,,y,,yes,,,,,,
10,,,,,,,,,,,morphology only (specimens),,,,,yes,Bryozoa,Stenolaemata,Cyclostomatida,Oncousoeciidae,Abyssoecia,,,,Abyssoecia,genus,,,Grischenko_etal_2018,2018,new genus,new genus,y,,literature,,,macrofauna,,,,,,nodule,matchtype: exact,exact,accepted,1299007,Abyssoecia,"Grischenko, Gordon & Melnik, 2018",Animalia,literature,,,,,,LIT,,y,,yes,,,,,,
11,,,,,,,,,,,morphology only (specimens),yes,yes,,,yes,Bryozoa,Stenolaemata,Cyclostomatida,Oncousoeciidae,Abyssoecia,,elevata,,Abyssoecia elevata,species,,,Grischenko_etal_2018,2018,new species,new species,y,,literature,,,macrofauna,,,benthic,WoRMS,,nodule,matchtype: exact,exact,accepted,1299008,Abyssoecia elevata,"Grischenko, Gordon & Melnik, 2018",Animalia,literature,,,,,,LIT,,y,,yes,,,,,,
12,,,,,,,,,,,,,,,,yes,Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Abyssopathes,,,,Abyssopathes,genus,,,,,,,,,literature; GBIF; OBIS only,,,megafauna,,,,,,nodule,matchtype: exact,exact,accepted,267184,Abyssopathes,"Opresko, 2002",Animalia,literature,GBIF,,OBIS only,GBIF,OBIS,LIT,,y,,,,,,,,
13,,,,,,,,,,,morphology only (specimens),yes,yes,,,yes,Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Abyssopathes,,anomala,,Abyssopathes anomala,species,,,Molodtsova&Opresko_2017,2017,new species,new species,y,yes- in description- also south of CCZ,literature; GBIF; OBIS only,,,megafauna,,,benthic,WoRMS,,nodule,matchtype: exact,exact,accepted,994320,Abyssopathes anomala,"Molodtsova & Opresko, 2017",Animalia,literature,GBIF,,OBIS only,GBIF,OBIS,LIT,,y,,,,Y,,,,
14,,,,,,,,,,cf.,morphology only (specimens),yes,yes,,,yes,Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Abyssopathes,,lyra,,Abyssopathes lyra,species,,,,,,,,,GBIF; literature; DD,,,megafauna,,,benthic,WoRMS,,nodule,matchtype: exact,exact,accepted,289303,Abyssopathes lyra,"(Brook, 1889)",Animalia,literature,GBIF,DD,,GBIF,,LIT,DD,y,OBIS DD,,,,,,,
15,,,,,,,,,cf.,cf.,morphology only (specimens),no,yes,,,yes,Cnidaria,Anthozoa,Antipatharia,Schizopathidae,Abyssopathes,,lyriformis,,Abyssopathes lyriformis,species,,,,,,,,,literature; GBIF; OBIS only,,,megafauna,,,benthic,WoRMS,,nodule,matchtype: exact,exact,accepted,289304,Abyssopathes lyriformis,"Opresko, 2002",Animalia,literature,GBIF,,OBIS only,GBIF,OBIS,LIT,,y,,,,,,,,
