Site,Abundance,Species
central,0,Paramonohystera (Paramono/Promonhystera)
central,0,Spirobolbolaimus cf. Spirobolbolaimus
central,0,Spirobolbolaimus cf. Spirobolbolaimus
central,0,Spirobolbolaimus cf. Spirobolbolaimus
central,0,Spirobolbolaimus cf. Spirobolbolaimus
central,0,Stephanolaimus (Stephano/Deontolaimus)
central,0,Stephanolaimus (Stephano/Deontolaimus)
central,0,Stephanolaimus (Stephano/Deontolaimus)
central,0,Terschellingia cf. Terschellingia
central,0,Terschellingia cf. Terschellingia
central,0,Terschellingia cf. Terschellingia
central,0,Thalassoalaimus cf. Thalassoalaimus
central,0,Thalassoalaimus cf. Thalassoalaimus
central,0,Thalassoalaimus cf. Thalassoalaimus
central,0,Thalassomonhystera (Thalassomonhystera/Halomonhys...)
central,0,Thalassomonhystera (Thalassomonhystera/Halomonhys...)
central,0,Thalassomonhystera (Thalassomonhystera/Halomonhys...)
central,0,Thalassomonhystera (Thalassomonhystera/Halomonhys...)
central,0,Thalassomonhystera (Thalassomonhystera/Monhystrella)
central,0,Thalassomonhystera (Thalassomonhystera/Monhystrella)
central,0,Theristus (Theristus/Thalassomonhystera)
central,0,Theristus (Theristus/Thalassomonhystera)
central,0,Theristus (Theristus/Thalassomonhystera)
central,0,Theristus (Theristus/Thalassomonhystera)
central,0,Tubolaimoides cf. Tubolaimoides
central,0,Tubolaimoides cf. Tubolaimoides
central,0,Tubolaimoides cf. Tubolaimoides
central,0,Tubolaimoides cf. Tubolaimoides
central,0,Valvaelaimus cf. Valvaelaimus
central,0,Valvaelaimus cf. Valvaelaimus
central,0,Valvaelaimus cf. Valvaelaimus
central,0,Valvaelaimus cf. Valvaelaimus
central,0,Wieseria cf. Wieseria
central,0,Wieseria cf. Wieseria
central,0,Wieseria cf. Wieseria
central,0,Wieseria cf. Wieseria
central,0,Xyala (Xyala/Pterygonema)
central,0,Xyala (Xyala/Pterygonema)
central,0,Xyala (Xyala/Pterygonema)
central,0,Xyalidae sp. (Xyalidae/Daptonema)
central,0,Xyalidae sp. (Xyalidae/Daptonema)
central,0,Xyalidae sp. (Xyalidae/Daptonema)
central,0,Xyalidae sp. (Xyalidae/Daptonema)
central,0,Xyalidae sp. (Xyalidae/Monhysteridae)
central,0,Xyalidae sp. (Xyalidae/Monhysteridae)
central,0,Xyalidae sp. (Xyalidae/Monhysteridae)
central,0,Xyalidae sp. (Xyalidae/Monhysteridae)
central,1, cf. Leptolaimidae family
central,1, cf. Linhomoeidae family
central,1,(Aphelochaeta wilsoni) sp. 9
central,1,(Aphelochaeta wilsoni) sp. 9
central,1,(Chaetozone trubloodi) sp. 6
central,1,(Chaetozone trubloodi) sp. 6
central,1,(elongata)
central,1,(indet)
central,1,(Jasmineira?) sp. 3
central,1,?Leanira sp. 1
central,1,?Leanira sp. 1
central,1,?Leanira sp. 1
central,1,?Leanira sp. 1
central,1,?Leanira sp. 1
central,1,?Leanira sp. 1
central,1,?Leanira sp. 1
central,1,?Leanira sp. 1
central,1,?Leanira sp. 1
central,1,?Leanira sp. 1
central,1,?Leanira sp. 1
central,1,Abyssarya acus
central,1,Abyssarya acus
central,1,Abyssarya acus
central,1,Abyssarya acus
central,1,Abyssoecia elevata
central,1,Abyssoecia elevata
central,1,Abyssoecia elevata
central,1,Abyssoecia elevata
central,1,Abyssoecia elevata
central,1,Abyssoecia elevata
central,1,Abyssoecia elevata
central,1,Abyssoecia elevata
central,1,Abyssoecia elevata
central,1,Abyssopathes anomala
central,1,Abyssopathes anomala
central,1,Abyssopathes lyra
central,1,Abyssopathes lyriformis
central,1,Abyssopathes lyriformis
central,1,Abyssopathes lyriformis
central,1,Abyssothyris wyvillei
central,1,Acanthocope galatheae
central,1,Acanthocope galatheae
central,1,Acanthocope galatheae
central,1,Acanthocope galatheae
central,1,Acanthocope galatheae
central,1,Acanthocope galatheae
central,1,Acanthocope galatheae
central,1,Acanthocope galatheae
central,1,Acanthocope galatheae
central,1,Acanthocope galatheae
central,1,Acanthocope galatheae
central,1,Acanthocope galatheae
central,1,Acanthocope galatheae
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus angustus
central,1,Acantholaimus arthrochaeta
central,1,Acantholaimus arthrochaeta
central,1,Acantholaimus arthrochaeta
central,1,Acantholaimus arthrochaeta
central,1,Acantholaimus arthrochaeta
central,1,Acantholaimus arthrochaeta
central,1,Acantholaimus arthrochaeta
central,1,Acantholaimus arthrochaeta
central,1,Acantholaimus arthrochaeta
central,1,Acantholaimus arthrochaeta
central,1,Acantholaimus arthrochaeta
central,1,Acantholaimus arthrochaeta
central,1,Acantholaimus arthrochaeta
central,1,Acantholaimus arthrochaeta
central,1,Acantholaimus arthrochaeta
central,1,Acantholaimus arthrochaeta
central,1,Acantholaimus arthrochaeta
central,1,Acantholaimus barbatus
central,1,Acantholaimus barbatus
central,1,Acantholaimus barbatus
central,1,Acantholaimus barbatus
central,1,Acantholaimus barbatus
central,1,Acantholaimus barbatus
central,1,Acantholaimus barbatus
central,1,Acantholaimus barbatus
central,1,Acantholaimus barbatus
central,1,Acantholaimus barbatus
central,1,Acantholaimus barbatus
central,1,Acantholaimus barbatus
central,1,Acantholaimus barbatus
central,1,Acantholaimus barbatus
central,1,Acantholaimus barbatus
central,1,Acantholaimus caecus
central,1,Acantholaimus caecus
central,1,Acantholaimus caecus
central,1,Acantholaimus caecus
central,1,Acantholaimus cornutus
central,1,Acantholaimus cornutus
central,1,Acantholaimus cornutus
central,1,Acantholaimus cornutus
central,1,Acantholaimus iubilus
central,1,Acantholaimus iubilus
central,1,Acantholaimus iubilus
central,1,Acantholaimus iubilus
central,1,Acantholaimus maks
central,1,Acantholaimus maks
central,1,Acantholaimus maks
central,1,Acantholaimus maks
central,1,Acantholaimus maks
central,1,Acantholaimus maks
central,1,Acantholaimus maks
central,1,Acantholaimus maks
central,1,Acantholaimus maks
central,1,Acantholaimus maks
central,1,Acantholaimus maks
central,1,Acantholaimus maks
central,1,Acantholaimus maks
central,1,Acantholaimus maks
central,1,Acantholaimus occultus
central,1,Acantholaimus occultus
central,1,Acantholaimus occultus
central,1,Acantholaimus occultus
central,1,Acantholaimus occultus
central,1,Acantholaimus occultus
central,1,Acantholaimus occultus
central,1,Acantholaimus quintus
central,1,Acantholaimus robustus
central,1,Acantholaimus robustus
central,1,Acantholaimus sieglerae
central,1,Acantholaimus sp_10
central,1,Acantholaimus sp_10
central,1,Acantholaimus sp_10
central,1,Acantholaimus sp_10
central,1,Acantholaimus sp_10
central,1,Acantholaimus sp_11
central,1,Acantholaimus sp_12
central,1,Acantholaimus sp_12
central,1,Acantholaimus sp_13
central,1,Acantholaimus sp_13
central,1,Acantholaimus sp_13
central,1,Acantholaimus sp_13
central,1,Acantholaimus sp_15
central,1,Acantholaimus sp_15
central,1,Acantholaimus sp_15
central,1,Acantholaimus sp_15
central,1,Acantholaimus sp_17
central,1,Acantholaimus sp_17
central,1,Acantholaimus sp_17
central,1,Acantholaimus sp_17
central,1,Acantholaimus sp_18
central,1,Acantholaimus sp_18
central,1,Acantholaimus sp_18
central,1,Acantholaimus sp_18
central,1,Acantholaimus sp_2
central,1,Acantholaimus sp_23
central,1,Acantholaimus sp_25
central,1,Acantholaimus sp_25
central,1,Acantholaimus sp_26
central,1,Acantholaimus sp_26
central,1,Acantholaimus sp_26
central,1,Acantholaimus sp_26
