rec_long,descr_id_with,SPP_CHECKLIST,FULL_SPP_CHECKLIST,INCL,incl_note,size_cat,Phylum,Class,Order,Family,Genus,Subgenus,specificEpiphet,Subspecies,scientificName,ScientificName_accepted,taxonRank,other_rank,ref_description,YEAR_DESC,description,orig_desc,CCZ_endemic,observed_out_CCZ_OBIS,notes,SOURCE_ED,inferred,size_cat_notes,habitat_info,source_habitat_info,hab_confirmed,hab/group,pelagic,habitat_interim,QA/QC,type_loc_elsewhere,my_notes_on_tammys,Tammy_notes,Tammy_taxonomic.status,Thomas_notes,Thomas_taxonomic status,barcode,source,imagery_only_ID,all_recs_qual_y,any_recs_qual,deepsea_taxonmatch_note_wordss,Match type,Taxon status- worms,Authority_accepted,AphiaID_accepted,isMarine,isBrackish,isFresh,isTerrestrial,extra_AphiaID,extra_authority,Citation,Kingdom,source_lit,source_gbif,source_DD,source_OBIS_only,source_OBIS_DD,sole_source,type_loc_info_OBIS,cl,cl2,cl3
16,morphology only (specimens),,,,,megafauna,Cnidaria,Anthozoa,Scleralcyonacea,Primnoidae,Abyssoprimnoa,,,,Abyssoprimnoa,Abyssoprimnoa,genus,,Cairns_2015,2015,new genus,new genus,y,,,literature,,macro/mega,,,,,,nodule,,,,,,,,,,,,,No match found,exact,accepted,"Cairns, 2015",872589,1,,,,,,"McFadden, C.; Cordeiro, R.; Williams, G.; van Ofwegen, L. (2023). World List of Octocorallia. Abyssoprimnoa Cairns, 2015. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=872589 on 2023-01-30",Animalia,literature,,,,,yes,,,,
17,morphology and molecular data,yes,yes,,,megafauna,Cnidaria,Anthozoa,Scleralcyonacea,Primnoidae,Abyssoprimnoa,,gemina,,Abyssoprimnoa gemina,Abyssoprimnoa gemina,species,,Cairns_2015,2015,new species,new species,y,,,literature; GBIF; DD; OBIS only,,macro/mega,benthic,WoRMS,,,,nodule,,,,,,,,yes,genbank,,,cf.,No match found,exact,accepted,"Cairns, 2015",872590,1,,,,,,"McFadden, C.; Cordeiro, R.; Williams, G.; van Ofwegen, L. (2023). World List of Octocorallia. Abyssoprimnoa gemina Cairns, 2015. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=872590 on 2023-01-30",Animalia,literature,GBIF,DD,OBIS only,OBIS DD,,,,,
18,,,,,,macrofauna,Arthropoda,Malacostraca,Amphipoda,Uristidae,Abyssorchomene,,,,Abyssorchomene,Abyssorchomene,genus,,,,,,,,,literature; DD,,,,,,,,sediment,,,,,,,,,,,,,matchtype: exact,exact,accepted,"De Broyer, 1984",101585,1,0,0,0,,,"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Copila?-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2023). World Amphipoda Database. Abyssorchomene De Broyer, 1984. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=101585 on 2023-01-30",Animalia,literature,,DD,,OBIS DD,,,,,
19,morphology and molecular data,yes,yes,,no habitat info,macrofauna,Arthropoda,Malacostraca,Amphipoda,Uristidae,Abyssorchomene,,chevreuxi,,Abyssorchomene chevreuxi,Abyssorchomene chevreuxi,species,,,,,,,,,literature,,,,,,,,sediment,y,,,,ok,,,yes,genbank,,,cf.,matchtype: exact,exact,accepted,"(Stebbing, 1906)",102493,1,0,0,0,,,"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Copila?-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2023). World Amphipoda Database. Abyssorchomene chevreuxi (Stebbing, 1906). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=102493 on 2023-01-30",Animalia,literature,,,,,yes,,,,
20,morphology and molecular data,yes,yes,,,macrofauna,Arthropoda,Malacostraca,Amphipoda,Uristidae,Abyssorchomene,,distinctus,,Abyssorchomene distinctus,Abyssorchomene distinctus,species,,,,,,,,,literature; DD,,,benthic,WoRMS,,,,sediment,y,,,,ok,,,yes,genbank,,,,matchtype: exact,exact,accepted,"(Birstein & Vinogradov, 1960)",557477,1,0,0,0,,,"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Copila?-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2023). World Amphipoda Database. Abyssorchomene distinctus (Birstein & Vinogradov, 1960). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=557477 on 2023-01-30",Animalia,literature,,DD,,OBIS DD,,,,,
21,morphology and molecular data,yes,yes,,,macrofauna,Arthropoda,Malacostraca,Amphipoda,Uristidae,Abyssorchomene,,gerulicorbis,,Abyssorchomene gerulicorbis,Abyssorchomene gerulicorbis,species,,,,,,,,,literature; DD,,,benthic,WoRMS,,,,sediment,y,,,,ok,,,yes,genbank,,,,matchtype: exact,exact,accepted,"(Shulenberger & Barnard, 1976)",867593,1,0,0,0,,,"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Copila?-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2023). World Amphipoda Database. Abyssorchomene gerulicorbis (Shulenberger & Barnard, 1976). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=867593 on 2023-01-30",Animalia,literature,,DD,,OBIS DD,,,,,
22,morphology and molecular data,,,,,megafauna,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Acanthascus,,,,Acanthascus,Acanthascus,genus,,,,,,,,,literature; GBIF; OBIS only,,,,,,nodule/sediment,,nodule,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Schulze, 1886",171966,1,0,0,0,,,"de Voogd, N.J.; Alvarez, B.; Boury-Esnault, N.; Carballo, J.L.; Cárdenas, P.; Díaz, M.-C.; Dohrmann, M.; Downey, R.; Goodwin, C.; Hajdu, E.; Hooper, J.N.A.; Kelly, M.; Klautau, M.; Lim, S.C.; Manconi, R.; Morrow, C.; Pinheiro, U.; Pisera, A.B.; Ríos, P.; Rützler, K.; Schönberg, C.; Vacelet, J.; van Soest, R.W.M.; Xavier, J. (2023). World Porifera Database. Acanthascus Schulze, 1886. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=171966 on 2023-01-30",Animalia,literature,GBIF,,OBIS only,,,,,,
23,,,,,,megafauna,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,,,,Acanthephyra,Acanthephyra,genus,,,,,,,,,literature,,,,,,,,water column,,,,,,,,,,,,,matchtype: exact,exact,accepted,"A. Milne-Edwards, 1881",107018,1,,,,,,"WoRMS (2023). Acanthephyra A. Milne-Edwards, 1881. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=107018 on 2023-01-30",Animalia,literature,,,,,yes,,,,
24,,,,,,macrofauna,Arthropoda,Malacostraca,Isopoda,Munnopsidae,Acanthocope,,,,Acanthocope,Acanthocope,genus,,,,,,,,,literature,,,,,,,,sediment,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Beddard, 1885",118333,1,0,0,0,,,"Boyko, C.B.; Bruce, N.L.; Hadfield, K.A.; Merrin, K.L.; Ota, Y.; Poore, G.C.B.; Taiti, S. (Eds) (2008 onwards). World Marine, Freshwater and Terrestrial Isopod Crustaceans database. Acanthocope Beddard, 1885. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=118333 on 2023-01-30",Animalia,literature,,,,,yes,,,,
25,morphology and molecular data,no,yes,,all records with qualifiers,macrofauna,Arthropoda,Malacostraca,Isopoda,Munnopsidae,Acanthocope,,galatheae,,Acanthocope galatheae,Acanthocope galatheae,species,,,,,,,,,literature; DD; OBIS only,,,benthic,WoRMS,,,,sediment,y- but not on short checklist,,,confirmed widespread.,ok,,,yes,,,cf.,cf.,matchtype: exact,exact,accepted,"Wolff, 1962",255715,1,0,0,0,,,"Boyko, C.B.; Bruce, N.L.; Hadfield, K.A.; Merrin, K.L.; Ota, Y.; Poore, G.C.B.; Taiti, S. (Eds) (2008 onwards). World Marine, Freshwater and Terrestrial Isopod Crustaceans database. Acanthocope galatheae Wolff, 1962. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=255715 on 2023-01-30",Animalia,literature,,DD,OBIS only,,,,rams,,
26,molecular data,,,,,meiofauna,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,,,,Acantholaimus,Acantholaimus,genus,,,,,,,,,literature; GBIF; DD; OBIS only,,,,,,,,sediment,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Allgén, 1933",2303,1,,,,,,"Nemys eds. (2023). Nemys: World Database of Nematodes. Acantholaimus Allgén, 1933. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=2303 on 2023-01-30",Animalia,literature,GBIF,DD,OBIS only,OBIS DD,,,,,
27,morphology only (specimens),yes,yes,,,meiofauna,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,,angustus,,Acantholaimus angustus,Acantholaimus angustus,species,,,,,,,,,literature; DD; OBIS only,,,benthic,WoRMS,,,,sediment,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Bussau, 1993",583365,1,,,,,,"Nemys eds. (2023). Nemys: World Database of Nematodes. Acantholaimus angustus Bussau, 1993. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=583365 on 2023-01-30",Animalia,literature,,DD,OBIS only,OBIS DD,,,,,
28,morphology only (specimens),yes,yes,,,meiofauna,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,,arthrochaeta,,Acantholaimus arthrochaeta,Acantholaimus arthrochaeta,species,,Miljuntina&Miljutin_2012,2012,new species,new species,y,,,literature; DD; OBIS only,,,benthic,WoRMS,,,,sediment,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Miljutina & Miljutin, 2012",734414,1,,,,,,"Nemys eds. (2023). Nemys: World Database of Nematodes. Acantholaimus arthrochaeta Miljutina & Miljutin, 2012. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=734414 on 2023-01-30",Animalia,literature,,DD,OBIS only,OBIS DD,,Y,,,
