Year,Publications,Pubs with descriptions ,CCZ new species,All CCZ Descriptions,cumul_pubs,cumul_desc,cumul_spp
1980,4,,1,1,4,1,1
1981,,,,,4,1,1
1982,,,,,4,1,1
1983,1,1,1,2,5,3,2
1985,1,,,,6,3,2
1986,2,1,1,1,8,4,3
1987,1,,,,9,4,3
1988,1,,,,10,4,3
1990,1,,,,11,4,3
1992,1,,,,12,4,3
1993,1,,,,13,4,3
1994,1,,,,14,4,3
1997,4,1,,,18,4,3
1999,2,2,3,3,20,7,6
2000,3,,,,23,7,6
2001,1,,,,24,7,6
2002,2,,,,26,7,6
2004,2,,,,28,7,6
2005,1,1,1,1,29,8,7
2007,1,,,,30,8,7
2008,2,1,1,2,32,10,8
2009,3,2,8,9,35,19,16
2010,1,,,,36,19,16
2011,5,3,8,8,41,27,24
2012,2,1,7,7,43,34,31
2013,2,1,2,4,45,38,33
2014,5,5,7,9,50,47,40
2015,6,4,9,10,56,57,49
2016,10,3,4,4,66,61,53
2017,14,5,5,7,80,68,58
2018,12,5,23,35,92,103,81
2019,18,9,66,72,110,175,147
2020,23,9,14,17,133,192,161
2021,23,6,14,17,156,209,175
2022,8,4,8,8,164,217,183
