rec,INCL,incl_note,paper,REF2/DATASET,basisOfRecord,named_spp,taxonConceptID,scientificName,NAME,COUNT,rec-single,spec_note,typeStatus,TO_DO,qual_level,qual,ABSENSE,taxonRank,tr_w_tcid,Phylum,Class,Order,Family,Genus,Species,AphiaID_accepted,Authority_accepted,size_cat,VESSEL,CRUISE,CONTRACT_AREA,CA_ED,CA_TEST,sub-area,inc_site_analysis,STATION,STN_ED,deployment,STN-DEPLOY,SITE_STRING_V1,fraction,habitat,nodule_pres,region,LAT-START,LONG-START,LAT-END,LONG-END,VERB-LAT-START,VERB-LONG-START,VERB_LAT-END2,VERB-LONG-END,max_depth/start_depth,min_depth/end_depth,depth_qual,DATE,date_to_ed,sampling_method,sampling_method_ED,sampling_dets,QUANTITATIVE,FULLY_PROCESSED,duration,AREA,collector,year,type_loc,sampleID,data_source,taxonRank,CCZ_endemic,identificationQualifier,inc_type_loc_map,note,site_NOTES,orig_row,external_row
1049,,imagery,Amon_etal_2017a,,HumanObservation,no,cf. Amperima morphospecies,Amperima,cf. Amperima morphospecies,1,NA,Imaged only,additional material,,,,,genus,genus,Echinodermata,Holothuroidea,Elasipodida,Elpidiidae,Amperima,,123510,"Pawson, 1965",megafauna,RV Melville Cruise MV1313,AB01,Site EPIRB,APEI-12,APEI-12,Site EPIRB,add station,Dive 7 (RV07),,Dive 7 (RV07),STN,AB01_Dive 7 (RV07),,,,EAST,13.6794,-114.4113,,,13.6794,-114.4113,,,3938,,,2013-10-23,,Remotely Operated Vehicle,ROV,,,,,,,,,,,genus,,,,,,,
1051,,imagery,Amon_etal_2017a,,HumanObservation,no,cf. Aspidodiadematidae morphospecies,Aspidodiadematidae,cf. Aspidodiadematidae morphospecies,1,NA,Imaged only,additional material,,,,,family,family,Echinodermata,Echinoidea,Aspidodiadematoida,Aspidodiadematidae,,,123162,"Duncan, 1889",megafauna,RV Melville Cruise MV1313,AB01,UK-1,UK-1,UK-1,UK-1 Stratum A,add station,Dive 1 (RV01),,Dive 1 (RV01),STN,AB01_Dive 1 (RV01),,,,EAST,13.8502,-116.6457,,,13.8502,-116.6457,,,4108,,,2013-10-10,,Remotely Operated Vehicle,ROV,,,,,,,,,,,family,,,,,,,
1052,,imagery,Amon_etal_2017a,,HumanObservation,no,cf. Aspidodiadematidae morphospecies,Aspidodiadematidae,cf. Aspidodiadematidae morphospecies,1,NA,Imaged only,additional material,,,,,family,family,Echinodermata,Echinoidea,Aspidodiadematoida,Aspidodiadematidae,,,123162,"Duncan, 1889",megafauna,RV Thompson Cruise TN319,AB02,UK-1,UK-1,UK-1,UK-1 Stratum B,add station,Dive 9 (AV09),,Dive 9 (AV09),STN,AB02_Dive 9 (AV09),,,,EAST,12.5025,-116.6489,,,12.5025,-116.6489,,,4255,,,2015-03-18,,Autonomous Underwater Vehicle,AUV,,,,,,,,,,,family,,,,,,,
1053,,imagery,Amon_etal_2017a,,HumanObservation,no,cf. Astropectinidae morphospecies,Astropectinidae,cf. Astropectinidae morphospecies,1,NA,Imaged only,additional material,,,,,family,family,Echinodermata,Asteroidea,Paxillosida,Astropectinidae,,,123127,"Gray, 1840",megafauna,RV Thompson Cruise TN319,AB02,UK-1,UK-1,UK-1,UK-1 Stratum B,add station,Dive 1 (AV01),,Dive 1 (AV01),STN,AB02_Dive 1 (AV01),,,,EAST,12.3655,-116.5184,,,12.3655,-116.5184,,,4159,,,2015-02-18,,Autonomous Underwater Vehicle,AUV,,,,,,,,,,,family,,,,,,,
1056,,imagery,Amon_etal_2017a,,HumanObservation,no,cf. Benthodytes morphospecies 1,Benthodytes,cf. Benthodytes morphospecies 1,1,NA,Imaged only,additional material,,,,,genus,genus,Echinodermata,Holothuroidea,Elasipodida,Psychropotidae,Benthodytes,,123529,"Théel, 1882",megafauna,RV Thompson Cruise TN319,AB02,UK-1,UK-1,UK-1,UK-1 Stratum B,add station,Dive 1 (AV01),,Dive 1 (AV01),STN,AB02_Dive 1 (AV01),,,,EAST,12.3688,-116.5207,,,12.3688,-116.5207,,,4164,,,2015-02-18,,Autonomous Underwater Vehicle,AUV,,,,,,,,,,,genus,,,,,,,
1057,,imagery,Amon_etal_2017a,,HumanObservation,no,cf. Benthodytes morphospecies 1,Benthodytes,cf. Benthodytes morphospecies 1,1,NA,Imaged only,additional material,,,,,genus,genus,Echinodermata,Holothuroidea,Elasipodida,Psychropotidae,Benthodytes,,123529,"Théel, 1882",megafauna,RV Thompson Cruise TN319,AB02,UK-1,UK-1,UK-1,UK-1 Stratum B,add station,Dive 5 (AV05),,Dive 5 (AV05),STN,AB02_Dive 5 (AV05),,,,EAST,12.5062,-116.6493,,,12.5062,-116.6493,,,4255,,,2015-03-03,,Autonomous Underwater Vehicle,AUV,,,,,,,,,,,genus,,,,,,,
1058,,imagery,Amon_etal_2017a,,HumanObservation,no,cf. Benthodytes morphospecies 2,Benthodytes,cf. Benthodytes morphospecies 2,1,NA,Imaged only,additional material,,,,,genus,genus,Echinodermata,Holothuroidea,Elasipodida,Psychropotidae,Benthodytes,,123529,"Théel, 1882",megafauna,RV Melville Cruise MV1313,AB01,UK-1,UK-1,UK-1,UK-1 Stratum A,add station,Dive 6 (RV06),,Dive 6 (RV06),STN,AB01_Dive 6 (RV06),,,,EAST,13.8585,-116.5472,,,13.8585,-116.5472,,,4024,,,2013-10-21,,Remotely Operated Vehicle,ROV,,,,,,,,,,,genus,,,,,,,
1065,,imagery,Amon_etal_2017a,,HumanObservation,no,cf. Comatulida morphospecies 1,Comatulida,cf. Comatulida morphospecies 1,1,NA,Imaged only,additional material,,,,,order,order,Echinodermata,Crinoidea,Comatulida,,,,123093,,megafauna,RV Melville Cruise MV1313,AB01,UK-1,UK-1,UK-1,UK-1 Stratum A,add station,Dive 6 (RV06),,Dive 6 (RV06),STN,AB01_Dive 6 (RV06),,,,EAST,13.8639,-116.5487,,,13.8639,-116.5487,,,4025,,,2013-10-21,,Remotely Operated Vehicle,ROV,,,,,,,,,,,order,,,,,,,
1066,,imagery,Amon_etal_2017a,,HumanObservation,no,cf. Comatulida morphospecies 1,Comatulida,cf. Comatulida morphospecies 1,1,NA,Imaged only,additional material,,,,,order,order,Echinodermata,Crinoidea,Comatulida,,,,123093,,megafauna,RV Melville Cruise MV1313,AB01,Site EPIRB,APEI-12,APEI-12,Site EPIRB,add station,Dive 7 (RV07),,Dive 7 (RV07),STN,AB01_Dive 7 (RV07),,,,EAST,13.6793,-114.4072,,,13.6793,-114.4072,,,3914,,,2013-10-23,,Remotely Operated Vehicle,ROV,,,,,,,,,,,order,,,,,,,
1064,,imagery,Amon_etal_2017a,,HumanObservation,no,cf. Comatulida morphospecies 2,Comatulida,cf. Comatulida morphospecies 2,1,NA,Imaged only,additional material,,,,,order,order,Echinodermata,Crinoidea,Comatulida,,,,123093,,megafauna,RV Melville Cruise MV1313,AB01,UK-1,UK-1,UK-1,UK-1 Stratum A,add station,Dive 1 (RV01),,Dive 1 (RV01),STN,AB01_Dive 1 (RV01),,,,EAST,13.8498,-116.6458,,,13.8498,-116.6458,,,4110,,,2013-10-10,,Remotely Operated Vehicle,ROV,,,,,,,,,,,order,,,,,,,
