rec,INCL,incl_note,paper,REF2/DATASET,basisOfRecord,named_spp,taxonConceptID,scientificName,NAME,COUNT,rec-single,spec_note,typeStatus,TO_DO,qual_level,qual,ABSENSE,taxonRank,tr_w_tcid,Phylum,Class,Order,Family,Genus,Species,AphiaID_accepted,Authority_accepted,size_cat,VESSEL,CRUISE,CONTRACT_AREA,CA_ED,CA_TEST,sub-area,inc_site_analysis,STATION,STN_ED,deployment,STN-DEPLOY,SITE_STRING_V1,fraction,habitat,nodule_pres,region,LAT-START,LONG-START,LAT-END,LONG-END,VERB-LAT-START,VERB-LONG-START,VERB_LAT-END2,VERB-LONG-END,max_depth/start_depth,min_depth/end_depth,depth_qual,DATE,date_to_ed,sampling_method,sampling_method_ED,sampling_dets,QUANTITATIVE,FULLY_PROCESSED,duration,AREA,collector,year,type_loc,sampleID,data_source,taxonRank,CCZ_endemic,identificationQualifier,inc_type_loc_map,note,site_NOTES,orig_row,external_row
122,,,Bonifacio&Menot_2019,,,yes,Abyssarya acus,Abyssarya acus,Abyssarya acus,1,no,,additional material,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Abyssarya,acus,1311123,"Bonifácio & Menot, 2018",macrofauna,,SO239,APEI-3,APEI-3,APEI-3,,,Sta. 212,Sta. 212,SO239_212-1,DEPLY,SO239_212-1,,,,CENTRAL,18.5472,-128.748,18.5428,-128.7488,18.5472,-128.748,18.5428,-128.7488,1853,-1714,,2015-04-24T15:43:00,2015-04-24T22:09:00,Remote operated vehicle,ROV,,,,,,,2015,,212-APE-0738,,species,,,,,,44,
165,,,Bonifacio&Menot_2019,,,yes,Bathyedithia retierei,Bathyedithia retierei,Bathyedithia retierei,1,yes,,holotype,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathyedithia,retierei,1311128,"Bonifácio & Menot, 2018",macrofauna,,SO239,IFR2,IFR2,IFR2,,,Sta. 158,Sta. 158,SO239_158-1,DEPLY,SO239_158-1,,,,CENTRAL,14.0628,-130.1108,14.0635,-130.108,14.0628,-130.1108,14.0635,-130.108,4969,-4978,,2015-04-15T06:19:00,2015-04-15T06:33:00,Epibenthic sledge,EBS,Supra,,fully processed EBS sample,,,,2015,YES,158-Ifr-0479,,species,,,,,,336,
147,,,Bonifacio&Menot_2019,,,yes,Bathyeliasona mariaae,Bathyeliasona mariaae,Bathyeliasona mariaae,1,yes,,additional material,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathyeliasona,mariaae,1311131,"Bonifácio & Menot, 2018",macrofauna,,SO239,GSR,GSR,GSR,,,Sta. 117,Sta. 117,SO239_117-1,DEPLY,SO239_117-1,,,,EAST,13.879,-123.2332,13.8797,-123.2305,13.879,-123.2332,13.8797,-123.2305,4512,-4514,,2015-04-07T21:22:00,2015-04-07T21:33:00,Epibenthic sledge,EBS,Supra,,fully processed EBS sample,,,,2015,,117-GSR-0575,,species,,,,,,220,
168,,,Bonifacio&Menot_2019,,,yes,Bathyeliasona mariaae,Bathyeliasona mariaae,Bathyeliasona mariaae,1,yes,,additional material,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathyeliasona,mariaae,1311131,"Bonifácio & Menot, 2018",macrofauna,,SO239,IFR2,IFR2,IFR2,,,Sta. 158,Sta. 158,SO239_158-1,DEPLY,SO239_158-1,,,,CENTRAL,14.0628,-130.1108,14.0635,-130.108,14.0628,-130.1108,14.0635,-130.108,4969,-4978,,2015-04-15T06:19:00,2015-04-15T06:33:00,Epibenthic sledge,EBS,Supra,,fully processed EBS sample,,,,2015,,158-Ifr-0498,,species,,,,,,342,
202,,,Bonifacio&Menot_2019,,,yes,Bathyeliasona mariaae,Bathyeliasona mariaae,Bathyeliasona mariaae,1,yes,,paratype,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathyeliasona,mariaae,1311131,"Bonifácio & Menot, 2018",macrofauna,,SO239,APEI-3,APEI-3,APEI-3,,,Sta. 197,Sta. 197,SO239_197-1,DEPLY,SO239_197-1,,,,CENTRAL,18.8172,-128.3577,18.818,-128.3547,18.8172,-128.3577,18.818,-128.3547,4812,-4822,,2015-04-22T04:52:00,2015-04-22T05:03:00,Epibenthic sledge,EBS,Epi,,fully processed EBS sample,,,,2015,,197-APE-0830,,species,,,,,,570,
126,,,Bonifacio&Menot_2019,,,yes,Bathyeliasona mariaae,Bathyeliasona mariaae,Bathyeliasona mariaae,1,yes,,holotype,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathyeliasona,mariaae,1311131,"Bonifácio & Menot, 2018",macrofauna,,SO239,BGR,BGR,BGR,,,Sta. 50,Sta. 50,SO239_50-1,DEPLY,SO239_50-1,,,,EAST,11.8312,-117.4915,11.8318,-117.4885,11.8312,-117.4915,11.8318,-117.4885,4327,-4327,,2015-03-27T01:10:00,2015-03-27T01:21:00,Epibenthic sledge,EBS,Supra,,NOT fully processed EBS sample,,,,2015,YES,050-BGR-0109,,species,,,,,,52,
146,,,Bonifacio&Menot_2019,,,yes,Bathyfauvelia glacigena,Bathyfauvelia glacigena,Bathyfauvelia glacigena,1,no,,holotype,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathyfauvelia,glacigena,1311133,"Bonifácio & Menot, 2018",macrofauna,,SO239,GSR,GSR,GSR,,,Sta. 117,Sta. 117,SO239_117-1,DEPLY,SO239_117-1,,,,EAST,13.879,-123.2332,13.8797,-123.2305,13.879,-123.2332,13.8797,-123.2305,4512,-4514,,2015-04-07T21:22:00,2015-04-07T21:33:00,Epibenthic sledge,EBS,Supra,,fully processed EBS sample,,,,2015,YES,117-GSR-0574,,species,,,,,,218,
148,,,Bonifacio&Menot_2019,,,yes,Bathyfauvelia glacigena,Bathyfauvelia glacigena,Bathyfauvelia glacigena,1,no,,,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathyfauvelia,glacigena,1311133,"Bonifácio & Menot, 2018",macrofauna,,SO239,GSR,GSR,GSR,,,Sta. 117,Sta. 117,SO239_117-1,DEPLY,SO239_117-1,,,,EAST,13.879,-123.2332,13.8797,-123.2305,13.879,-123.2332,13.8797,-123.2305,4512,-4514,,2015-04-07T21:22:00,2015-04-07T21:33:00,Epibenthic sledge,EBS,Supra,,fully processed EBS sample,,,,2015,,117-GSR-0576,,species,,,,,,222,
153,,,Bonifacio&Menot_2019,,,yes,Bathyfauvelia glacigena,Bathyfauvelia glacigena,Bathyfauvelia glacigena,1,no,,,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathyfauvelia,glacigena,1311133,"Bonifácio & Menot, 2018",macrofauna,,SO239,GSR,GSR,GSR,,,Sta. 117,Sta. 117,SO239_117-1,DEPLY,SO239_117-1,,,,EAST,13.879,-123.2332,13.8797,-123.2305,13.879,-123.2332,13.8797,-123.2305,4512,-4514,,2015-04-07T21:22:00,2015-04-07T21:33:00,Epibenthic sledge,EBS,Epi,,fully processed EBS sample,,,,2015,,117-GSR-0605,,species,,,,,,262,
154,,,Bonifacio&Menot_2019,,,yes,Bathyfauvelia glacigena,Bathyfauvelia glacigena,Bathyfauvelia glacigena,1,no,,,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathyfauvelia,glacigena,1311133,"Bonifácio & Menot, 2018",macrofauna,,SO239,GSR,GSR,GSR,,,Sta. 117,Sta. 117,SO239_117-1,DEPLY,SO239_117-1,,,,EAST,13.879,-123.2332,13.8797,-123.2305,13.879,-123.2332,13.8797,-123.2305,4512,-4514,,2015-04-07T21:22:00,2015-04-07T21:33:00,Epibenthic sledge,EBS,Epi,,fully processed EBS sample,,,,2015,,117-GSR-0606,,species,,,,,,264,
176,,,Bonifacio&Menot_2019,,,yes,Bathyfauvelia glacigena,Bathyfauvelia glacigena,Bathyfauvelia glacigena,1,yes,,,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathyfauvelia,glacigena,1311133,"Bonifácio & Menot, 2018",macrofauna,,SO239,IFR2,IFR2,IFR2,,,Sta. 158,Sta. 158,SO239_158-1,DEPLY,SO239_158-1,,,,CENTRAL,14.0628,-130.1108,14.0635,-130.108,14.0628,-130.1108,14.0635,-130.108,4969,-4978,,2015-04-15T06:19:00,2015-04-15T06:33:00,Epibenthic sledge,EBS,Epi,,fully processed EBS sample,,,,2015,,158-Ifr-0760,,species,,,,,,378,
133,,,Bonifacio&Menot_2019,,,yes,Bathyfauvelia glacigena,Bathyfauvelia glacigena,Bathyfauvelia glacigena,1,yes,,paratype,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathyfauvelia,glacigena,1311133,"Bonifácio & Menot, 2018",macrofauna,,SO239,IOM,IOM,IOM,,,Sta. 99,Sta. 99,SO239_99-1,DEPLY,SO239_99-1,,,,EAST,11.043,-119.661,11.0437,-119.6585,11.043,-119.661,11.0437,-119.6585,4406,-4398,,2015-04-04T07:45:00,2015-04-04T07:55:00,Epibenthic sledge,EBS,Supra,,fully processed EBS sample,,,,2015,,099-IOM-0303,,species,,,,,,128,
149,,,Bonifacio&Menot_2019,,,yes,Bathyfauvelia ignigena,Bathyfauvelia ignigena,Bathyfauvelia ignigena,1,yes,,paratype,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathyfauvelia,ignigena,1311134,"Bonifácio & Menot, 2018",macrofauna,,SO239,GSR,GSR,GSR,,,Sta. 117,Sta. 117,SO239_117-1,DEPLY,SO239_117-1,,,,EAST,13.879,-123.2332,13.8797,-123.2305,13.879,-123.2332,13.8797,-123.2305,4512,-4514,,2015-04-07T21:22:00,2015-04-07T21:33:00,Epibenthic sledge,EBS,Supra,,fully processed EBS sample,,,,2015,,117-GSR-0578,,species,,,,,,226,
195,,,Bonifacio&Menot_2019,,,yes,Bathyfauvelia ignigena,Bathyfauvelia ignigena,Bathyfauvelia ignigena,1,yes,,paratype,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathyfauvelia,ignigena,1311134,"Bonifácio & Menot, 2018",macrofauna,,SO239,APEI-3,APEI-3,APEI-3,,,Sta. 192,Sta. 192,SO239_192-1,DEPLY,SO239_192-1,,,,CENTRAL,18.7542,-128.3425,18.755,-128.3402,18.7542,-128.3425,18.755,-128.3402,4824,-4808,,2015-04-21T10:22:00,2015-04-21T10:34:00,Epibenthic sledge,EBS,Epi,,fully processed EBS sample,,,,2015,,192-APE-0781,,species,,,,,,442,
200,,,Bonifacio&Menot_2019,,,yes,Bathyfauvelia ignigena,Bathyfauvelia ignigena,Bathyfauvelia ignigena,1,no,,,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathyfauvelia,ignigena,1311134,"Bonifácio & Menot, 2018",macrofauna,,SO239,APEI-3,APEI-3,APEI-3,,,Sta. 197,Sta. 197,SO239_197-1,DEPLY,SO239_197-1,,,,CENTRAL,18.8172,-128.3577,18.818,-128.3547,18.8172,-128.3577,18.818,-128.3547,4812,-4822,,2015-04-22T04:52:00,2015-04-22T05:03:00,Epibenthic sledge,EBS,Epi,,fully processed EBS sample,,,,2015,,197-APE-0820,,species,,,,,,526,
201,,,Bonifacio&Menot_2019,,,yes,Bathyfauvelia ignigena,Bathyfauvelia ignigena,Bathyfauvelia ignigena,1,no,,,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathyfauvelia,ignigena,1311134,"Bonifácio & Menot, 2018",macrofauna,,SO239,APEI-3,APEI-3,APEI-3,,,Sta. 197,Sta. 197,SO239_197-1,DEPLY,SO239_197-1,,,,CENTRAL,18.8172,-128.3577,18.818,-128.3547,18.8172,-128.3577,18.818,-128.3547,4812,-4822,,2015-04-22T04:52:00,2015-04-22T05:03:00,Epibenthic sledge,EBS,Epi,,fully processed EBS sample,,,,2015,,197-APE-0871,,species,,,,,,548,
130,,,Bonifacio&Menot_2019,,,yes,Bathyfauvelia ignigena,Bathyfauvelia ignigena,Bathyfauvelia ignigena,1,yes,,holotype,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathyfauvelia,ignigena,1311134,"Bonifácio & Menot, 2018",macrofauna,,SO239,IOM,IOM,IOM,,,Sta. 81,Sta. 81,SO239_81-1,DEPLY,SO239_81-1,,,,EAST,11.0708,-119.6078,11.0715,-119.6048,11.0708,-119.6078,11.0715,-119.6048,4353,-4349,,2015-04-01T10:27:00,2015-04-01T10:39:00,Epibenthic sledge,EBS,Supra,,fully processed EBS sample,,,,2015,YES,081-IOM-0846,,species,,,,,,102,
181,,,Bonifacio&Menot_2019,,,yes,Bathymoorea lucasi,Bathymoorea lucasi,Bathymoorea lucasi,1,no,,holotype,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathymoorea,lucasi,1311119,"Bonifácio & Menot, 2018",macrofauna,,SO239,APEI-3,APEI-3,APEI-3,,,Sta. 189,Sta. 189,SO239_189-1,DEPLY,SO239_189-1,,,,CENTRAL,18.7967,-128.3088,18.8022,-128.3033,18.7967,-128.3088,18.8022,-128.3033,4933,-4964,,2015-04-20T17:45:00,2015-04-21T02:30:00,Remote operated vehicle,ROV,,,,,,,2015,YES,189-APE-0689,,species,,,,,,396,
183,,,Bonifacio&Menot_2019,,,yes,Bathymoorea lucasi,Bathymoorea lucasi,Bathymoorea lucasi,1,no,,paratype,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathymoorea,lucasi,1311119,"Bonifácio & Menot, 2018",macrofauna,,SO239,APEI-3,APEI-3,APEI-3,,,Sta. 189,Sta. 189,SO239_189-1,DEPLY,SO239_189-1,,,,CENTRAL,18.7967,-128.3088,18.8022,-128.3033,18.7967,-128.3088,18.8022,-128.3033,4933,-4964,,2015-04-20T17:45:00,2015-04-21T02:30:00,Remote operated vehicle,ROV,,,,,,,2015,,189-APE-0690,,species,,,,,,400,
184,,,Bonifacio&Menot_2019,,,yes,Bathymoorea lucasi,Bathymoorea lucasi,Bathymoorea lucasi,1,no,,paratype,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathymoorea,lucasi,1311119,"Bonifácio & Menot, 2018",macrofauna,,SO239,APEI-3,APEI-3,APEI-3,,,Sta. 189,Sta. 189,SO239_189-1,DEPLY,SO239_189-1,,,,CENTRAL,18.7967,-128.3088,18.8022,-128.3033,18.7967,-128.3088,18.8022,-128.3033,4933,-4964,,2015-04-20T17:45:00,2015-04-21T02:30:00,Remote operated vehicle,ROV,,,,,,,2015,,189-APE-0691,,species,,,,,,402,
185,,,Bonifacio&Menot_2019,,,yes,Bathymoorea lucasi,Bathymoorea lucasi,Bathymoorea lucasi,1,no,,paratype,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathymoorea,lucasi,1311119,"Bonifácio & Menot, 2018",macrofauna,,SO239,APEI-3,APEI-3,APEI-3,,,Sta. 189,Sta. 189,SO239_189-1,DEPLY,SO239_189-1,,,,CENTRAL,18.7967,-128.3088,18.8022,-128.3033,18.7967,-128.3088,18.8022,-128.3033,4933,-4964,,2015-04-20T17:45:00,2015-04-21T02:30:00,Remote operated vehicle,ROV,,,,,,,2015,,189-APE-0692,,species,,,,,,404,
186,,,Bonifacio&Menot_2019,,,yes,Bathymoorea lucasi,Bathymoorea lucasi,Bathymoorea lucasi,1,no,,paratype,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathymoorea,lucasi,1311119,"Bonifácio & Menot, 2018",macrofauna,,SO239,APEI-3,APEI-3,APEI-3,,,Sta. 189,Sta. 189,SO239_189-1,DEPLY,SO239_189-1,,,,CENTRAL,18.7967,-128.3088,18.8022,-128.3033,18.7967,-128.3088,18.8022,-128.3033,4933,-4964,,2015-04-20T17:45:00,2015-04-21T02:30:00,Remote operated vehicle,ROV,,,,,,,2015,,189-APE-0693,,species,,,,,,406,
187,,,Bonifacio&Menot_2019,,,yes,Bathymoorea lucasi,Bathymoorea lucasi,Bathymoorea lucasi,1,no,,,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathymoorea,lucasi,1311119,"Bonifácio & Menot, 2018",macrofauna,,SO239,APEI-3,APEI-3,APEI-3,,,Sta. 189,Sta. 189,SO239_189-1,DEPLY,SO239_189-1,,,,CENTRAL,18.7967,-128.3088,18.8022,-128.3033,18.7967,-128.3088,18.8022,-128.3033,4933,-4964,,2015-04-20T17:45:00,2015-04-21T02:30:00,Remote operated vehicle,ROV,,,,,,,2015,,189-APE-0694,,species,,,,,,408,
188,,,Bonifacio&Menot_2019,,,yes,Bathymoorea lucasi,Bathymoorea lucasi,Bathymoorea lucasi,1,no,,,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathymoorea,lucasi,1311119,"Bonifácio & Menot, 2018",macrofauna,,SO239,APEI-3,APEI-3,APEI-3,,,Sta. 189,Sta. 189,SO239_189-1,DEPLY,SO239_189-1,,,,CENTRAL,18.7967,-128.3088,18.8022,-128.3033,18.7967,-128.3088,18.8022,-128.3033,4933,-4964,,2015-04-20T17:45:00,2015-04-21T02:30:00,Remote operated vehicle,ROV,,,,,,,2015,,189-APE-0695,,species,,,,,,410,
189,,,Bonifacio&Menot_2019,,,yes,Bathymoorea lucasi,Bathymoorea lucasi,Bathymoorea lucasi,1,no,,,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathymoorea,lucasi,1311119,"Bonifácio & Menot, 2018",macrofauna,,SO239,APEI-3,APEI-3,APEI-3,,,Sta. 189,Sta. 189,SO239_189-1,DEPLY,SO239_189-1,,,,CENTRAL,18.7967,-128.3088,18.8022,-128.3033,18.7967,-128.3088,18.8022,-128.3033,4933,-4964,,2015-04-20T17:45:00,2015-04-21T02:30:00,Remote operated vehicle,ROV,,,,,,,2015,,189-APE-0696,,species,,,,,,412,
116,,,Bonifacio&Menot_2019,,,yes,Bathymoorea lucasi,Bathymoorea lucasi,Bathymoorea lucasi,1,yes,,,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bathymoorea,lucasi,1311119,"Bonifácio & Menot, 2018",macrofauna,,SO239,APEI-3,APEI-3,APEI-3,,,Sta. 200,Sta. 200,SO239_200-1,DEPLY,SO239_200-1,,,,CENTRAL,18.8203,-128.4258,18.8267,-128.4247,18.8203,-128.4258,18.8267,-128.4247,4698,-4696,,2015-04-22T16:54:00,2015-04-23T02:13:00,Remote operated vehicle,ROV,,,,,,,2015,,200-APE-0833,,species,,,,,,24,
178,,,Bonifacio&Menot_2019,,,yes,Bruunilla nealae,Bruunilla nealae,Bruunilla nealae,1,yes,,holotype,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Bruunilla,nealae,1311135,"Bonifácio & Menot, 2018",macrofauna,,SO239,IFR2,IFR2,IFR2,,,Sta. 171,Sta. 171,SO239_171-1,DEPLY,SO239_171-1,,,,CENTRAL,14.052,-130.0797,14.0533,-130.0768,14.052,-130.0797,14.0533,-130.0768,5025,-5015,,2015-04-17T09:22:00,2015-04-17T09:33:00,Epibenthic sledge,EBS,Supra,,fully processed EBS sample,,,,2015,YES,171-Ifr-0547,,species,,,,,,384,
197,,,Bonifacio&Menot_2019,,,yes,Hodor anduril,Hodor anduril,Hodor anduril,1,no,,holotype,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Hodor,anduril,1311293,"Bonifácio & Menot, 2018",macrofauna,,SO239,APEI-3,APEI-3,APEI-3,,,Sta. 192,Sta. 192,SO239_192-1,DEPLY,SO239_192-1,,,,CENTRAL,18.7542,-128.3425,18.755,-128.3402,18.7542,-128.3425,18.755,-128.3402,4824,-4808,,2015-04-21T10:22:00,2015-04-21T10:34:00,Epibenthic sledge,EBS,Epi,,fully processed EBS sample,,,,2015,YES,192-APE-0784,,species,,,,,,448,
198,,,Bonifacio&Menot_2019,,,yes,Hodor anduril,Hodor anduril,Hodor anduril,1,no,,paratype,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Hodor,anduril,1311293,"Bonifácio & Menot, 2018",macrofauna,,SO239,APEI-3,APEI-3,APEI-3,,,Sta. 192,Sta. 192,SO239_192-1,DEPLY,SO239_192-1,,,,CENTRAL,18.7542,-128.3425,18.755,-128.3402,18.7542,-128.3425,18.755,-128.3402,4824,-4808,,2015-04-21T10:22:00,2015-04-21T10:34:00,Epibenthic sledge,EBS,Epi,,fully processed EBS sample,,,,2015,,192-APE-0785,,species,,,,,,450,
196,,,Bonifacio&Menot_2019,,,yes,Hodor hodor,Hodor hodor,Hodor hodor,1,yes,,holotype,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Hodor,hodor,1311292,"Bonifácio & Menot, 2018",macrofauna,,SO239,APEI-3,APEI-3,APEI-3,,,Sta. 192,Sta. 192,SO239_192-1,DEPLY,SO239_192-1,,,,CENTRAL,18.7542,-128.3425,18.755,-128.3402,18.7542,-128.3425,18.755,-128.3402,4824,-4808,,2015-04-21T10:22:00,2015-04-21T10:34:00,Epibenthic sledge,EBS,Epi,,fully processed EBS sample,,,,2015,YES,192-APE-0783,,species,,,,,,446,
119,,,Bonifacio&Menot_2019,,,yes,Macellicephala clarionensis,Macellicephala clarionensis,Macellicephala clarionensis,1,no,,holotype,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Macellicephala,clarionensis,1311294,"Bonifácio & Menot, 2018",macrofauna,,SO239,APEI-3,APEI-3,APEI-3,,,Sta. 212,Sta. 212,SO239_212-1,DEPLY,SO239_212-1,,,,CENTRAL,18.5472,-128.748,18.5428,-128.7488,18.5472,-128.748,18.5428,-128.7488,1853,-1714,,2015-04-24T15:43:00,2015-04-24T22:09:00,Remote operated vehicle,ROV,,,,,,,2015,YES,212-APE-0735,,species,,,,,,38,
123,,,Bonifacio&Menot_2019,,,yes,Macellicephala clarionensis,Macellicephala clarionensis,Macellicephala clarionensis,1,no,,paratype,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Macellicephala,clarionensis,1311294,"Bonifácio & Menot, 2018",macrofauna,,SO239,APEI-3,APEI-3,APEI-3,,,Sta. 212,Sta. 212,SO239_212-1,DEPLY,SO239_212-1,,,,CENTRAL,18.5472,-128.748,18.5428,-128.7488,18.5472,-128.748,18.5428,-128.7488,1853,-1714,,2015-04-24T15:43:00,2015-04-24T22:09:00,Remote operated vehicle,ROV,,,,,,,2015,,212-APE-0739,,species,,,,,,46,
124,,,Bonifacio&Menot_2019,,,yes,Macellicephala clarionensis,Macellicephala clarionensis,Macellicephala clarionensis,1,no,,paratype,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Macellicephala,clarionensis,1311294,"Bonifácio & Menot, 2018",macrofauna,,SO239,APEI-3,APEI-3,APEI-3,,,Sta. 212,Sta. 212,SO239_212-1,DEPLY,SO239_212-1,,,,CENTRAL,18.5472,-128.748,18.5428,-128.7488,18.5472,-128.748,18.5428,-128.7488,1853,-1714,,2015-04-24T15:43:00,2015-04-24T22:09:00,Remote operated vehicle,ROV,,,,,,,2015,,212-APE-0740,,species,,,,,,48,
125,,,Bonifacio&Menot_2019,,,yes,Macellicephala clarionensis,Macellicephala clarionensis,Macellicephala clarionensis,1,no,,additional material,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Macellicephala,clarionensis,1311294,"Bonifácio & Menot, 2018",macrofauna,,SO239,APEI-3,APEI-3,APEI-3,,,Sta. 212,Sta. 212,SO239_212-1,DEPLY,SO239_212-1,,,,CENTRAL,18.5472,-128.748,18.5428,-128.7488,18.5472,-128.748,18.5428,-128.7488,1853,-1714,,2015-04-24T15:43:00,2015-04-24T22:09:00,Remote operated vehicle,ROV,,,,,,,2015,,212-APE-0741,,species,,,,,,50,
158,,,Bonifacio&Menot_2019,,,yes,Macellicephala parvafauces,Macellicephala parvafauces,Macellicephala parvafauces,1,yes,,paratype,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Macellicephala,parvafauces,1311295,"Bonifácio & Menot, 2018",macrofauna,,SO239,GSR,GSR,GSR,,,Sta. 131,Sta. 131,SO239_131-1,DEPLY,SO239_131-1,,,,EAST,13.8732,-123.2505,13.874,-123.248,13.8732,-123.2505,13.874,-123.248,4508,,,2015-04-09T17:47:00,2015-04-10T02:12:00,Remote operated vehicle,ROV,,,,,,,2015,,131-GSR-0399,,species,,,,,,276,
182,,,Bonifacio&Menot_2019,,,yes,Macellicephala parvafauces,Macellicephala parvafauces,Macellicephala parvafauces,1,yes,,holotype,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Macellicephala,parvafauces,1311295,"Bonifácio & Menot, 2018",macrofauna,,SO239,APEI-3,APEI-3,APEI-3,,,Sta. 189,Sta. 189,SO239_189-1,DEPLY,SO239_189-1,,,,CENTRAL,18.7967,-128.3088,18.8022,-128.3033,18.7967,-128.3088,18.8022,-128.3033,4933,-4964,,2015-04-20T17:45:00,2015-04-21T02:30:00,Remote operated vehicle,ROV,,,,,,,2015,YES,189-APE-0698,,species,,,,,,398,
139,,,Bonifacio&Menot_2019,,,yes,Macellicephaloides moustachu,Macellicephaloides moustachu,Macellicephaloides moustachu,1,no,,,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Macellicephaloides,moustachu,1311296,"Bonifácio & Menot, 2018",macrofauna,,SO239,GSR,GSR,GSR,,,Sta. 117,Sta. 117,SO239_117-1,DEPLY,SO239_117-1,,,,EAST,13.879,-123.2332,13.8797,-123.2305,13.879,-123.2332,13.8797,-123.2305,4512,-4514,,2015-04-07T21:22:00,2015-04-07T21:33:00,Epibenthic sledge,EBS,Supra,,fully processed EBS sample,,,,2015,,117-GSR-0354,,species,,,,,,176,
140,,,Bonifacio&Menot_2019,,,yes,Macellicephaloides moustachu,Macellicephaloides moustachu,Macellicephaloides moustachu,1,no,,,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Macellicephaloides,moustachu,1311296,"Bonifácio & Menot, 2018",macrofauna,,SO239,GSR,GSR,GSR,,,Sta. 117,Sta. 117,SO239_117-1,DEPLY,SO239_117-1,,,,EAST,13.879,-123.2332,13.8797,-123.2305,13.879,-123.2332,13.8797,-123.2305,4512,-4514,,2015-04-07T21:22:00,2015-04-07T21:33:00,Epibenthic sledge,EBS,Supra,,fully processed EBS sample,,,,2015,,117-GSR-0568,,species,,,,,,206,
141,,,Bonifacio&Menot_2019,,,yes,Macellicephaloides moustachu,Macellicephaloides moustachu,Macellicephaloides moustachu,1,no,,,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Macellicephaloides,moustachu,1311296,"Bonifácio & Menot, 2018",macrofauna,,SO239,GSR,GSR,GSR,,,Sta. 117,Sta. 117,SO239_117-1,DEPLY,SO239_117-1,,,,EAST,13.879,-123.2332,13.8797,-123.2305,13.879,-123.2332,13.8797,-123.2305,4512,-4514,,2015-04-07T21:22:00,2015-04-07T21:33:00,Epibenthic sledge,EBS,Supra,,fully processed EBS sample,,,,2015,,117-GSR-0569,,species,,,,,,208,
142,,,Bonifacio&Menot_2019,,,yes,Macellicephaloides moustachu,Macellicephaloides moustachu,Macellicephaloides moustachu,1,no,,,,,,,species,species,Annelida,Polychaeta,Phyllodocida,Polynoidae,Macellicephaloides,moustachu,1311296,"Bonifácio & Menot, 2018",macrofauna,,SO239,GSR,GSR,GSR,,,Sta. 117,Sta. 117,SO239_117-1,DEPLY,SO239_117-1,,,,EAST,13.879,-123.2332,13.8797,-123.2305,13.879,-123.2332,13.8797,-123.2305,4512,-4514,,2015-04-07T21:22:00,2015-04-07T21:33:00,Epibenthic sledge,EBS,Supra,,fully processed EBS sample,,,,2015,,117-GSR-0570,,species,,,,,,210,
