Site,Abundance,Species
east,2,AB_ Glyceridae sp 1
east,1,AB_ Glyceridae sp 1
east,1,AB_ Glyceridae sp 2
east,1,AB_ Glyceridae sp 3
east,3,AB_ Goniadidae sp 1
east,3,AB_ Goniadidae sp 1
east,3,AB_ Goniadidae sp 1
east,3,AB_ Goniadidae sp 1
east,2,AB_ Goniadidae sp 1
east,1,AB_ Goniadidae sp 1
east,1,AB_ Goniadidae sp 1
east,1,AB_ Goniadidae sp 2
east,1,AB_ Isopoda Type 1
east,1,AB_ Isopoda Type 1
east,1,AB_ Isopoda Type 11
east,1,AB_ Isopoda Type 12
east,1,AB_ Isopoda Type 13
east,1,AB_ Isopoda Type 14
east,1,AB_ Isopoda Type 15
east,1,AB_ Isopoda Type 16
east,1,AB_ Isopoda Type 18
east,1,AB_ Isopoda Type 19
east,1,AB_ Isopoda Type 19
east,1,AB_ Isopoda Type 2
east,1,AB_ Isopoda Type 2
east,1,AB_ Isopoda Type 20
east,1,AB_ Isopoda Type 21
east,1,AB_ Isopoda Type 22
east,1,AB_ Isopoda Type 22
east,1,AB_ Isopoda Type 23
east,1,AB_ Isopoda Type 23
east,1,AB_ Isopoda Type 24
east,1,AB_ Isopoda Type 24
east,1,AB_ Isopoda Type 25
east,1,AB_ Isopoda Type 26
east,1,AB_ Isopoda Type 27
east,1,AB_ Isopoda Type 28
east,1,AB_ Isopoda Type 29
east,1,AB_ Isopoda Type 3
east,1,AB_ Isopoda Type 3
east,2,AB_ Isopoda Type 30
east,1,AB_ Isopoda Type 32
east,1,AB_ Isopoda Type 32
east,1,AB_ Isopoda Type 33
east,1,AB_ Isopoda Type 34
east,1,AB_ Isopoda Type 35
east,1,AB_ Isopoda Type 36
east,1,AB_ Isopoda Type 36
east,1,AB_ Isopoda Type 37
east,1,AB_ Isopoda Type 38
east,1,AB_ Isopoda Type 39
east,1,AB_ Isopoda Type 39
east,1,AB_ Isopoda Type 39
east,1,AB_ Isopoda Type 39
east,1,AB_ Isopoda Type 4
east,1,AB_ Isopoda Type 4
east,1,AB_ Isopoda Type 40
east,1,AB_ Isopoda Type 41
east,1,AB_ Isopoda Type 42
east,1,AB_ Isopoda Type 43
east,1,AB_ Isopoda Type 44
east,1,AB_ Isopoda Type 5
east,1,AB_ Isopoda Type 5
east,1,AB_ Isopoda Type 5
east,1,AB_ Isopoda Type 5
east,1,AB_ Isopoda Type 5
east,1,AB_ Isopoda Type 6
east,1,AB_ Isopoda Type 6
east,4,AB_ Isopoda Type 7
east,2,AB_ Isopoda Type 8
east,2,AB_ Isopoda Type 9
east,1,AB_ Isopoda Type 9
east,1,AB_ Isopoda Type 9
east,1,AB_ Isopoda Type 9
east,2,AB_ Lopadorhynchidae sp 1
east,1,AB_ Lopadorhynchidae sp 1
east,1,AB_ Lopadorhynchidae sp 1
east,1,AB_ Lopadorrhynchidae sp 1
east,5,AB_ Lumbrineridae sp 1
east,5,AB_ Lumbrineridae sp 1
east,4,AB_ Lumbrineridae sp 1
east,3,AB_ Lumbrineridae sp 1
east,2,AB_ Lumbrineridae sp 1
east,2,AB_ Lumbrineridae sp 1
east,2,AB_ Lumbrineridae sp 1
east,2,AB_ Lumbrineridae sp 1
east,2,AB_ Lumbrineridae sp 1
east,2,AB_ Lumbrineridae sp 2
east,1,AB_ Lumbrineridae sp 2
east,1,AB_ Lumbrineridae sp 3
east,6,AB_ Lumbrineridae sp1
east,1,AB_ Maldanidae sp 1
east,1,AB_ Maldanidae sp 1
east,1,AB_ Maldanidae sp 2
east,1,AB_ Maldanidae sp 3
east,1,AB_ Maldanidae sp 4
east,2,AB_ Nephtyidae sp 1
east,1,AB_ Nereididae sp 1
east,2,AB_ Nereididae sp 2
east,1,AB_ Nereididae sp 2
east,1,AB_ Nereididae sp 2
east,1,AB_ Nereididae sp 3
east,5,AB_ Nereididae sp 4
east,3,AB_ Nereididae sp 4
east,2,AB_ Nereididae sp 4
east,2,AB_ Nereididae sp 4
east,1,AB_ Nereididae sp 4
east,1,AB_ Nereididae sp 4
east,1,AB_ Nereididae sp 4
east,1,AB_ Oligochaeta sp 1
east,1,AB_ Oligochaeta sp 2
east,1,AB_ Oligochaeta sp 2
east,1,AB_ Oligochaeta sp 2
east,1,AB_ Onuphidae sp 1
east,1,AB_ Onuphidae sp 1
east,2,AB_ Opheliidae sp 1
east,1,AB_ Opheliidae sp 1
east,1,AB_ Opheliidae sp 1
east,1,AB_ Opheliidae sp 2
east,1,AB_ Opheliidae sp 3
east,2,AB_ Opheliidae sp 4
east,1,AB_ Opheliidae sp 4
east,2,AB_ Ophuroidea sp 1
east,1,AB_ Ophuroidea sp 3
east,1,AB_ Ophuroidea sp 4
east,1,AB_ Ophuroidea sp 5
east,1,AB_ Ophuroidea sp 5
east,5,AB_ Orbiniidae sp 1
east,1,AB_ Orbiniidae sp 1
east,1,AB_ Orbiniidae sp 1
east,2,AB_ Orbiniidae sp 2
east,1,AB_ Orbiniidae sp 3
east,1,AB_ Orbiniidae sp 4
east,1,AB_ Orbiniidae sp 5
east,1,AB_ Orbiniidae sp 6
east,1,AB_ Oweniidae sp 1
east,1,AB_ Oweniidae sp 2
east,1,AB_ Oweniidae sp 2
east,1,AB_ Oweniidae sp 2
east,6,AB_ Paralacydoniidae sp 1
east,5,AB_ Paralacydoniidae sp 1
east,4,AB_ Paralacydoniidae sp 1
east,3,AB_ Paralacydoniidae sp 1
east,3,AB_ Paralacydoniidae sp 1
east,2,AB_ Paralacydoniidae sp 1
east,2,AB_ Paralacydoniidae sp 1
east,1,AB_ Paralacydoniidae sp 1
east,1,AB_ Paralacydoniidae sp 1
east,1,AB_ Paralacydoniidae sp 1
east,1,AB_ Paraonidae sp 1
east,1,AB_ Paraonidae sp 1
east,3,AB_ Paraonidae sp 2
east,3,AB_ Paraonidae sp 2
east,2,AB_ Paraonidae sp 2
east,1,AB_ Paraonidae sp 2
east,1,AB_ Paraonidae sp 2
east,1,AB_ Paraonidae sp 2
east,1,AB_ Paraonidae sp 2
east,1,AB_ Paraonidae sp 2
east,1,AB_ Paraonidae sp 2
east,2,AB_ Paraonidae sp 3
east,1,AB_ Paraonidae sp 3
east,1,AB_ Paraonidae sp 3
east,1,AB_ Paraonidae sp 3
east,1,AB_ Paraonidae sp 3
east,1,AB_ Paraonidae sp 3
east,2,AB_ Paraonidae sp 4
east,1,AB_ Paraonidae sp 4
east,1,AB_ Paraonidae sp 4
east,1,AB_ Paraonidae sp 4
east,1,AB_ Paraonidae sp 5
east,1,AB_ Paraonidae sp 6
east,1,AB_ Paraonidae sp 6
east,1,AB_ Paraonidae sp 7
east,1,AB_ Paraonidae sp 7
east,1,AB_ Paraonidae sp 8
east,1,AB_ Paraonidae sp 8
east,1,AB_ Paraonidae sp 8
east,1,AB_ Paraonidae sp 9
east,1,AB_ Paraonidae sp 9
east,2,AB_ Pholoidae sp 1
east,1,AB_ Pholoidae sp 1
east,1,AB_ Pholoidae sp 1
east,1,AB_ Pholoidae sp 1
east,1,AB_ Pholoidae sp 1
east,1,AB_ Phyllodocidae sp 1
east,1,AB_ Phyllodocidae sp 1
east,1,AB_ Phyllodocidae sp 1
east,1,AB_ Phyllodocidae sp 1
east,1,AB_ Phyllodocidae sp 2
east,1,AB_ Phyllodocidae sp 2
east,1,AB_ Phyllodocidae sp 3
east,2,AB_ Phyllodocidae sp 4
east,1,AB_ Phyllodocidae sp 4
east,1,AB_ Phyllodocidae sp 4
east,1,AB_ Phyllodocidae sp 4
east,1,AB_ Phyllodocidae sp 5
east,1,AB_ Pilargidae sp 1
east,1,AB_ Pilargidae sp 1
east,1,AB_ Pilargidae sp 1
east,1,AB_ Pilargidae sp 1
east,1,AB_ Pilargidae sp 1
east,1,AB_ Pilargidae sp 1
east,1,AB_ Poecilochaetidae sp 1
east,1,AB_ Poecilochaetidae sp 1
east,1,AB_ Poecilochaetidae sp 1
east,1,AB_ Polynoidae sp 1
east,2,AB_ Sabellidae sp 1
east,2,AB_ Sabellidae sp 1
east,1,AB_ Sabellidae sp 1
east,1,AB_ Sabellidae sp 2
east,1,AB_ Sabellidae sp 2
east,1,AB_ Sabellidae sp 2
east,1,AB_ Sabellidae sp 2
east,1,AB_ Sabellidae sp 2
east,2,AB_ Sabellidae sp 3
east,1,AB_ Sabellidae sp 3
east,1,AB_ Sabellidae sp 3
east,1,AB_ Sabellidae sp 3
east,1,AB_ Sabellidae sp 4
east,1,AB_ Sabellidae sp 5
east,1,AB_ Sabellidae sp 5
east,1,AB_ Sabellidae sp 5
east,1,AB_ Sabellidae sp 5
east,1,AB_ Sabellidae sp 5
east,1,AB_ Sabellidae sp 6
east,1,AB_ Sabellidae sp 6
east,1,AB_ Sabellidae sp 6
east,1,AB_ Sabellidae sp 7
east,4,AB_ Scalibregmatidae sp 1
east,3,AB_ Scalibregmatidae sp 1
east,2,AB_ Scalibregmatidae sp 1
east,1,AB_ Scalibregmatidae sp 1
east,1,AB_ Scalibregmatidae sp 1
east,1,AB_ Scalibregmatidae sp 1
east,1,AB_ Scalibregmatidae sp 2
east,1,AB_ Scalibregmatidae sp 3
east,1,AB_ Scalibregmatidae sp 3
east,3,AB_ Serpulidae sp 1
east,1,AB_ Serpulidae sp 2
east,1,AB_ Serpulidae sp 3
east,1,AB_ Serpulidae sp 4
east,1,AB_ Serpulidae sp 5
east,2,AB_ Sigalionidae sp 1
east,2,AB_ Sigalionidae sp 1
east,1,AB_ Sigalionidae sp 1
east,1,AB_ Sigalionidae sp 1
east,1,AB_ Sigalionidae sp 1
east,2,AB_ Sigalionidae sp 2
east,1,AB_ Sphaerodoridae sp 1
east,1,AB_ Sphaerodoridae sp 2
east,1,AB_ Spionidae sp 1
east,1,AB_ Spionidae sp 1
east,1,AB_ Spionidae sp 1
east,1,AB_ Spionidae sp 1
east,2,AB_ Spionidae sp 2
east,2,AB_ Spionidae sp 2
east,2,AB_ Spionidae sp 2
east,1,AB_ Spionidae sp 2
east,1,AB_ Spionidae sp 2
east,1,AB_ Spionidae sp 2
east,2,AB_ Spionidae sp 3
east,2,AB_ Spionidae sp 3
east,1,AB_ Spionidae sp 3
east,1,AB_ Spionidae sp 3
east,1,AB_ Spionidae sp 3
east,1,AB_ Spionidae sp 5
east,1,AB_ Spionidae sp 6
east,4,AB_ Spionidae sp 7
east,2,AB_ Spionidae sp 7
east,2,AB_ Spionidae sp 7
east,2,AB_ Spionidae sp 7
east,2,AB_ Spionidae sp 7
east,2,AB_ Spionidae sp 7
east,2,AB_ Spionidae sp 7
east,1,AB_ Spionidae sp 7
east,1,AB_ Spionidae sp 7
east,1,AB_ Spionidae sp 7
east,1,AB_ Spionidae sp 7
east,1,AB_ Spionidae sp 8
east,6,AB_ Syllidae sp 1
east,2,AB_ Syllidae sp 1
east,1,AB_ Syllidae sp 1
east,1,AB_ Syllidae sp 1
east,1,AB_ Syllidae sp 2
east,4,AB_ Syllidae sp 3
east,3,AB_ Syllidae sp 3
east,1,AB_ Syllidae sp 3
east,1,AB_ Syllidae sp 3
east,1,AB_ Syllidae sp 3
east,1,AB_ Syllidae sp 4
east,1,AB_ Syllidae sp 4
east,1,AB_ Syllidae sp 5
east,1,AB_ Syllidae sp 5
east,1,AB_ Syllidae sp 6
east,2,AB_ Tanaidacea sp 1
east,1,AB_ Tanaidacea sp 1
east,1,AB_ Tanaidacea sp 1
east,1,AB_ Tanaidacea sp 1
east,1,AB_ Tanaidacea sp 10
east,2,AB_ Tanaidacea sp 11
east,1,AB_ Tanaidacea sp 11
east,1,AB_ Tanaidacea sp 11
east,2,AB_ Tanaidacea sp 12
east,1,AB_ Tanaidacea sp 12
east,2,AB_ Tanaidacea sp 13
east,2,AB_ Tanaidacea sp 13
east,1,AB_ Tanaidacea sp 13
east,6,AB_ Tanaidacea sp 14
east,4,AB_ Tanaidacea sp 14
east,2,AB_ Tanaidacea sp 14
east,2,AB_ Tanaidacea sp 14
east,2,AB_ Tanaidacea sp 14
east,1,AB_ Tanaidacea sp 14
east,4,AB_ Tanaidacea sp 15
east,3,AB_ Tanaidacea sp 15
east,3,AB_ Tanaidacea sp 15
east,3,AB_ Tanaidacea sp 15
east,1,AB_ Tanaidacea sp 15
east,4,AB_ Tanaidacea sp 16
east,2,AB_ Tanaidacea sp 16
east,1,AB_ Tanaidacea sp 16
east,1,AB_ Tanaidacea sp 16
east,1,AB_ Tanaidacea sp 17
east,1,AB_ Tanaidacea sp 17
east,1,AB_ Tanaidacea sp 17
east,1,AB_ Tanaidacea sp 17
east,1,AB_ Tanaidacea sp 18
east,1,AB_ Tanaidacea sp 18
east,1,AB_ Tanaidacea sp 18
east,1,AB_ Tanaidacea sp 19
east,2,AB_ Tanaidacea sp 2
east,2,AB_ Tanaidacea sp 2
east,2,AB_ Tanaidacea sp 2
east,1,AB_ Tanaidacea sp 2
east,1,AB_ Tanaidacea sp 2
east,1,AB_ Tanaidacea sp 2
east,1,AB_ Tanaidacea sp 2
east,1,AB_ Tanaidacea sp 2
east,1,AB_ Tanaidacea sp 20
east,1,AB_ Tanaidacea sp 20
east,1,AB_ Tanaidacea sp 21
east,1,AB_ Tanaidacea sp 21
east,1,AB_ Tanaidacea sp 21
east,1,AB_ Tanaidacea sp 21
east,1,AB_ Tanaidacea sp 21
east,2,AB_ Tanaidacea sp 22
east,2,AB_ Tanaidacea sp 22
east,1,AB_ Tanaidacea sp 22
east,1,AB_ Tanaidacea sp 22
east,1,AB_ Tanaidacea sp 23
east,1,AB_ Tanaidacea sp 23
east,1,AB_ Tanaidacea sp 23
east,1,AB_ Tanaidacea sp 24
east,1,AB_ Tanaidacea sp 25
east,1,AB_ Tanaidacea sp 25
east,1,AB_ Tanaidacea sp 27
east,1,AB_ Tanaidacea sp 27
east,1,AB_ Tanaidacea sp 28
east,1,AB_ Tanaidacea sp 28
east,1,AB_ Tanaidacea sp 29
east,2,AB_ Tanaidacea sp 3
east,2,AB_ Tanaidacea sp 3
east,1,AB_ Tanaidacea sp 30
east,1,AB_ Tanaidacea sp 31
east,1,AB_ Tanaidacea sp 31
east,1,AB_ Tanaidacea sp 32
east,1,AB_ Tanaidacea sp 33
east,1,AB_ Tanaidacea sp 33
east,1,AB_ Tanaidacea sp 34
east,1,AB_ Tanaidacea sp 36
east,1,AB_ Tanaidacea sp 38
east,5,AB_ Tanaidacea sp 3a
east,1,AB_ Tanaidacea sp 4
east,1,AB_ Tanaidacea sp 4
east,2,AB_ Tanaidacea sp 5
east,1,AB_ Tanaidacea sp 5
east,1,AB_ Tanaidacea sp 5
east,19,AB_ Tanaidacea sp 6
east,11,AB_ Tanaidacea sp 6
east,6,AB_ Tanaidacea sp 6
east,5,AB_ Tanaidacea sp 6
east,5,AB_ Tanaidacea sp 6
east,1,AB_ Tanaidacea sp 6
east,1,AB_ Tanaidacea sp 6
east,2,AB_ Tanaidacea sp 7
east,1,AB_ Tanaidacea sp 7
east,2,AB_ Tanaidacea sp 8
east,2,AB_ Tanaidacea sp 8
east,1,AB_ Tanaidacea sp 8
east,1,AB_ Tanaidacea sp 9
east,1,AB_ Tanaidacea sp 9
east,1,AB_ Tanaidacea sp 9
east,1,AB_ Tanaidacea sp 9
east,1,AB_ Trichobranchidae sp 1
east,1,AB_ Trichobranchidae sp 2
east,1,AB_ Trichobranchidae sp 3
east,1,AB_ Trichobranchidae sp 4
east,1,AB_ Trichobranchidae sp 5
east,1,AB_ Trichobranchidae sp 5
east,2,AB_ Trochochaetidae sp 1
east,1,AB_Hesionidae sp 1
east,1,AB_Hesionidae sp 2
east,1,Abylopsis eschscholtzi
central,1,Abyssarya acus
central,1,Abyssarya acus
central,1,Abyssarya acus
central,1,Abyssarya acus
central,1,Abyssoecia elevata
central,1,Abyssoecia elevata
central,1,Abyssoecia elevata
central,1,Abyssoecia elevata
central,1,Abyssoecia elevata
central,1,Abyssoecia elevata
central,1,Abyssoecia elevata
central,2,Abyssoecia elevata
central,1,Abyssoecia elevata
central,1,Abyssoecia elevata
central,1,Abyssopathes anomala
central,1,Abyssopathes anomala
west,1,Abyssopathes anomala
west,1,Abyssopathes anomala
east,8,Abyssopathes cf. lyra
east,6,Abyssopathes cf. lyra
west,,Abyssopathes cf. lyra 
east,,Abyssopathes cf. lyra 
east,,Abyssopathes cf. lyra 
east,,Abyssopathes cf. lyra 
east,,Abyssopathes cf. lyra 
east,,Abyssopathes cf. lyra 
east,,Abyssopathes cf. lyra 
