Phylum,Class,Order,Family,Genus,Species,scientificName,taxonConceptID,habitat_interim,size_cat
Annelida,Polychaeta,Eunicida,Lumbrineridae,,,Lumbrineridae,AB_ Lumbrineridae sp 1,sediment,macrofauna
Annelida,Polychaeta,Eunicida,Lumbrineridae,,,Lumbrineridae,AB_ Lumbrineridae sp 2,sediment,macrofauna
Annelida,Polychaeta,Eunicida,Lumbrineridae,,,Lumbrineridae,AB_ Lumbrineridae sp 3,sediment,macrofauna
Annelida,Polychaeta,Eunicida,Lumbrineridae,,,Lumbrineridae,AB_ Lumbrineridae sp1,sediment,macrofauna
Annelida,Polychaeta,,Maldanidae,,,Maldanidae,AB_ Maldanidae sp 1,nodule,macrofauna
Annelida,Polychaeta,,Maldanidae,,,Maldanidae,AB_ Maldanidae sp 2,nodule,macrofauna
Annelida,Polychaeta,,Maldanidae,,,Maldanidae,AB_ Maldanidae sp 3,nodule,macrofauna
Annelida,Polychaeta,,Maldanidae,,,Maldanidae,AB_ Maldanidae sp 4,nodule,macrofauna
Annelida,Polychaeta,Phyllodocida,Nephtyidae,,,Nephtyidae,AB_ Nephtyidae sp 1,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Nereididae,,,Nereididae,AB_ Nereididae sp 1,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Nereididae,,,Nereididae,AB_ Nereididae sp 2,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Nereididae,,,Nereididae,AB_ Nereididae sp 3,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Nereididae,,,Nereididae,AB_ Nereididae sp 4,sediment,macrofauna
Annelida,Polychaeta,Eunicida,Onuphidae,,,Onuphidae,AB_ Onuphidae sp 1,sediment,macrofauna
Annelida,Polychaeta,,Opheliidae,,,Opheliidae,AB_ Opheliidae sp 1,sediment,macrofauna
Annelida,Polychaeta,,Opheliidae,,,Opheliidae,AB_ Opheliidae sp 2,sediment,macrofauna
Annelida,Polychaeta,,Opheliidae,,,Opheliidae,AB_ Opheliidae sp 3,sediment,macrofauna
Annelida,Polychaeta,,Opheliidae,,,Opheliidae,AB_ Opheliidae sp 4,sediment,macrofauna
Annelida,Polychaeta,,Orbiniidae,,,Orbiniidae,AB_ Orbiniidae sp 1,sediment,macrofauna
Annelida,Polychaeta,,Orbiniidae,,,Orbiniidae,AB_ Orbiniidae sp 2,sediment,macrofauna
Annelida,Polychaeta,,Orbiniidae,,,Orbiniidae,AB_ Orbiniidae sp 3,sediment,macrofauna
Annelida,Polychaeta,,Orbiniidae,,,Orbiniidae,AB_ Orbiniidae sp 4,sediment,macrofauna
Annelida,Polychaeta,,Orbiniidae,,,Orbiniidae,AB_ Orbiniidae sp 5,sediment,macrofauna
Annelida,Polychaeta,,Orbiniidae,,,Orbiniidae,AB_ Orbiniidae sp 6,sediment,macrofauna
Annelida,Polychaeta,,Oweniidae,,,Oweniidae,AB_ Oweniidae sp 1,sediment,macrofauna
Annelida,Polychaeta,,Oweniidae,,,Oweniidae,AB_ Oweniidae sp 2,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Paralacydoniidae,,,Paralacydoniidae,AB_ Paralacydoniidae sp 1,sediment,macrofauna
Annelida,Polychaeta,,Paraonidae,,,Paraonidae,AB_ Paraonidae sp 1,sediment,macrofauna
Annelida,Polychaeta,,Paraonidae,,,Paraonidae,AB_ Paraonidae sp 2,sediment,macrofauna
Annelida,Polychaeta,,Paraonidae,,,Paraonidae,AB_ Paraonidae sp 3,sediment,macrofauna
Annelida,Polychaeta,,Paraonidae,,,Paraonidae,AB_ Paraonidae sp 4,sediment,macrofauna
Annelida,Polychaeta,,Paraonidae,,,Paraonidae,AB_ Paraonidae sp 5,sediment,macrofauna
Annelida,Polychaeta,,Paraonidae,,,Paraonidae,AB_ Paraonidae sp 6,sediment,macrofauna
Annelida,Polychaeta,,Paraonidae,,,Paraonidae,AB_ Paraonidae sp 7,sediment,macrofauna
Annelida,Polychaeta,,Paraonidae,,,Paraonidae,AB_ Paraonidae sp 8,sediment,macrofauna
