"","Species","Individuals"
"N4361",784.407193358027,4361
"N4381",786.814406020712,4381
"N4401",789.216969191761,4401
"N4421",791.614908659944,4421
"N4441",794.00825004811,4441
"N4461",796.397018715757,4461
"N4481",798.781239732255,4481
"N4501",801.1609379677,4501
"N4521",803.536138025675,4521
"N4541",805.906864293459,4541
"N4561",808.273140919224,4561
"N4581",810.634991836254,4581
"N4601",812.992440719963,4601
"N4621",815.345511040787,4621
"N4641",817.694226073628,4641
"N4661",820.03860883407,4661
"N4681",822.378682150159,4681
"N4701",824.71446862165,4701
"N4721",827.045990672562,4721
"N4741",829.373270466169,4741
"N4761",831.696330003665,4761
"N4781",834.015191112478,4781
"N4801",836.329875322027,4801
"N4821",838.640404086951,4821
"N4841",840.946798589358,4841
"N4861",843.249079834906,4861
"N4881",845.547268659514,4881
"N4901",847.841385722676,4901
"N4921",850.131451454988,4921
"N4941",852.41748614525,4941
"N4961",854.699509890135,4961
"N4981",856.977542627693,4981
"N5001",859.251604079128,5001
"N5021",861.521713832864,5021
"N5041",863.787891308703,5041
"N5061",866.050155741085,5061
"N5081",868.308526166845,5081
"N5101",870.563021535491,5101
"N5121",872.813660587976,5121
"N5141",875.060461888467,5141
"N5161",877.30344389266,5161
"N5181",879.542624858352,5181
"N5201",881.778022915267,5201
"N5221",884.009656026508,5221
"N5241",886.237542014554,5241
"N5261",888.461698529549,5261
"N5281",890.68214310167,5281
"N5301",892.898893111088,5301
"N5321",895.111965797789,5321
"N5341",897.321378237718,5341
"N5361",899.527147389256,5361
"N5381",901.729290060946,5381
"N5401",903.927822923092,5401
"N5421",906.122762538792,5421
"N5441",908.314125289038,5441
"N5461",910.501927460364,5461
"N5481",912.686185189169,5481
"N5501",914.866914502419,5501
"N5521",917.04413127762,5521
"N5541",919.217851263001,5541
"N5561",921.388090107038,5561
"N5581",923.554863337687,5581
"N5601",925.718186312324,5601
"N5621",927.878074350671,5621
"N5641",930.034542555125,5641
"N5661",932.187605934751,5661
"N5681",934.337279492588,5681
"N5701",936.483577939438,5701
"N5721",938.626516036124,5721
"N5741",940.766108288978,5741
"N5761",942.902369213232,5761
"N5781",945.035313129726,5781
"N5801",947.164954258971,5801
"N5821",949.291306801392,5821
"N5841",951.414384697012,5841
"N5861",953.534201944505,5861
"N5881",955.650772327315,5881
"N5901",957.764109548975,5901
"N5921",959.87422724624,5921
"N5941",961.981138907199,5941
"N5961",964.084857932348,5961
"N5981",966.185397663082,5981
"N6001",968.282771289111,6001
"N6021",970.37699190628,6021
"N6041",972.468072577348,6041
"N6061",974.556026199148,6061
"N6081",976.640865595762,6081
"N6101",978.722603530501,6101
"N6121",980.801252615137,6121
"N6141",982.876825417652,6141
"N6161",984.949334409487,6161
"N6181",987.01879194091,6181
"N6201",989.085210329958,6201
"N6221",991.148601738037,6221
"N6241",993.208978291944,6241
"N6261",995.266352036489,6261
"N6281",997.32073487381,6281
"N6301",999.372138692144,6301
"N6321",1001.42057524719,6321
"N6341",1003.46605623637,6341
"N6361",1005.50859325691,6361
"N6381",1007.54819785674,6381
"N6401",1009.5848814633,6401
"N6421",1011.61865545183,6421
"N6441",1013.64953114082,6441
"N6461",1015.67751971997,6461
"N6481",1017.70263233806,6481
"N6501",1019.72488001783,6501
"N6521",1021.74427378808,6521
"N6541",1023.76082453601,6541
"N6561",1025.77454312203,6561
"N6581",1027.78544030789,6581
"N6601",1029.79352674266,6601
"N6621",1031.79881308243,6621
"N6641",1033.80130989271,6641
"N6661",1035.80102763263,6661
"N6681",1037.79797669594,6681
"N6701",1039.79216744292,6701
"N6721",1041.78361013459,6721
"N6741",1043.77231497897,6741
"N6761",1045.75829212873,6761
"N6781",1047.74155160495,6781
"N6801",1049.72210345908,6801
"N6821",1051.69995764915,6821
"N6841",1053.67512398204,6841
"N6861",1055.64761232147,6861
"N6881",1057.6174323828,6881
"N6901",1059.58459387528,6901
"N6921",1061.54910641547,6921
"N6941",1063.5109795799,6941
"N6961",1065.47022284005,6961
"N6981",1067.42684563448,6981
"N7001",1069.38085735295,7001
"N7021",1071.33226732546,7021
"N7041",1073.28108481596,7041
"N7061",1075.22731901697,7061
"N7081",1077.17097904895,7081
"N7101",1079.11207406015,7101
"N7121",1081.05061302022,7121
"N7141",1082.98660493088,7141
"N7161",1084.92005870893,7161
"N7181",1086.85098323601,7181
"N7201",1088.77938730553,7201
"N7221",1090.7052796615,7221
"N7241",1092.62866901114,7241
"N7261",1094.5495640064,7261
"N7281",1096.46797326554,7281
"N7301",1098.38390528996,7301
"N7321",1100.29736857964,7321
"N7341",1102.20837159743,7341
"N7361",1104.11692269369,7361
"N7381",1106.02303027392,7381
"N7401",1107.92670257885,7401
"N7421",1109.82794780115,7421
"N7441",1111.72677421984,7441
"N7461",1113.62318993965,7461
"N7481",1115.51720304231,7481
"N7501",1117.40882153749,7501
"N7521",1119.29805350767,7521
"N7541",1121.18490680986,7541
"N7561",1123.06938941273,7561
"N7581",1124.95150916144,7581
"N7601",1126.83127383214,7601
"N7621",1128.70869120258,7621
"N7641",1130.58376902883,7641
"N7661",1132.45651492288,7661
"N7681",1134.3269365822,7681
"N7701",1136.19504154024,7701
"N7721",1138.06083736061,7721
"N7741",1139.92433151404,7741
"N7761",1141.78553150408,7761
"N7781",1143.64444469839,7781
"N7801",1145.50107851983,7801
"N7821",1147.35544024395,7821
"N7841",1149.20753718433,7841
"N7861",1151.0573765868,7861
"N7881",1152.90496564722,7881
"N7901",1154.75031153417,7901
"N7921",1156.59342138663,7921
"N7941",1158.43430226978,7941
"N7961",1160.27296123936,7961
"N7981",1162.10940527621,7981
"N8001",1163.94364138755,8001
"N8021",1165.77567648888,8021
"N8041",1167.60551743744,8041
"N8061",1169.43317113765,8061
"N8081",1171.25864435714,8081
"N8101",1173.08194389344,8101
"N8121",1174.90307649297,8121
"N8141",1176.72204885939,8141
"N8161",1178.53886762926,8161
"N8181",1180.35353945608,8181
"N8201",1182.1660709343,8201
"N8221",1183.97646861709,8221
"N8241",1185.78473905742,8241
"N8261",1187.5908886816,8261
"N8281",1189.39492397942,8281
"N8301",1191.19685138628,8301
"N8321",1192.99667726981,8321
"N8341",1194.79440798006,8341
"N8361",1196.5900498189,8361
"N8381",1198.38360908706,8381
"N8401",1200.17509202503,8401
"N8421",1201.96450486725,8421
"N8441",1203.75185378913,8441
"N8461",1205.53714492365,8461
"N8481",1207.32038440095,8481
"N8501",1209.10157832686,8501
"N8521",1210.88073273812,8521
"N8541",1212.65785366662,8541
"N8561",1214.432947098,8561
"N8581",1216.20601900656,8581
"N8601",1217.97707533385,8601
"N8621",1219.7461219449,8621
"N8641",1221.51316473979,8641
"N8661",1223.27820954369,8661
"N8681",1225.04126217664,8681
"N8701",1226.80232841823,8701
"N8721",1228.56141401405,8721
"N8741",1230.31852465331,8741
"N8761",1232.07366612039,8761
"N8781",1233.82684397942,8781
"N8801",1235.57806392655,8801
"N8821",1237.32733155883,8821
"N8841",1239.07465247311,8841
"N8861",1240.82003216278,8861
"N8881",1242.56347616313,8881
"N8901",1244.30499005978,8901
"N8921",1246.04457920831,8921
"N8941",1247.78224911586,8941
"N8961",1249.51800516233,8961
"N8981",1251.25185277346,8981
"N9001",1252.98379726369,9001
"N9021",1254.71384401774,9021
"N9041",1256.44199830721,9041
"N9061",1258.16826543696,9061
"N9081",1259.89265066539,9081
"N9101",1261.61515917865,9101
"N9121",1263.3357962389,9121
"N9141",1265.05456700577,9141
"N9161",1266.77147664605,9161
"N9181",1268.48653025983,9181
"N9201",1270.19973298806,9201
"N9221",1271.91108988945,9221
"N9241",1273.62060605229,9241
"N9261",1275.32828644398,9261
"N9281",1277.03413613794,9281
"N9301",1278.7381601137,9301
"N9321",1280.44036327869,9321
"N9341",1282.1407506184,9341
"N9361",1283.83932703099,9361
"N9381",1285.53609744813,9381
"N9401",1287.23106667059,9401
"N9421",1288.92423960128,9421
"N9441",1290.61562102533,9441
"N9461",1292.30521574492,9461
"N9481",1293.99302856011,9481
"N9501",1295.67906420253,9501
"N9521",1297.36332742866,9521
"N9541",1299.04582291408,9541
"N9561",1300.7265553958,9561
"N9581",1302.40552952493,9581
"N9601",1304.08274991103,9601
"N9621",1305.75822120196,9621
"N9641",1307.43194803971,9641
"N9661",1309.10393497653,9661
"N9681",1310.7741865216,9681
"N9701",1312.44270731016,9701
"N9721",1314.10950179108,9721
"N9741",1315.77457451088,9741
"N9761",1317.43792990478,9761
"N9781",1319.09957245856,9781
"N9801",1320.7595066208,9801
"N9821",1322.41773678414,9821
"N9841",1324.07426735253,9841
"N9861",1325.72910271607,9861
"N9881",1327.38224723406,9881
"N9901",1329.03370523473,9901
"N9921",1330.68348103364,9921
"N9941",1332.33157895746,9941
"N9961",1333.97800326017,9961
"N9981",1335.62275823956,9981
"N10001",1337.26584812247,10001
"N10021",1338.90727709062,10021
"N10041",1340.54704941957,10041
"N10061",1342.18516926655,10061
"N10081",1343.82164080687,10081
"N10101",1345.45646820947,10101
"N10121",1347.08965556074,10121
"N10141",1348.721207001,10141
"N10161",1350.35112664606,10161
"N10181",1351.97941855262,10181
"N10201",1353.60608680403,10201
"N10221",1355.23113543752,10221
"N10241",1356.85456845045,10241
"N10261",1358.47638988174,10261
"N10281",1360.09660371574,10281
"N10301",1361.71521393993,10301
"N10321",1363.33222451261,10321
"N10341",1364.94763935018,10341
"N10361",1366.56146242193,10361
"N10381",1368.17369759878,10381
"N10401",1369.78434877157,10401
"N10421",1371.39341983079,10421
"N10441",1373.00091461636,10441
"N10461",1374.60683700582,10461
"N10481",1376.21119079079,10481
"N10501",1377.81397979732,10501
"N10521",1379.4152077963,10521
"N10541",1381.01487862602,10541
"N10561",1382.61299595341,10561
"N10581",1384.20956361368,10581
"N10601",1385.80458528684,10601
"N10621",1387.39806472035,10621
"N10641",1388.99000559778,10641
"N10661",1390.58041158396,10661
"N10681",1392.16928639316,10681
"N10701",1393.75663362196,10701
"N10721",1395.34245698505,10721
"N10741",1396.92676004419,10741
"N10761",1398.50954641954,10761
"N10781",1400.09081970798,10781
"N10801",1401.67058351738,10801
"N10821",1403.24884139183,10821
"N10841",1404.82559687172,10841
"N10861",1406.40085348815,10861
"N10881",1407.97461479027,10881
"N10901",1409.54688425847,10901
"N10921",1411.11766540349,10921
"N10941",1412.68696171975,10941
"N10961",1414.25477666851,10961
"N10981",1415.82111365876,10981
"N11001",1417.38597613743,11001
"N11021",1418.94936757783,11021
"N11041",1420.51129135377,11041
"N11061",1422.07175087508,11061
"N11081",1423.63074949873,11081
"N11101",1425.1882906249,11101
"N11121",1426.74437757662,11121
"N11141",1428.29901373866,11141
"N11161",1429.85220241148,11161
"N11181",1431.40394692782,11181
"N11201",1432.95425059697,11201
"N11221",1434.50311664943,11221
"N11241",1436.05054843263,11241
"N11261",1437.59654916781,11261
"N11281",1439.14112213225,11281
"N11301",1440.68427057207,11301
"N11321",1442.22599767815,11321
"N11341",1443.76630670325,11341
"N11361",1445.30520083172,11361
"N11381",1446.84268323792,11381
"N11401",1448.37875711066,11401
"N11421",1449.91342562917,11421
"N11441",1451.44669192022,11441
"N11461",1452.97855912951,11461
"N11481",1454.50903039712,11481
"N11501",1456.03810883619,11501
"N11521",1457.5657975515,11521
"N11541",1459.09209963447,11541
"N11561",1460.61701815893,11561
"N11581",1462.1405561729,11581
"N11601",1463.66271677536,11601
"N11621",1465.18350298772,11621
"N11641",1466.70291784892,11641
"N11661",1468.22096440855,11661
"N11681",1469.73764560638,11681
"N11701",1471.2529645133,11701
"N11721",1472.76692407384,11721
"N11741",1474.27952729549,11741
"N11761",1475.79077711249,11761
"N11781",1477.30067649474,11781
"N11801",1478.80922841443,11801
"N11821",1480.31643574385,11821
"N11841",1481.82230146248,11841
"N11861",1483.32682842614,11861
"N11881",1484.830019606,11881
"N11901",1486.33187782451,11901
"N11921",1487.83240598158,11921
"N11941",1489.33160693895,11941
"N11961",1490.82948355608,11961
"N11981",1492.32603870881,11981
"N12001",1493.82127523694,12001
"N12021",1495.31519592327,12021
"N12041",1496.80780360008,12041
"N12061",1498.29910104343,12061
"N12081",1499.78909110441,12081
"N12101",1501.27777656819,12101
"N12121",1502.76516012695,12121
"N12141",1504.25124465928,12141
